source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
Al Jazeera English,Republicans kick Ilhan Omar off US House foreign affairs panel,Muslim-American legislator says her 'voice will get louder and stronger' after vote punishing her criticism of Israel.,Al Jazeera Staff,2023-02-02 20:33:57+00:00,https://www.aljazeera.com/news/2023/2/2/republicans-kick-ilhan-omar-off-us-house-foreign-affairs-panel,0.0,0.0,1.0,0.0,0.0
Al Jazeera English,‘Pattern of repression’: US Democrats call to suspend Peru aid,Democrats in the US House of Representatives issue a letter denouncing Peru's deadly crackdown against protesters.,Al Jazeera,2023-01-31 00:29:54+00:00,https://www.aljazeera.com/news/2023/1/31/pattern-of-repression-us-democrats-call-to-suspend-peru-aid,-1.0,0.45,0.55,0.0,-0.5994
Al Jazeera English,Republicans push to remove Ilhan Omar from foreign affairs panel,A vote is set for Thursday on resolution aimed at the Muslim-American progressive lawmaker over her criticism of Israel.,Ali Harb,2023-02-01 23:54:33+00:00,https://www.aljazeera.com/news/2023/2/1/republicans-push-to-remove-ilhan-omar-from-foreign-affairs-panel,0.0,0.0,1.0,0.0,0.0
Breitbart News,Ocasio-Cortez: Trump Will Be 2024 GOP Nominee or He Will Burn Down Anyone Who Is,"Representative Alexandria Ocasio-Cortez (D-NY) said Thursday on CNN's ""Anderson Cooper 360"" that former President Donald Trump will be the Republican 2024 presidential nominee or he will ""burn down"" anyone who is. | Clips","Pam Key, Pam Key",2023-02-03 02:20:33+00:00,https://www.breitbart.com/clips/2023/02/02/ocasio-cortez-trump-will-be-2024-gop-nominee-or-he-will-burn-down-anyone-who-is/,0.0,0.0,1.0,0.0,0.0
Breitbart News,AOC: Omar Ouster 'Racist Targeting',"Representative Alexandria Ocasio-Cortez (D-NY) said Thursday on CNN's ""Anderson Cooper 360"" that House Republicans voting for Rep. Ilhan Omar (D-MN) to be removed from the Foreign Affairs Committee over her comments about Israel was ""racist targeting."" | Clips","Pam Key, Pam Key",2023-02-03 02:24:34+00:00,https://www.breitbart.com/clips/2023/02/02/aoc-omar-ouster-racist-targeting/,-1.0,0.5,0.5,0.0,-0.6124
Breitbart News,Watch: Rashida Tlaib Rages over Ilhan Omar Ouster from Committee,Rashida Tlaib (D-MI) raged on the U.S. House floor Thursday after Republicans removed Ilhan Omar (D-MN) from the House Foreign Affairs Committee.,"Paul Bois, Paul Bois",2023-02-03 01:55:41+00:00,https://www.breitbart.com/politics/2023/02/02/watch-rashida-tlaib-rages-over-ilhan-omar-ouster-from-committee/,-1.0,0.307,0.693,0.0,-0.4767
Breitbart News,"Democrats Attack Republican’s ‘Islamophobic’ Removal of Rep. Omar from HFAC, Blame Racism, Xenophobia, ‘White Supremacy’","Democrats attacked the “Islamophobic” removal of Rep. Ilhan Omar (D-MN) from the House Foreign Affairs Committee, shouting “No!” to the decision they blamed on racism, xenophobia, and “white supremacy,” as they accused Republicans of merely targeting a Muslim…","Joshua Klein, Joshua Klein",2023-02-03 00:10:37+00:00,https://www.breitbart.com/politics/2023/02/02/democrats-attack-republicans-islamophobic-removal-of-rep-omar-from-hfac-blame-racism-xenophobia-white-supremacy/,-1.0,0.485,0.455,0.061,-0.8555
Breitbart News,Nolte: Watch AOC Melt Down Defending Antisemite Ilhan Omar,Rep. Alexandria Ocasio-Cortez (D-Fascist) melted down on the House floor Thursday after antisemitic Rep. Ilhan Omar (D-Jew Hater) was denied a spot on the House Foreign Affairs Committee.,"John Nolte, John Nolte",2023-02-02 19:29:12+00:00,https://www.breitbart.com/politics/2023/02/02/nolte-watch-aoc-melt-down-defending-antisemite-ilhan-omar/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Gaetz: House’s New Rules Supported by Populists on the Left Like AOC,"Representative Matt Gaetz (R-FL) said Monday on MSNBC's ""The Beat"" that the rule changes resulting from Rep. Kevin McCarthy's (R-CA) House speaker vote negotiations were supported by Rep. Alexandria Ocasio-Cortez (D-NY). | Clips","Pam Key, Pam Key",2023-01-31 03:17:07+00:00,https://www.breitbart.com/clips/2023/01/30/gaetz-houses-new-rules-supported-by-populists-on-the-left-like-aoc/,1.0,0.0,0.593,0.407,0.5859
Breitbart News,Exclusive — Rep. Thomas Massie Vows to Strip Ukraine Funding from Must-Pass Spending Bills,Rep. Thomas Massie (R-KY) told Breitbart News in an exclusive interview he believes that he and other conservatives would separate Ukraine funding from must-pass spending bills.,"Sean Moran, Sean Moran",2023-02-02 22:44:20+00:00,https://www.breitbart.com/politics/2023/02/02/exclusive-rep-thomas-massie-vows-to-strips-ukraine-funding-from-must-pass-spending-bills/,1.0,0.0,0.87,0.13,0.128
