source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
Associated Press,Beshear touts education plan ahead of lawmakers reconvening,Gov. Andy Beshear says Kentucky is lagging behind in the “competition for talent” to lead its classrooms. He renewed his push Monday for higher teacher pay as a way to overcome a shortage of educators. He's asking lawmakers to award…,By BRUCE SCHREINER - Associated Press,2023-01-30 19:53:33+00:00,https://apnews.com/1b68c100c290419c1dd42f70bfb8d0a0,-1.0,0.155,0.845,0.0,-0.0258
Fox News,Kentucky Gov. Beshear makes another appeal for education spending,"Democratic Kentucky Gov. Andy Beshear spoke on the state's teacher shortage Monday, and is expected to push the state legislature to increase education funding.",Associated Press,2023-01-30 21:48:53+00:00,https://www.foxnews.com/politics/kentucky-gov-beshear-makes-another-appeal-education-spending,0.0,0.0,1.0,0.0,0.0
Fox News,Critics unleash on Democrat governor after disaster relief checks sent to random people: 'Gross mismanagement',Democratic Kentucky Gov. Andy Beshear faced sharp criticism this week after reports revealed his administration sent thousands of dollars in disaster relief funds to the wrong people.,Brandon Gillespie,2023-02-02 20:22:49+00:00,https://www.foxnews.com/politics/critics-unleash-democrat-governor-andy-beshear-disaster-relief-checks-sent-random-people,-1.0,0.459,0.39,0.151,-0.743
Fox News,Kentucky Gov. Beshear says expanded COVID Medicaid coverage soon to end,Democratic Kentucky Gov. Andy Beshear announced Thursday that expanded Medicaid coverage which some residents qualified for during the COVID-19 pandemic would soon expire.,Associated Press,2023-02-03 01:02:58+00:00,https://www.foxnews.com/politics/kentucky-gov-beshear-says-expanded-covid-medicaid-coverage-soon-end,0.0,0.0,1.0,0.0,0.0
Fox News,'Border state problems' in Kentucky: Candidates attack Dem gov for state's response to fentanyl crisis,"As Kentucky's gubernatorial race heats up, the drug crisis plaguing the state has taken center stage in the campaigns of each of the candidates hoping to unseat Democrat Gov. Andy Beshear.",Brandon Gillespie,2023-01-28 15:07:48+00:00,https://www.foxnews.com/politics/border-state-problems-kentucky-candidates-attack-dem-gov-states-response-fentanyl-crisis,-1.0,0.524,0.476,0.0,-0.872
Fox News,Democrat Gov. Andy Beshear's tornado relief fund 'erroneously' sent unknown amounts of money to wrong people,"A tornado relief fund started by Democratic Kentucky Gov. Andy Beshear's administration ""erroneously"" sent out an unknown amount of money to people unaffected by the Dec. 2021 tornados.",Brandon Gillespie,2023-02-01 22:19:07+00:00,https://www.foxnews.com/politics/democrat-governor-andy-beshear-tornado-relief-fund-unknown-amounts-money-wrong-people,0.0,0.17,0.659,0.17,0.0
Fox News,Kentucky lawmakers press for juvenile justice changes,Kentucky lawmakers are pressing for changes in the juvenile justice system. The group of lawmakers wants someone outside of the system to address the growing problem of violence.,Associated Press,2023-02-02 21:55:29+00:00,https://www.foxnews.com/politics/kentucky-lawmakers-press-juvenile-justice-changes,1.0,0.0,0.595,0.405,0.5267
Fox News,KY group creates 1st funding award to fight state’s opioid crisis,A Kentucky commission has created a $10 million pilot program to combat the state’s opioid epidemic. The program will offer health treatment for those struggling with drug use.,Associated Press,2023-02-01 20:18:30+00:00,https://www.foxnews.com/us/ky-group-creates-1st-funding-award-fight-states-opioid-crisis,-1.0,0.366,0.328,0.306,-0.2732
NBC News,Eyes on 2024: GOP primary kicks off with Trump trips and sniping,Former President Trump visited New Hampshire and South Carolina this past weekend.,Ben Kamisar,2023-01-30 15:44:04+00:00,https://www.nbcnews.com/meet-the-press/meetthepressblog/eyes-2024-gop-primary-kicks-trump-trips-sniping-rcna68135,0.0,0.0,1.0,0.0,0.0
NBC News,Poll finds 71% of Americans believe country is on wrong track,71% of Americans in a new NBC News poll say the country is headed in the wrong direction — the eighth time that level has been hit in the last nine NBC polls.,Chuck Todd,2023-01-30 14:04:05+00:00,https://www.nbcnews.com/meet-the-press/first-read/poll-finds-71-americans-believe-country-wrong-track-rcna68138,-1.0,0.307,0.693,0.0,-0.4767
