source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"In Biden's White House, a behind-the-scenes power couple comes to the fore","As President Biden grapples with the special counsel's classified documents probe, he is again leaning on the counsel of Washington power couple Bob Bauer and Anita Dunn.",Lucien Bruggeman,2023-02-03 10:12:38+00:00,https://abcnews.go.com/US/bidens-white-house-scenes-power-couple-fore/story?id=96853338,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Local, National Dems Spar over New Hampshire's 'First in the Nation' Primary Status",The New Hampshire Democratic Party (NHDP) is publicly feuding with the Democratic National Committee (DNC) over its Rules and Bylaws Committee's (RBC) move to revoke New Hampshire's status as the first primary state in the nation at the request of President J…,"Nick Gilbertson, Nick Gilbertson",2023-01-31 12:00:35+00:00,https://www.breitbart.com/politics/2023/01/31/local-national-dems-spar-new-hampshire-first-in-nation-primary-status/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Bernie Sanders' Anti-Capitalist Event Costs up to $100 on Ticketmaster,Admission for socialist Sen. Bernie Sanders' (I-VT) anti-capitalists event can cost up to $100 on the much-maligned Ticketmaster.,"Paul Bois, Paul Bois",2023-02-01 04:44:02+00:00,https://www.breitbart.com/politics/2023/01/31/bernie-sanders-anti-capitalist-event-costs-up-to-100-on-ticketmaster/,0.0,0.0,1.0,0.0,0.0
Fortune,'Ridiculous' airline fees for checked bags and seating assignments could become a thing of the past if these two Senators get their bills approved,Flight delays would have to be compensated by airlines under the FAIR Fees Act and the Airline Passengers’ Bill of Rights.,Eleanor Pringle,2023-02-01 10:56:38+00:00,https://fortune.com/2023/02/01/ridiculous-airline-fees-checked-bags-seating-assignments-thing-past-new-bill/,1.0,0.13,0.725,0.145,0.0772
Fox News,Katie Pavlich Reacts To Bernie Sanders’ Ticketed Anti-Capitalism Speech: ‘It’s Just Absolutely Absurd’,"Listen To The Full Interview Below: Katie Pavlich, Editor for Townhall.com & Fox News Contributor to react to Vermont Senator Bernie Sander’s anti-capitalism speech in DC, with tickets costing nearly $100 on Ticketmaster. Pavlich reacted to Bernie’s event say…",Wyatt Dobrovich-Fago,2023-02-01 23:22:16+00:00,https://radio.foxnews.com/2023/02/01/katie-pavlich-reacts-to-bernie-sanders-ticketed-anti-capitalism-speech-its-just-absolutely-absurd/,0.0,0.0,1.0,0.0,0.0
Fox News,Bernie Sanders torched online over anti-capitalism speech: ‘Really can’t make this s--- up’,Vermont independent Senator Bernie Sanders was mocked online for selling tickets to his anti-capitalism speech and book event on Ticketmaster for nearly $100.,Houston Keene,2023-02-01 06:00:02+00:00,https://www.foxnews.com/politics/bernie-sanders-torched-online-anti-capitalism-speech-cant-make-up,0.0,0.0,1.0,0.0,0.0
Fox News,Front-row seats to Bernie Sanders' anti-capitalism speech in DC cost nearly $100 on Ticketmaster,"Tickets for an anti-capitalism event being headlined by Sen. Bernie Sanders, I-Vt., will cost those who want a front row seat nearly $100.",Kyle Morris,2023-01-31 22:00:45+00:00,https://www.foxnews.com/politics/front-row-seats-bernie-sanders-anti-capitalism-speech-dc-cost-nearly-100-ticketmaster,0.0,0.0,1.0,0.0,0.0
Fox News,'Socialist' Bernie Sanders incinerated for embracing capitalism ahead of book tour: 'Full of crap',"'The Five' co-hosts discuss Independent Vermont Sen. Bernie Sanders charging big bucks to attend his upcoming anti-capitalism event in Washington, D.C.",Ashley Carnahan,2023-02-02 01:00:47+00:00,https://www.foxnews.com/media/socialist-bernie-sanders-incinerated-embracing-capitalism-ahead-book-tour-full-crap,-1.0,0.206,0.794,0.0,-0.3818
Fox News,These senators have the largest war chests heading into the 2024 election cycle,"While incumbent Independents and Democrat senators topped the list for the most cash on hand, GOP incumbents Sens. Rick Scott and Ted Cruz raised the most cash during the year-end quarter.",Sophia Slacik,2023-02-01 17:45:53+00:00,https://www.foxnews.com/politics/these-senators-have-largest-war-chests-2024-re-election-campaigns,-1.0,0.328,0.672,0.0,-0.5994
Fox News,Socialist Party of Great Britain rebukes Congressman who warns of the dangers of socialism,"The U.S. House passed a resolution 'Denouncing the horrors of socialism,' but the Socialist Party of Great Britain hit back, claiming that 'No country has ‘tried’ socialism.'",Kendall Tietz,2023-02-04 15:00:45+00:00,https://www.foxnews.com/media/socialist-party-great-britain-rebukes-congressman-warns-dangers-of-socialism,1.0,0.28,0.305,0.415,0.4939
