source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Biden proposes rule to 'slash excessive credit card late fees',It comes before the president's State of the Union address next week.,Ella McCarthy,2023-02-01 21:28:06+00:00,https://abcnews.go.com/Politics/biden-proposes-rule-slash-excessive-credit-card-late/story?id=96819933,1.0,0.179,0.598,0.222,0.128
ABC News,What to know about Biden proposal to slash credit card late fees,What to know about Biden proposal to slash credit card late feesgo.com,Ella Mccarthy,2023-02-01 22:41:06+00:00,https://abcnews.go.com/Politics/biden-proposal-slash-credit-card-late-fees/story?id=96819933,1.0,0.179,0.598,0.222,0.128
Al Jazeera English,Republicans push to remove Ilhan Omar from foreign affairs panel,A vote is set for Thursday on resolution aimed at the Muslim-American progressive lawmaker over her criticism of Israel.,Ali Harb,2023-02-01 23:54:33+00:00,https://www.aljazeera.com/news/2023/2/1/republicans-push-to-remove-ilhan-omar-from-foreign-affairs-panel,0.0,0.0,1.0,0.0,0.0
Associated Press,"In Iowa, potential 2024 GOP Trump challengers quiet for now","The presidential campaign landscape in Iowa is markedly different this year compared with four years ago. In 2019, at least a dozen Democratic hopefuls eager to make their case against the Republican incumbent, Donald Trump, had either visited Iowa or…",By THOMAS BEAUMONT - Associated Press,2023-01-31 05:39:46+00:00,https://apnews.com/aa8f72fb2aa39553dc05ad9e778f74a3,1.0,0.0,0.833,0.167,0.1027
Bloomberg,Silvergate Pressed by US Senators After ‘Evasive’ Responses on FTX,A bipartisan group of US senators is pressing Silvergate Capital Corp. over whether it knew about FTX’s alleged misuse of customer funds after the lawmakers found responses to an earlier inquiry to be “evasive and incomplete.”,Allyson Versprille,2023-01-31 14:00:28+00:00,https://www.bloomberg.com/news/articles/2023-01-31/silvergate-bashed-by-senators-for-evasive-responses-on-ties-to-ftx,0.0,0.0,1.0,0.0,0.0
Bloomberg,Kamala Harris Attends Nichols Funeral as Death Reignites Reform Efforts,"Kamala Harris will lead a delegation to attend Tyre Nichols’ funeral in Memphis on Wednesday, the latest example of how the first Black and Asian-American vice president is leveraging her background to act as a conduit to a key constituency.",Akayla Gardner,2023-02-01 15:56:36+00:00,https://www.bloomberg.com/news/articles/2023-02-01/harris-heads-to-nichols-funeral-as-biden-envoy-to-black-voters,-1.0,0.478,0.522,0.0,-0.7506
Business Insider,"Elizabeth Warren says Biden could use other tools to carry out student-loan forgiveness if the Supreme Court strikes it down, but 'now is not the time to talk about Plan B'","""If the Supreme Court applies the law as it is written, then that cancellation will go through,"" Sen. Warren said of student-debt relief.",asheffey@businessinsider.com (Ayelet Sheffey),2023-01-30 17:53:58+00:00,https://www.businessinsider.com/biden-student-loan-forgiveness-blocked-supreme-court-uphold-elizabeth-warren-2023-1,1.0,0.118,0.613,0.269,0.4939
Business Insider,"Even with inflation cooling down, there's still a 'risk of recession' since the Fed keeps hiking interest rates, Janet Yellen says","The Fed is expected to hike interest rates once again this week, and some Democrats warned it could increase job losses and prompt a recession.",asheffey@businessinsider.com (Ayelet Sheffey),2023-01-30 15:48:03+00:00,https://www.businessinsider.com/interest-rates-going-up-recession-outlook-risk-inflation-yellen-2023-1,-1.0,0.234,0.622,0.144,-0.2263
Business Insider,Silvergate's ties to FTX are under scrutiny by US senators who say the crypto bank was 'evasive' in earlier inquiries,Lawmakers said that the firm failed to fully answer questions about its relationship with FTX when approached in early December.,mchittum@insider.com (Morgan Chittum),2023-01-31 20:21:09+00:00,https://markets.businessinsider.com/news/currencies/ftx-sam-bankman-fried-silvergate-elizabeth-warren-senators-crypto-report-2023-1,0.0,0.0,1.0,0.0,0.0
Business Insider,The Fed slows down its interest rate hikes again as inflation continues to cool and recession fears loom,"The Federal Reserve raised interest rates 25 basis points on Wednesday, slowing down its aggressive tactics to fight inflation in 2023.",asheffey@businessinsider.com (Ayelet Sheffey),2023-02-01 19:01:15+00:00,https://www.businessinsider.com/did-the-fed-raise-interest-rates-in-february-inflation-recession-2023-1,-1.0,0.379,0.354,0.268,-0.296
Business Insider,Americans are in for more economic pain this year as the Fed signals its war on inflation will continue,The Fed's Jerome Powell said on Wednesday that it's better to err on the side of raising interest rates too much than too little to fight inflation.,asheffey@businessinsider.com (Ayelet Sheffey),2023-02-01 21:20:18+00:00,https://www.businessinsider.com/when-will-fed-stop-raising-interest-rates-not-soon-inflation-2023-2,-1.0,0.507,0.493,0.0,-0.802
Business Insider,Low-income renters are frustrated by Biden's new plan to make housing more affordable because they don't think it does enough to combat surging rents,Biden's plan is supposed to help struggling renters. But the ones we spoke to said it falls short.,jlalljee@insider.com (Jason Lalljee),2023-02-04 11:55:00+00:00,https://www.businessinsider.com/biden-renters-bill-rights-affordable-housing-protections-rent-hikes-inflation-2023-2,-1.0,0.184,0.705,0.11,-0.3322
CNN,"Record $3.8 billion stolen in crypto hacks last year, report says","A record $3.8 billion worth of cryptocurrency was stolen from various services last year, with much of those thefts driven by North Korean-linked hackers, according to a report Wednesday from blockchain analytics firm Chainalysis.",Jennifer Korn,2023-02-01 17:22:09+00:00,https://www.cnn.com/2023/02/01/tech/crypto-hacks-2022/index.html,-1.0,0.262,0.738,0.0,-0.4939
