source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
Associated Press,FEARS OF UNREST,"The Latest on the release of a Memphis Police Department video showing the beating of Tyre Nichols, who later died. MEMPHIS — Protesters and police unions around the country are condemning Memphis police after the public release of video showing five officers…",,2023-01-28 01:19:36+00:00,https://apnews.com/article/new-york-city-district-of-columbia-memphis-fraternal-order-police-795cc65954a57c55845755028e917344,-1.0,0.583,0.417,0.0,-0.4215
Associated Press,Memphis police release video showing fatal beating...,"MEMPHIS, Tenn. (AP) — Memphis authorities released more than an hour of footage Friday of the violent beating of Tyre Nichols in which officers held the Black motorist down and struck him repeatedly as he screamed for his mother.",Adrian Sainz,2023-01-28 00:28:37+00:00,https://apnews.com/article/tyre-nichols-video-memphis-police-e3ee8e6698faae16df3f41d09234b09f,-1.0,0.565,0.435,0.0,-0.7579
BBC News,Migrant protest at New York hotel highlights growing issue,"Some people sheltering at a Manhattan hotel refuse to move to a different facility, citing poor conditions.",https://www.facebook.com/bbcnews,2023-01-31 22:42:31+00:00,https://www.bbc.co.uk/news/world-us-canada-64475732,-1.0,0.206,0.619,0.175,-0.0772
Bloomberg,Rats Are Taking Over and Cities Are Fighting Back: Big Take Podcast,Cities across the US are seeing an influx of rats.,Wes Kosova,2023-02-03 10:00:03+00:00,https://www.bloomberg.com/news/articles/2023-02-03/rats-are-taking-over-cities-are-fighting-back-big-take-podcast,-1.0,0.2,0.8,0.0,-0.3612
Bloomberg,Sean Penn's Disaster-Relief Charity Ended Up a Money Mess,CORE saved American lives during the pandemic. Employees say it has also failed to shield them from alleged sexual harassment or address financial mismanagement.,Sophie Alexander,2023-02-01 05:01:01+00:00,https://www.bloomberg.com/news/features/2023-02-01/sean-penn-charity-core-wasted-money-and-ignored-complaints-employees-say,1.0,0.221,0.531,0.248,0.0772
Bloomberg,New Yorkers Will Have to Ask for Utensils for Takeout,New Yorkers will no longer have to check the box for “no plastic utensils” on their food delivery apps. A new law that takes effect in July is going to do that for them.,Cailley LaPara,2023-02-01 16:08:58+00:00,https://www.bloomberg.com/news/articles/2023-02-01/nyc-bans-plastic-forks-in-takeout-orders-in-sustainability-push,0.0,0.0,1.0,0.0,0.0
Breitbart News,Maher: Dem Officials Are Reacting to Migrant Surge in Their Areas by Saying 'We're All Full' Which Was what 'They're Not Supposed to Say',"During the “Overtime” segment of HBO’s “Real Time,” host Bill Maher stated that Chicago Mayor Lori Lightfoot, New York City Mayor Eric Adams (D), and Colorado Gov. Jared Polis (D) have reacted to the surges of migrants in their cities","Ian Hanchett, Ian Hanchett",2023-01-28 09:34:52+00:00,https://www.breitbart.com/clips/2023/01/28/maher-dem-officials-are-reacting-to-migrant-surge-in-their-areas-by-saying-were-all-full-which-was-theyre-not-supposed-to-say/,0.0,0.0,1.0,0.0,0.0
Breitbart News,NYC Mayor Tries to Convince Migrants to Trade Swanky Hotel for City Shelter: 'Even the Snacks are Healthy!',"New York City Mayor Eric Adams (D) is pleading with border crossers, who are refusing to leave the Watson Hotel in Manhattan where they were initially placed for free, to relocate to the city's mega-shelter at the Brooklyn Cruise Terminal.","John Binder, John Binder",2023-02-01 19:21:46+00:00,https://www.breitbart.com/politics/2023/02/01/nyc-mayor-tries-to-convince-migrants-to-trade-swanky-hotel-for-city-shelter-even-the-snacks-are-healthy/,1.0,0.0,0.701,0.299,0.5719
Breitbart News,"Migrants Still Not Leaving NYC Hotel, Demand Free Stays at 'Vacant Luxury Apartments' on Billionaires Row","Border crossers, who arrived on buses from Texas, are still not leaving a New York City hotel where they were placed, for free, by Mayor Eric Adams (D). Instead of shelters, the border crossers are demanding to be set up in ""vacant luxury apartments"" on Billi…","John Binder, John Binder",2023-01-31 21:23:23+00:00,https://www.breitbart.com/politics/2023/01/31/migrants-nyc-hotel-still-refusing-to-leave/,1.0,0.089,0.714,0.196,0.4215
Breitbart News,Joe Biden to End Title 42 Border Barrier on May 11,President Joe Biden's deputies are on track to remove the loopholed Title 42 border barrier on May 11.,"Neil Munro, Neil Munro",2023-01-31 21:47:26+00:00,https://www.breitbart.com/immigration/2023/01/31/joe-biden-to-end-title-42-border-barrier-on-may-11/,-1.0,0.158,0.842,0.0,-0.128
Breitbart News,NYC Mayor Adams on Tyre Nichols Death: We Have To Be Honest Racism Involved,"New York City Mayor Eric Adams (D) said Monday on ""CNN This Morning""  that racism was involved in the death of Tyre Nichols. | Clips","Pam Key, Pam Key",2023-01-30 18:34:40+00:00,https://www.breitbart.com/clips/2023/01/30/nyc-mayor-adams-on-tyre-nichols-death-we-have-to-be-honest-racism-involved/,-1.0,0.376,0.469,0.155,-0.6908
Breitbart News,Report: Migrants Arriving on Buses to Cost New Yorkers More than $4 Billion,"Border crossers, arriving on buses from Texas to New York City, are expected to cost New Yorkers more than $4 billion over the next two years, according to new estimates.","John Binder, John Binder",2023-02-02 22:17:05+00:00,https://www.breitbart.com/politics/2023/02/02/report-migrants-arriving-on-buses-to-cost-new-yorkers-more-than-4-billion/,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Photos: Migrants Refuse to Leave NYC Hotel, Demand Taxpayers Give Them 'Permanent Homes'","Border crossers, who arrived in New York City on buses from Texas, are refusing to leave a luxury Manhattan hotel that city officials had placed them in.","John Binder, John Binder",2023-01-30 22:32:03+00:00,https://www.breitbart.com/politics/2023/01/30/photos-migrants-refuse-leave-nyc-hotel-demand-taxpayers-give-them-permanent-homes/,-1.0,0.353,0.647,0.0,-0.4404
Breitbart News,Photos: NYPD Officers Remove Migrants Camped Outside Manhattan Hotel,New York City Police Department (NYPD) officers were forced to clear border crossers who had refused to leave the Watson Hotel in Manhattan after being asked to move from the luxury property to a mega-shelter at the Brooklyn Cruise Terminal.,"John Binder, John Binder",2023-02-02 21:27:20+00:00,https://www.breitbart.com/politics/2023/02/02/photos-nypd-officers-remove-migrants-camped-outside-manhattan-hotel/,0.0,0.0,1.0,0.0,0.0
CBS News,"As asylum seekers remain camped out in Midtown, lawmakers head to Brooklyn to tour new shelter - CBS New York","<ol><li>As asylum seekers remain camped out in Midtown, lawmakers head to Brooklyn to tour new shelter  CBS New York
</li><li>Standoff at NYC Hotel: Asylum Seekers Protest Relocation & Demand Their Right to Shelter in City  Democracy Now!
</li><li>Migrants …","Christina Fan, Ali Bauman",2023-02-01 22:34:00+00:00,https://www.cbsnews.com/newyork/news/as-asylum-seekers-remained-camped-out-in-midtown-lawmakers-heading-to-brooklyn-to-tour-new-shelter/,0.0,0.0,1.0,0.0,0.0
CBS News,New York City Mayor Eric Adams on Biden's immigration policies,New York City Mayor Eric Adams told CBS News the Biden Administration needs to do more on immigration as thousands of migrants come to his city. CBS News senior White House and political correspondent Ed O'Keefe discussed his recent interview with Adams.,CBS News,2023-02-01 01:46:06+00:00,https://www.cbsnews.com/video/nyc-mayor-eric-adams-on-biden-immigration-policies/,0.0,0.0,1.0,0.0,0.0
CBS News,"NYC mayor says police departments should focus on ""basic aptitude"" of officers",New York City Mayor Eric Adams is also a retired New York Police Department captain.,Kathryn Watson,2023-02-01 00:45:00+00:00,https://www.cbsnews.com/news/eric-adams-new-york-city-mayor-police-departments-basic-apitude-officers-memphis-tyre-nichols/,0.0,0.0,1.0,0.0,0.0
CBS News,NYC Mayor Eric Adams discusses police reform and support for Biden in 2024,"New York City Mayor Eric Adams, who is a former police officer, spoke with CBS News senior White House and political correspondent Ed O'Keefe about police reform following the violent arrest of Tyre Nichols. O'Keefe joins ""Red and Blue"" to discuss the mayor's…",CBS News,2023-01-31 23:59:56+00:00,https://www.cbsnews.com/video/nyc-mayor-eric-adams-discusses-police-reform-president-biden-2024/,1.0,0.0,0.769,0.231,0.4019
CBS News,"NYC Mayor says police departments should focus on ""basic aptitude"" of officers, not just training","New York City Mayor Eric Adams, a former New York Police Department captain who was also assaulted by police as a teenager, told CBS News on Tuesday that police departments must concern themselves with the ""basic aptitude"" of police officers and recruits, in …",CBS News,2023-02-01 01:30:18+00:00,https://www.cbsnews.com/video/nyc-mayor-says-police-departments-should-focus-on-basic-aptitude-of-officers-not-just-training/,0.0,0.0,1.0,0.0,0.0
