source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"2 in custody after 6 relatives, including baby, gunned down in 'massacre'","Two suspects are in custody after six family members, including a 16-year-old mom and her baby, were gunned down in a targeted and likely gang-related ""massacre.""",Emily Shapiro,2023-02-03 18:50:48+00:00,https://abcnews.go.com/US/2-custody-after-6-relatives-including-baby-gunned/story?id=96880642,0.0,0.0,1.0,0.0,0.0
ABC News,New California oil well ban put on hold for voters to decide,"California’s new law banning new oil and gas wells near homes, schools and other community sites has been put on hold until after voters decide next year whether to throw the law out",The Associated Press,2023-02-04 02:38:44+00:00,https://abcnews.go.com/Politics/wireStory/new-california-oil-ban-put-hold-voters-decide-96890056,-1.0,0.283,0.551,0.165,-0.3612
ABC News,California won't require COVID vaccine to attend schools,California won’t make children get the coronavirus vaccine to attend schools,ADAM BEAM Associated Press,2023-02-04 00:38:35+00:00,https://abcnews.go.com/US/wireStory/california-require-covid-vaccine-attend-schools-96888128,0.0,0.0,1.0,0.0,0.0
ABC News,New California oil well ban put on hold for voters to decide,"California’s new law banning new oil and gas wells near homes, schools and other community sites has been put on hold until after voters decide next year whether to throw the law out",The Associated Press,2023-02-04 02:38:37+00:00,https://abcnews.go.com/US/wireStory/new-california-oil-ban-put-hold-voters-decide-96890051,-1.0,0.283,0.551,0.165,-0.3612
ABC News,New California oil well ban put on hold for voters to decide,"California’s new law banning new oil and gas wells near homes, schools and other community sites has been put on hold until after voters decide next year whether to throw the law out",The Associated Press,2023-02-04 02:53:50+00:00,https://abcnews.go.com/Business/wireStory/new-california-oil-ban-put-hold-voters-decide-96890227,-1.0,0.283,0.551,0.165,-0.3612
Al Jazeera English,California shooting underscores strain on state’s farmworkers,The state's agricultural workforce has long struggled with low wages and vulnerability stemming from immigration status.,Brian Osgood,2023-01-31 19:37:56+00:00,https://www.aljazeera.com/news/2023/1/31/california-shooting-underscores-strain-on-states-farmworkers,-1.0,0.194,0.806,0.0,-0.0516
Associated Press,How will life change once the COVID-19 emergency ends? - The Associated Press,"<ol><li>How will life change once the COVID-19 emergency ends?  The Associated Press
</li><li>President Biden to end country's COVID-19 emergencies on May 11  FOX 26 Houston
</li><li>House ignores White House objections, votes to end COVID health emergency …",Amanda Seitz,2023-01-31 21:07:24+00:00,https://apnews.com/743899ad1dcbeb5d88f37f98513035c5,-1.0,0.245,0.755,0.0,-0.3818
Associated Press,Federal appeals court strikes down domestic violence gun law,A federal appeals court has ruled that the government can't stop people who have domestic violence restraining orders filed against them from owning guns. The U.S. Fifth Circuit Court of Appeals ruled a federal law that does that is unconstitutional.…,By ADAM BEAM - Associated Press,2023-02-03 02:17:00+00:00,https://apnews.com/6d2af127ca14c65ca9a925645a5ee546,-1.0,0.643,0.357,0.0,-0.8402
Bloomberg,Sean Penn's Disaster-Relief Charity Ended Up a Money Mess,CORE saved American lives during the pandemic. Employees say it has also failed to shield them from alleged sexual harassment or address financial mismanagement.,Sophie Alexander,2023-02-01 05:01:01+00:00,https://www.bloomberg.com/news/features/2023-02-01/sean-penn-charity-core-wasted-money-and-ignored-complaints-employees-say,1.0,0.221,0.531,0.248,0.0772
Breitbart News,Gavin Newsom Responds to Mass Shootings by Limiting Concealed Carry,Gov. Gavin Newsom (D) used a press conference Wednesday to make clear his response to recent mass shootings in California will be to limit concealed carry.,"AWR Hawkins, AWR Hawkins",2023-02-02 13:42:03+00:00,https://www.breitbart.com/2nd-amendment/2023/02/02/gavin-newsom-responds-to-mass-shootings-by-limiting-concealed-carry/,0.0,0.0,1.0,0.0,0.0
Breitbart News,FACT CHECK: Gavin Newsom Says 'Permitless Carry Does Not Make You Safer',"CLAIM: In the lead-up to his February 1 push for more gun control, California Democrat Gov. Gavin Newsom claimed, ""Permitless carry does not make you safer.""","AWR Hawkins, AWR Hawkins",2023-02-01 22:00:58+00:00,https://www.breitbart.com/2nd-amendment/2023/02/01/fact-check-gavin-newsom-says-permitless-carry-does-not-make-you-safer/,-1.0,0.175,0.825,0.0,-0.3252
Breitbart News,Amy Klobuchar Cites Two Pistol Attacks to Push 'Assault Weapons' Ban,"Sen. Amy Klobuchar posted a video to Twitter in which she pushed an ""assault weapons"" ban in response to two shootings carried out with pistols.","AWR Hawkins, AWR Hawkins",2023-01-29 19:07:11+00:00,https://www.breitbart.com/politics/2023/01/29/amy-klobuchar-cites-two-pistol-attacks-to-push-assault-weapons-ban/,-1.0,0.688,0.312,0.0,-0.9217
Breitbart News,"Profits of Doom: Oil Companies Soar on Back of War, Global Energy Shortages",Global energy giant Shell has followed U.S.-based Exxon Mobil and Chevron to double its annual profits with a record high last year as oil and natural gas prices soared on the back of Russia’s invasion of Ukraine.,"Simon Kent, Simon Kent",2023-02-02 11:55:00+00:00,https://www.breitbart.com/europe/2023/02/02/profits-of-doom-oil-companies-soar-to-record-profits-on-back-of-war-global-energy-shortages/,-1.0,0.451,0.275,0.275,-0.4939
Breitbart News,7 Shot in Gun-Controlled 'California's Fourth Mass Shooting in a Week',"At least seven people were shot early Saturday, three of them fatally, in what turned out to be gun-controlled ""California's fourth mass shooting in a week.""","AWR Hawkins, AWR Hawkins",2023-01-28 18:46:56+00:00,https://www.breitbart.com/2nd-amendment/2023/01/28/7-shot-gun-controlled-californias-fourth-mass-shooting-week/,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Nolte: Due to Overdoses, Students to Carry Narcan in Democrat-Run L.A.","“Students will be able to carry Narcan, a nasal spray that can reverse an opioid overdose, in Los Angeles,” reports the far-left Los Angeles Times.","John Nolte, John Nolte",2023-02-03 19:58:01+00:00,https://www.breitbart.com/politics/2023/02/03/nolte-due-overdoses-students-carry-narcan-democrat-run-l-a/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Chair of California Reparations Panel Backs Wealth Tax to Fund Payments,"Kamilah V. Moore, the chair of California's reparations committee, posted several tweets over the weekend that supported taxing the wealthy, or raising estate and property taxes, to pay for payments to black recipients.","Joel B. Pollak, Joel B. Pollak",2023-01-31 13:50:27+00:00,https://www.breitbart.com/podcast/2023/01/31/chair-of-california-reparations-panel-backs-wealth-tax-to-fund-payments/,1.0,0.105,0.614,0.281,0.4588
Breitbart News,Gavin Newsom's Wife Earned $1.4 Million Charging Schools to Screen Her Documentaries,"Jennifer Siebold Newsom, who boasts a net worth of $18 to $22 million in unison with her husband, California Gov. Gavin Newsom (D), earned roughly $1.4 million charging public schools around the country to screen her documentaries.","Paul Bois, Paul Bois",2023-02-03 15:08:13+00:00,https://www.breitbart.com/entertainment/2023/02/03/gavin-newsoms-wife-earned-1-4-million-charging-schools-to-screen-her-documentaries/,0.0,0.0,1.0,0.0,0.0
Breitbart News,VIDEO: Man at California Reparations Task Force Meeting Says Suggested $223K 'Not Enough!',"California's reparations task force met Friday and listened one speaker say the suggested amount of $223,000 per resident was not enough.","Amy Furr, Amy Furr",2023-01-30 17:09:13+00:00,https://www.breitbart.com/politics/2023/01/30/man-california-reparations-task-force-meeting-says-suggested-223k-not-enough/,0.0,0.0,1.0,0.0,0.0
