source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Vice President Kamala Harris to attend Tyre Nichols' funeral,"Vice President Kamala Harris will travel to Memphis, Tennessee, to attend Tyre Nichols' funeral on Wednesday.",Emily Shapiro,2023-01-31 21:12:33+00:00,https://abcnews.go.com/US/vice-president-kamala-harris-attend-tyre-nichols-funeral/story?id=96799221,-1.0,0.263,0.737,0.0,-0.3612
ABC News,Tyre Nichols' funeral updates: VP Harris to attend,"Tyre Nichols' family will gather in Memphis, Tennessee, on Wednesday for his funeral service, set for 2 p.m. ET.","Emily Shapiro, Nakylah Carter, Morgan Winsor",2023-02-01 19:07:45+00:00,https://abcnews.go.com/US/live-updates/tyre-nichols-funeral/?id=96788715,-1.0,0.294,0.706,0.0,-0.3612
ABC News,How the George Floyd policing bill would reform law enforcement,"The funeral for Tyre Nichols was filled with tributes for the 29-year-old who died after a violent encounter with police, and a call to action for reform.",Alexandra Hutzler,2023-02-02 19:58:53+00:00,https://abcnews.go.com/Politics/george-floyd-justice-policing-act/story?id=96851132,0.0,0.0,1.0,0.0,0.0
ABC News,Biden unveils nearly $300 million in federal funding for Hudson Tunnel Project,President Joe Biden is on the road again to pitch Americans on the benefits of the new infrastructure law passed last year with a stop Tuesday in New York.,"Ben Gittleson, Libby Cathey",2023-01-31 19:29:55+00:00,https://abcnews.go.com/Politics/biden-touts-infrastructure-improvements-new-york-city/story?id=96790797,0.0,0.0,1.0,0.0,0.0
ABC News,"'A big deal': US, Philippines tighten military ties",The Philippines says it is allowing U.S. forces to broaden their footprint in that Southeast Asian nation,JIM GOMEZ and ELLEN KNICKMEYER Associated Press,2023-02-03 01:24:01+00:00,https://abcnews.go.com/International/wireStory/us-philippines-agree-larger-american-military-presence-96839971,0.0,0.0,1.0,0.0,0.0
ABC News,"Biden, Cabinet visiting 20 states after State of the Union",President Joe Biden and his Cabinet will embark on a post-State of the Union “blitz” to visit at least 20 states next week to discuss his economic agenda after his Tuesday night address to Congress,ZEKE MILLER AP White House Correspondent,2023-02-03 21:39:47+00:00,https://abcnews.go.com/Politics/wireStory/biden-cabinet-visiting-20-states-after-state-union-96886235,0.0,0.0,1.0,0.0,0.0
ABC News,Biden to promote administration wins in speech to Democrats,"President Joe Biden hasn’t announced a reelection campaign, but some of the themes of his likely bid should be on display when he addresses a national Democratic Party meeting",WILL WEISSERT Associated Press,2023-02-03 05:39:23+00:00,https://abcnews.go.com/Politics/wireStory/biden-promote-administration-wins-speech-democrats-96868169,1.0,0.0,0.388,0.612,0.743
ABC News,Biden makes progress on 'unity agenda' outlined in 2022,"A year ago, President Joe Biden used his first State of the Union address to push top Democratic priorities that were sure to face a battle in the narrowly divided Congress — tough asks like an assault weapons ban",DARLENE SUPERVILLE Associated Press,2023-02-04 05:25:28+00:00,https://abcnews.go.com/Politics/wireStory/biden-makes-progress-unity-agenda-outlined-2022-96891681,1.0,0.0,0.682,0.318,0.4215
ABC News,"'A big deal': US, Philippines tighten military ties",The Philippines says it is allowing U.S. forces to broaden their footprint in that Southeast Asian nation,JIM GOMEZ and ELLEN KNICKMEYER Associated Press,2023-02-03 01:09:08+00:00,https://abcnews.go.com/Politics/wireStory/us-philippines-agree-larger-american-military-presence-96839972,0.0,0.0,1.0,0.0,0.0
ABC News,"At Nichols' funeral, Black America's grief on public display","The funeral of Tyre Nichols had all the hallmarks of what’s known as a homegoing service in Black American communities: comforting gospel hymns, remembrances from loved ones and a stirring eulogy from a clergyman",AARON MORRISON AP National Writer,2023-02-02 22:09:02+00:00,https://abcnews.go.com/US/wireStory/nichols-funeral-black-americas-grief-public-display-96851412,-1.0,0.487,0.513,0.0,-0.6908
