source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Senator calls on Apple, Google to remove TikTok from app stores","TikTok poses ""an unacceptable threat,"" the senator said.",Max Zahn,2023-02-02 10:06:57+00:00,https://abcnews.go.com/Technology/senator-calls-apple-google-remove-tiktok-app-stores/story?id=96827724,0.0,0.0,1.0,0.0,0.0
Bloomberg,"Apple, Google Urged to Remove TikTok From App Stores by Democratic Senator","Senator Michael Bennet, a Colorado Democrat and member of the Intelligence Committee, has asked the chief executive officers of  Apple Inc.  and Alphabet Inc.’s Google to remove TikTok, the Chinese-owned video-sharing platform, from their app stores, citing “…",Daniel Flatley,2023-02-02 10:00:00+00:00,https://www.bloomberg.com/news/articles/2023-02-02/apple-google-urged-to-remove-tiktok-from-app-stores-by-democratic-senator,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Senate Intel. Chair Warner: 'My Patience Is Running Thin' with Biden over TikTok, The Review's Lasted over Two Years","On Thursday’s broadcast of the Fox Business Network’s “Claman Countdown,” Senate Intelligence Committee Chairman Sen. Mark Warner (D-VA) stated that his “patience is running thin” with the Biden administration and TikTok and noted that the Committee on Foreig…","Ian Hanchett, Ian Hanchett",2023-02-03 03:38:56+00:00,https://www.breitbart.com/clips/2023/02/02/senate-intel-chair-warner-my-patience-is-running-thin-with-biden-over-tiktok-the-reviews-lasted-over-two-years/,0.0,0.0,1.0,0.0,0.0
CNN,Democratic senator urges Apple and Google to ban TikTok from their app stores,"A member of the Senate Intelligence Committee is calling on Apple and Google to remove TikTok from their app stores over concerns about national security, in the latest indication of mounting scrutiny on the short-form video app from members of Congress.",Brian Fung,2023-02-02 11:07:17+00:00,https://www.cnn.com/2023/02/02/tech/senator-apple-google-tiktok-ban/index.html,-1.0,0.31,0.69,0.0,-0.5574
Fox News,"Pa. paid thousands in ARP funds to orgs promoting ‘queer story hour’ for kids, ‘genderqueer’ art party",The Pennsylvania Humanities Council awarded thousands of dollars from the American Rescue Plan (ARP) Act to organizations that host LGBTQ programs for children.,Jessica Chasmar,2023-01-31 16:25:04+00:00,https://www.foxnews.com/politics/pa-paid-thousands-arp-funds-orgs-promoting-queer-story-hour-kids-genderqueer-art-party,1.0,0.0,0.698,0.302,0.6369
Fox News,"Manchin, Cruz introduce bipartisan bill barring Biden admin from selling US oil reserves to China","Sen. Joe Manchin, D-W.Va., and Sen. Ted Cruz, R-Texas, introduced bipartisan legislation Wednesday that would ban future sales of U.S. emergency oil reserves to China.",Thomas Catenacci | Fox News,2023-02-01 15:31:06+00:00,https://www.foxnews.com/politics/manchin-cruz-introduce-bipartisan-bill-barring-biden-admin-selling-oil-reserves-china,0.0,0.0,1.0,0.0,0.0
Newsweek,"Chinese Spy Balloon Escalates Rage Against TikTok, CCP",Several states have already taken action that bans the use of TikTok on state-owned devices over fears that the video-sharing app poses a security threat.,Kaitlin Lewis,2023-02-03 05:26:50+00:00,https://www.newsweek.com/chinese-spy-balloon-escalates-rage-against-tiktok-ccp-1778699,-1.0,0.34,0.66,0.0,-0.5574
Reuters,"Democratic senator urges Apple, Google to kick TikTok out of app ... - Reuters","TikTok, owned by China's ByteDance, should be removed from app stores run by Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> and Alphabet's <a href=""https://www.reuters.com/companies/GOOGL.O"" target=""_blank"">(GOOGL.O)…",,2023-02-02 10:03:00+00:00,https://www.reuters.com/technology/democratic-senator-urges-apple-google-kick-tiktok-out-app-stores-2023-02-02/,0.0,0.0,1.0,0.0,0.0
The Washington Post,TikTok opens transparency center in effort to fight calls for it to be banned,It's part of an effort to mount a public relations campaign to counter claims the app is a threat to U.S. national security.,Taylor Lorenz,2023-02-02 14:02:46+00:00,https://www.washingtonpost.com/technology/2023/02/02/ticktok-transparency-center-opens/,-1.0,0.483,0.517,0.0,-0.6808
Time,Washington Is Turning Against TikTok. Should Users Be Worried About a Ban?,Some Democrats and Republicans are calling for a ban amid ongoing concerns Beijing could access user data.,Armani Syed,2023-02-02 17:21:58+00:00,https://time.com/6252358/tiktok-ban-us-national-security/,-1.0,0.392,0.608,0.0,-0.7003
