source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
BBC News,"Cartier watch found in Hounslow charity shop raises £10,000","The 18-carat gold timepiece was found at a branch in Hounslow, west London.",https://www.facebook.com/bbcnews,2023-01-25 16:06:12+00:00,https://www.bbc.co.uk/news/uk-england-london-64401755,1.0,0.0,0.714,0.286,0.4215
Business Insider,"Meet Thom Browne, the stripe-obsessed designer who took on Adidas and won","Born in Allentown, Pennsylvania, Browne opened his first store in New York City in 2003 with five made-to-measure grey suits.",dsantana@businessinsider.com (Danni Santana),2023-01-26 17:29:14+00:00,https://www.businessinsider.com/thom-browne-designer-who-took-on-adidas-and-won-2023-1,0.0,0.0,1.0,0.0,0.0
CNN,A new partisan era of American education,"Florida Gov. Ron DeSantis says he's protecting kids from indoctrination and political agendas, but the zeal with which he has pushed expansive efforts to remake the Florida education system also represents an effort to influence young minds.",Zachary B. Wolf,2023-01-25 22:55:57+00:00,https://www.cnn.com/2023/01/25/politics/desantis-florida-education-what-matters/index.html,0.0,0.0,1.0,0.0,0.0
CNN,Jill Biden to present Inauguration Day dresses at the Smithsonian,"First lady Jill Biden will present both her Inauguration Day ensembles at the Smithsonian's National Museum of American History on Wednesday, the White House announced, as part of the museum's First Ladies Collection exhibition.","Donald Judd, Sonnet Swire",2023-01-25 01:23:04+00:00,https://www.cnn.com/2023/01/24/politics/jill-biden-inauguration-day-ensembles-smithsonian/index.html,0.0,0.0,1.0,0.0,0.0
Fox News,"Obama responds to Tyre Nichols video: 'Vicious, unjustified beating'","Barack Obama said that Tyre Nichols death was an ""vicious, unjustified beating"" one day after Memphis officials released body camera video relating to the incident.",Adam Sabes,2023-01-28 20:16:44+00:00,https://www.foxnews.com/politics/obama-responds-tyre-nichols-video-vicious-unjustified-beating,-1.0,0.478,0.522,0.0,-0.6705
Fox News,"Trump joins Biden, Obama in condemning 'horrible' beating of Tyre Nichols: 'Never should have happened'","Former President Donald Trump has responded to bodycam footage showing five Memphis police officers brutally beating Tyre Nichols, who later died of his injuries.",Lawrence Richard,2023-01-29 07:00:06+00:00,https://www.foxnews.com/politics/trump-biden-obama-condemning-horrible-beating-tyre-nichols-happened,-1.0,0.419,0.581,0.0,-0.7579
NBC News,The power couple at the center of Biden’s political universe,Bob Bauer and Anita Dunn are two of the most powerful people in Joe Biden's orbit and are at the center of his response to the classified documents discovery.,Natasha Korecki and Jonathan Allen,2023-01-29 13:00:00+00:00,https://www.nbcnews.com/politics/joe-biden/power-couple-center-bidens-political-universe-rcna67959,0.0,0.0,1.0,0.0,0.0
Newsweek,Prince Harry Has 'Every Chance' of Becoming Grammy Winner for 'Spare',"The prince could join the ranks of Michelle and Barack Obama, the Clintons and Sidney Poitier in winning a Grammy for the 15-hour narration of his audiobook.",James Crawford-Smith,2023-01-25 14:16:18+00:00,https://www.newsweek.com/prince-harry-every-chance-grammy-winner-spare-audiobook-1776437,1.0,0.0,0.547,0.453,0.7003
Newsweek,'Michelle Obama Is Really a Man': The Wildest MAGA Conspiracy Yet,The conspiracy theory has begun to resurface on social media and has been circulating since former President Barack Obama held office.,Gerrard Kaonga,2023-01-25 15:40:15+00:00,https://www.newsweek.com/michael-obama-man-transgender-maga-conspiracy-theory-latest-viral-1776518,-1.0,0.274,0.726,0.0,-0.5267
Newsweek,"Michelle Obama 'Man' Claims, 'End of Times' Bird Swarm—Misinformation Watch","Resurfaced false narrative targets former First Lady, ""apocalyptic"" scene of swarming birds, and video of ""rain in one spot""—in today's Misinformation Watch.",Yevgeny Kuklychev,2023-01-25 17:12:35+00:00,https://www.newsweek.com/michelle-obama-man-end-times-bird-swarm-misinformation-watch-1776513,0.0,0.0,1.0,0.0,0.0
Newsweek,Donald Trump Accuses His Special Counsel of 'Bullying Everyone in Sight',The former president has frequently hit out at Jack Smith amid the Mar-a-Lago classified materials investigation.,Ewan Palmer,2023-01-23 09:04:00+00:00,https://www.newsweek.com/trump-special-counsel-jack-smith-bully-classified-documents-1775629,-1.0,0.42,0.4,0.18,-0.5574
Newsweek,How Princess Diana Turned Down 'Vogue' Honor Meghan Markle Asked For,"Former editor-in-chief Alexandra Shulman revealed that Diana thought ""it would be best for everybody"" if she turned down Vogue's prestigious invite.",James Crawford-Smith,2023-01-26 10:28:24+00:00,https://www.newsweek.com/how-princess-diana-turned-down-vogue-honor-accepted-meghan-markle-1776686,1.0,0.0,0.758,0.242,0.4939
