source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
BBC News,Brighton strike late to beat Bournemouth,Kaoru Mitoma scores a late winner for the second game running as Brighton edge past Bournemouth at Amex Stadium.,,2023-02-04 16:58:27+00:00,https://www.bbc.co.uk/sport/football/64436136,-1.0,0.273,0.727,0.0,-0.128
Business Insider,GOP Gov. Chris Sununu says Trump isn't 'bringing that fire' people saw in 2016 and predicts he won't win New Hampshire's primary,New Hampshire's governor Chris Sununu is the latest Republican to cast doubt on Trump's 2024 bid for the presidency.,"cpanella@insider.com (Chris Panella,Brent D. Griffiths)",2023-01-30 16:10:30+00:00,https://www.businessinsider.com/republican-governor-sununu-donald-trump-campaign-criticism-2023-1,-1.0,0.146,0.758,0.096,-0.2584
Business Insider,"Trump may be the front runner, but his rivals clearly sense blood in the water as they move to recruit at Trump's own speeches","The good news for the former president is that, for now, the rest of the 2024 GOP field remains frozen.",bgriffiths@insider.com (Brent D. Griffiths),2023-01-31 20:41:02+00:00,https://www.businessinsider.com/trump-2024-gop-new-hampshire-south-carolina-poll-desantis-2023-1,1.0,0.0,0.816,0.184,0.4019
Business Insider,Chris Christie says Donald Trump 'can't win a general election' and GOP is finally recognizing harm of 'loser' candidates after 2022,"As Donald Trump claims he is ""more committed now than I ever was,"" Chris Christie said the GOP is realizing the consequences of ""loser"" candidates.",kbalevic@insider.com (Katie Balevic),2023-01-29 20:09:18+00:00,https://www.businessinsider.com/chris-christie-says-donald-trump-cant-win-a-general-election-2023-1,-1.0,0.434,0.566,0.0,-0.8742
CNN,Century-old train tunnels in Baltimore and New York to get funding from Biden's infrastructure law,"Long-needed improvements are coming to train travel along the nation's busy Northeast Corridor, thanks in part to the federal infrastructure funding package that President Joe Biden signed into law in the fall of 2021.",Katie Lobosco,2023-01-30 19:32:24+00:00,https://www.cnn.com/2023/01/30/politics/biden-infrastructure-law-amtrak/index.html,0.0,0.0,1.0,0.0,0.0
Fox News,Chris Christie: Trump’s Responsible For Everything That Joe Biden Has Done To This Country For The Last Two Years,"Listen To The Full Interview Below: Chris Christie, former New Jersey Governor joined the Guy Benson Show to discuss former President Trump’s chances of winning the Republican primary and general election in 2024, as several high-profile republicans weigh joi…",Wyatt Dobrovich-Fago,2023-01-31 23:34:00+00:00,https://radio.foxnews.com/2023/01/31/chris-christie-trumps-responsible-for-everything-that-joe-biden-has-done-to-this-country-for-the-last-two-years/,1.0,0.0,0.887,0.113,0.3182
Reuters,Biden continues infrastructure tour with stop in New York City on ... - Reuters,"President Joe Biden on Tuesday will visit New York City to tout new infrastructure funding for a critical underwater tunnel that connects Manhattan and New Jersey, an effort that has been mired for more than a decade in partisan bickering and ballooning budge…",,2023-01-31 11:04:00+00:00,https://www.reuters.com/world/us/biden-continues-infrastructure-tour-with-stop-new-york-city-tuesday-2023-01-31/,-1.0,0.216,0.784,0.0,-0.296
The Washington Post,"Haley prepares to signal presidential run in video, as GOP race starts slowly",The former U.N. ambassador’s move comes as other prospective candidates have slowed their planning.,Michael Scherer,2023-02-01 01:10:09+00:00,https://www.washingtonpost.com/politics/2023/01/31/haley-trump-republicans-2024-presidential-race/,0.0,0.0,1.0,0.0,0.0
The Washington Post,Trump’s path to GOP nomination is strewn with obstacles,"Trump tries to jumpstart his lackluster campaign. Rivals, including Florida Gov. Ron DeSantis, hold off. The So far, the 2024 contest looks little like 2016.",Dan Balz,2023-01-28 18:40:37+00:00,https://www.washingtonpost.com/politics/2023/01/28/trump-lackluster-campaign/,-1.0,0.342,0.658,0.0,-0.3818
USA Today,Super Bowl single-game records: Will any of these marks be broken in Super Bowl 57?,"Here is a look at the notable single-game Super Bowl records, a collection dominated by Tom Brady and the New England Patriots.",USA TODAY Sports,2023-01-31 11:25:06+00:00,https://www.usatoday.com/story/sports/nfl/super-bowl/2023/01/31/super-bowl-2023-records-nfl/11151570002/,1.0,0.173,0.391,0.436,0.6908
