source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
Associated Press,Youngkin asks lawmakers to fill school aid expectation gap,Virginia Gov. Glenn Youngkin is asking House and Senate budget leaders to include “the necessary resources” in their spending plans to address an error in a state-provided mathematical formula that led local school divisions to expect more state aid than…,By SARAH RANKIN - Associated Press,2023-02-01 23:09:17+00:00,https://apnews.com/4b9e0bd2a80b7497626f812347e53d5c,0.0,0.0,1.0,0.0,0.0
Associated Press,Lawmakers shelve bills cutting unemployment appeals times,Virginia lawmakers have shelved a pair of bills that would have given unemployment claimants half as much time to file an appeal with a state agency still struggling with some pandemic-related cases. A Senate panel on Monday voted unanimously to…,By SARAH RANKIN - Associated Press,2023-01-30 23:18:31+00:00,https://apnews.com/c1a9f01b407a6ce662f093a4c6f5aeb8,-1.0,0.468,0.532,0.0,-0.5267
Associated Press,Senate Democrats kill Youngkin-backed bill on school awards,Virginia Senate Democrats have voted down a priority measure for Republican Gov. Glenn Youngkin that would have required student and parental notification about certain scholastic awards. Youngkin sought the legislation in response to concerns about how some …,AP,2023-02-03 19:35:52+00:00,https://apnews.com/3c7c79a2242cd9a7d044f6348c79f16f,-1.0,0.37,0.394,0.236,-0.4019
Associated Press,Youngkin asks lawmakers to fill school aid expectation gap,Virginia Gov. Glenn Youngkin is asking House and Senate budget leaders to include “the necessary resources” in their spending plans to address an error in a state-provided mathematical formula that led local school divisions to expect more state aid than…,By SARAH RANKIN - Associated Press,2023-02-01 23:09:17+00:00,https://apnews.com/4b9e0bd2a80b7497626f812347e53d5c,0.0,0.0,1.0,0.0,0.0
Associated Press,Virginia AG opposes prosecuting women seeking abortions,"Speaking at an annual anti-abortion rally and march in Richmond, Republican Virginia Attorney General Jason Miyares is saying he opposes the idea that women should be prosecuted for seeking abortions. Miyares said Wednesday that the anti-abortion movement sho…",By SARAH RANKIN - Associated Press,2023-02-01 21:45:19+00:00,https://apnews.com/763f1733a304e88d8016f1fe110f77a3,0.0,0.0,1.0,0.0,0.0
Associated Press,Lawmakers shelve bills cutting unemployment appeals times,Virginia lawmakers have shelved a pair of bills that would have given unemployment claimants half as much time to file an appeal with a state agency still struggling with some pandemic-related cases. A Senate panel on Monday voted unanimously to…,By SARAH RANKIN - Associated Press,2023-01-30 22:58:30+00:00,https://apnews.com/c1a9f01b407a6ce662f093a4c6f5aeb8,-1.0,0.468,0.532,0.0,-0.5267
Associated Press,"Sponsor: Bill to legalize, tax 'skill game' machines dead","A senior Virginia Republican lawmaker says his effort to legalize and tax a certain type of electronic betting machine that has proliferated in gas stations, bars and other locations around the state is dead, for now. House Majority Leader Terry…",By SARAH RANKIN - Associated Press,2023-02-02 15:42:21+00:00,https://apnews.com/0c6f5a1f2c2944d08a8346c317131459,-1.0,0.381,0.619,0.0,-0.6486
Associated Press,Mass shootings lead to widening divide on state gun policies,"As mass shootings are again drawing public attention, states across the U.S. seem to be deepening their political divide on gun policies. A series of recent mass shootings in California come after a third straight year in which U.S. states…",By DAVID A. LIEB - Associated Press,2023-01-28 16:01:38+00:00,https://apnews.com/045c6a88439907da9895af0ceb0e9404,-1.0,0.255,0.745,0.0,-0.34
Breitbart News,"Democrat Tim Kaine's Wife Denounces Declaration of Independence, Constitution as 'Fundamental in Enshrining Slavery'","Anne Holton, wife of U.S. Sen. Tim Kaine (D-VA), denounced the Declaration of Independence and Constitution as ""fundamental in enshrining slavery.""","Breccan F. Thies, Breccan F. Thies",2023-02-04 00:52:46+00:00,https://www.breitbart.com/politics/2023/02/03/democrat-tim-kaines-wife-denounces-declaration-of-independence-constitution-as-fundamental-in-enshrining-slavery/,-1.0,0.461,0.539,0.0,-0.8271
Breitbart News,Poll: Donald Trump Leads in New Hampshire,Former President Donald Trump leads the hypothetical 2024 Republican primary field in the latest New Hampshire Journal/Coefficient poll.,"Jacob Bliss, Jacob Bliss",2023-01-30 18:16:28+00:00,https://www.breitbart.com/politics/2023/01/30/poll-trump-leads-new-hampshire/,0.0,0.0,1.0,0.0,0.0
