source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,10-year-old Uvalde shooting survivor healing from trauma with EMDR therapy,10-year-old Uvalde shooting survivor healing from trauma with EMDR therapygo.com,Stephanie Mendez,2023-02-01 17:11:08+00:00,https://abcnews.go.com/ABCNews/10-year-uvalde-shooting-survivor-healing-trauma-emdr/story?id=96743909,-1.0,0.248,0.531,0.221,-0.0772
ABC News,"Will the Texas power grid survive the next deep freeze? Only time will tell, experts say","The lights have stayed on in Texas among the recent freezes the state has been experiencing, but experts aren't sure whether the energy grids are winterized enough.",Julia Jacobo,2023-02-02 10:08:47+00:00,https://abcnews.go.com/Technology/texas-power-grid-survive-deep-freeze-time-experts/story?id=96789459,1.0,0.0,0.909,0.091,0.0516
Al Jazeera English,Winter chill brings power outages and travel issues to US south,"Winter weather has resulted in at least two deaths in the state of Texas and more than 1,600 flight cancellations.",Al Jazeera,2023-01-31 21:12:36+00:00,https://www.aljazeera.com/news/2023/1/31/winter-chill-brings-power-outages-and-travel-issues-to-us-south,0.0,0.0,1.0,0.0,0.0
Associated Press,"Frustrated Texans endure winter storm with no power, heat - The Associated Press - en Español","<ol><li>Frustrated Texans endure winter storm with no power, heat  The Associated Press - en Español
</li><li>Power lines down across Central Texas Wednesday evening | KVUE  KVUE
</li><li>Winter storm cancels flights, keeps thousands without power  AOL
</l…",Paul J. Weber,2023-02-02 21:36:47+00:00,https://apnews.com/article/weather-disaster-planning-and-response-arkansas-climate-environment-texas-43eac24afe75fa5b0420959b0408b43d,-1.0,0.236,0.764,0.0,-0.5267
Associated Press,"US winter storm causes 3rd day of dangerous, icy conditions - The Associated Press - en Español","<ol><li>US winter storm causes 3rd day of dangerous, icy conditions  The Associated Press - en Español
</li><li>Dallas Weather: Ice Storm Warning for Dallas-Fort Worth brings more traffic, infrastructure concerns  FOX 4 News Dallas-Fort Worth
</li><li>Ice s…",Ken Miller,2023-02-01 17:48:45+00:00,https://apnews.com/article/weather-accidents-west-virginia-austin-dallas-9699c579e14b232af86401bf84f41192,-1.0,0.193,0.807,0.0,-0.4767
Associated Press,"Winter storm updates: Flights canceled, deaths in Texas - The Associated Press - en Español","<ol><li>Winter storm updates: Flights canceled, deaths in Texas  The Associated Press - en Español
</li><li>More than 1,000 US flights canceled as winter weather snarls travel  CNN
</li><li>More Than 1200 Flights Canceled as Winter Storms, Ice Rain Sweep So…",Paul J. Weber,2023-01-31 17:48:45+00:00,https://apnews.com/article/winter-storm-texas-updates-bfb243c2820836796d5dc5b339cf5756,0.0,0.0,1.0,0.0,0.0
Associated Press,Mass shootings lead to widening divide on state gun policies,"As mass shootings are again drawing public attention, states across the U.S. seem to be deepening their political divide on gun policies. A series of recent mass shootings in California come after a third straight year in which U.S. states…",By DAVID A. LIEB - Associated Press,2023-01-28 16:01:38+00:00,https://apnews.com/045c6a88439907da9895af0ceb0e9404,-1.0,0.255,0.745,0.0,-0.34
BBC News,Ice storm leaves thousands without power in Texas,"More than 2,150 flights have been cancelled, with Dallas and Austin airports being the most impacted.",https://www.facebook.com/bbcnews,2023-02-01 17:36:59+00:00,https://www.bbc.co.uk/news/world-us-canada-64485092,0.0,0.0,1.0,0.0,0.0
Breitbart News,Border Patrol Union: 'China Watching Our Border More Closely than the Biden Administration',"With a suspected Chinese spy balloon “violating” United States airspace, the U.S. Border Patrol Union jokingly stated on Friday that China has been watching the U.S. border more closely than the Biden administration.","Jacob Bliss, Jacob Bliss",2023-02-03 19:31:59+00:00,https://www.breitbart.com/politics/2023/02/03/border-patrol-union-china-watching-our-border-more-closely-than-the-biden-admin/,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Joe Biden Wants to Delay, Divert Republican Lawsuit Against Migrant Parole Pathway","President Joe Biden's deputies are trying to find a favorable judge who will protect their quasi-legal, semi-secret ""parole pathway"" for economic migrants from a Republican lawsuit.","Neil Munro, Neil Munro",2023-01-28 16:06:08+00:00,https://www.breitbart.com/immigration/2023/01/28/joe-biden-wants-delay-divert-republican-lawsuit-against-migrant-parole-pathway/,-1.0,0.318,0.682,0.0,-0.4939
