source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Today in History: FEB 4, Rosa Parks is born","Today in History

Today is Saturday, Feb. 4, the 35th day of 2023. There are 330 days left in the year. 

Today’s Highlight in History: 

On Feb. 4, 1783, Britain’s King George III proclaimed a formal cessation of hostilities in the American Revolutionary War…",The Associated Press,2023-02-04 05:08:37+00:00,https://abcnews.go.com/US/wireStory/today-history-feb-4-rosa-parks-born-96891415,0.0,0.0,1.0,0.0,0.0
Breitbart News,Democrat Border Policy: Let Business Hire Foreign Workers,Multiple Democrats used a Wednesday hearing to justify President Joe Biden's lax border by arguing CEOs are entitled to hire more foreign workers.,"Neil Munro, Neil Munro",2023-02-02 11:17:13+00:00,https://www.breitbart.com/economy/2023/02/02/democrats-defend-bidens-lax-border-business-want-migrant-workers/,0.0,0.0,1.0,0.0,0.0
Business Insider,"Federal agencies had intel that could have prevented Jan. 6 attack but they failed to act on it, committee investigator tells NBC","Tim Heaphy, investigative counsel for the Jan. 6 panel, told NBC News that the FBI, DHS, and other law enforcement agencies didn't adequately prepare.",esnodgrass@insider.com (Erin Snodgrass),2023-02-01 01:36:26+00:00,https://www.businessinsider.com/federal-agencies-had-intel-to-prevent-jan-6-tim-heaphy-2023-1,-1.0,0.366,0.571,0.063,-0.743
Business Insider,"Trump's new label for Ron DeSantis, 'RINO globalist,' has roots in a far-right conspiracy theory about an insidious global network of powerful people","Trump has been calling the Florida governor names like ""Ron DeSanctimonious."" His latest move was to brand DeSantis a ""Republican in name only.""",insider@insider.com (Cheryl Teh),2023-02-02 05:23:00+00:00,https://www.businessinsider.com/donald-trump-ron-desantis-rino-globalist-ron-desanctimonious-2023-2,-1.0,0.168,0.693,0.139,-0.1531
Business Insider,Ron DeSantis has a 12-point lead over Donald Trump in a potential 2024 New Hampshire primary matchup: poll,"In the UNH poll, a little under half (46%) of GOP voters felt Trump should run for president again, while roughly 50% thought he should forgo a bid.",insider@insider.com (John L. Dorman),2023-01-28 17:29:39+00:00,https://www.businessinsider.com/desantis-leads-trump-new-hampshire-2024-republican-presidential-primary-poll-2023-1,0.0,0.0,1.0,0.0,0.0
Fox News,NBC News reports federal law enforcement 'could have prevented' Jan. 6 riot: 'Did not act on intelligence',NBC aired a segment Wednesday that highlighted federal law enforcement agencies' failures in the lead up to the Jan. 6 Capitol riot that occurred in the final days of Trump's first term.,Joe Silverstein,2023-02-02 02:28:14+00:00,https://www.foxnews.com/media/nbc-news-reports-federal-law-enforcement-prevented-jan-6-riot-act-intelligence,1.0,0.202,0.562,0.236,-0.1027
Fox News,South Dakota Republicans move to pass sweeping election security bills,South Dakota Republicans are advancing several bills in the state Legislature that they claim would significantly reform the state's voting systems.,Associated Press,2023-02-03 22:47:51+00:00,https://www.foxnews.com/politics/south-dakota-republicans-move-pass-sweeping-election-security-bills,1.0,0.0,0.769,0.231,0.34
Fox News,Making good on pledges,"Reps. Adam Schiff, Eric Swalwell, and Ilhan Omar, who were stripped of their committee assignments by House Speaker Kevin McCarthy.",Chad Pergram,2023-01-28 20:01:43+00:00,https://www.foxnews.com/politics/making-good-pledges,1.0,0.0,0.408,0.592,0.4404
Fox News,"South Carolina's Nikki Haley to launch 2024 presidential campaign, joining Trump in nomination hunt","Nikki Haley of South Carolina, who served as United Nations ambassador during former President Donald Trump’s administration, will soon declare her candidacy for president.",Paul Steinhauser | Fox News,2023-02-01 03:49:06+00:00,https://www.foxnews.com/politics/south-carolinas-nikki-haley-launch-2024-presidential-campaign-joining-trump-nomination-hunt,0.0,0.0,1.0,0.0,0.0
MSNBC,Ilhan Omar’s committee removal was a long time coming,"Her ouster from the Foreign Affairs committee isn't surprising, given the case her fellow Democrats previously made against her.",Noah Rothman,2023-02-02 23:44:27+00:00,https://www.msnbc.com/opinion/msnbc-opinion/ilhan-omars-committee-removal-was-long-time-coming-rcna68872,0.0,0.0,1.0,0.0,0.0
NBC News,"Top Jan. 6 investigator: FBI, others could have stopped Capitol mob had they acted on intel","The Jan. 6 committee concluded the FBI and other agencies could have averted the Capitol riot had they acted on intel, the chief investigator told NBC News.",Ken Dilanian and Ryan J. Reilly,2023-01-31 22:36:18+00:00,https://www.nbcnews.com/politics/congress/fbi-stopped-jan-6-capitol-mob-acted-intelligence-rcna68155,-1.0,0.15,0.709,0.142,-0.0258
Newsweek,"Top GOP Strategist Rips Trump For Attacking Nikki Haley, DeSantis: 'Loser'","So far, Trump is the only notable candidate in the 2024 presidential election. He has recently taken some verbal shots at his potential contenders.",Anna Skinner,2023-02-02 20:41:38+00:00,https://www.newsweek.com/top-gop-strategist-rips-trump-nikki-haley-desantis-1778652,-1.0,0.395,0.494,0.111,-0.6808
