source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,FBI scheduling search of former Vice President Pence's home for classified docs,The Department of Justice is in contact with former Vice President Mike Pence's lawyers about scheduling a potential search of his home in Indiana.,"Katherine Faulders, Alexander Mallin, Luke Barr",2023-02-02 17:36:10+00:00,https://abcnews.go.com/Politics/justice-department-talks-search-former-vice-president-mike/story?id=96853731,0.0,0.0,1.0,0.0,0.0
ABC News,FBI conducting 'planned search' of Biden's Rehoboth Beach home: Biden lawyer,"The Department of Justice is conducting a ""planned search"" Wednesday of President Joe Biden's home in Rehoboth Beach, Delaware, according to Biden's personal lawyer.",Molly Nagle,2023-02-01 15:01:55+00:00,https://abcnews.go.com/Politics/fbi-conducting-planned-search-bidens-rehoboth-beach-home/story?id=96817125,0.0,0.0,1.0,0.0,0.0
ABC News,FBI searches Biden's Rehoboth Beach home amid classified docs probe,"The Department of Justice is conducting a ""planned search"" Wednesday of President Joe Biden's home in Rehoboth Beach, Delaware, according to Biden's personal lawyer.",Molly Nagle,2023-02-01 15:46:07+00:00,https://abcnews.go.com/Politics/fbi-searches-bidens-rehoboth-beach-home-amid-classified/story?id=96817125,0.0,0.0,1.0,0.0,0.0
ABC News,Trump kicks off 2024 bid with events in early voting states,Former President Donald Trump is set to kick off his 2024 White House bid with visits to a pair of early voting states,MEG KINNARD and JILL COLVIN Associated Press,2023-01-28 05:53:47+00:00,https://abcnews.go.com/Politics/wireStory/trump-kicks-off-2024-bid-events-early-voting-96736372,0.0,0.0,1.0,0.0,0.0
ABC News,DeSantis eyes 2024 from afar as GOP rivals move toward runs,"Florida Gov. Ron DeSantis may be months away from publicly declaring his presidential intentions, but his potential rivals aren’t holding back","STEVE PEOPLES, THOMAS BEAUMONT and ANTHONY IZAGUIRRE Associated Press",2023-02-03 05:54:21+00:00,https://abcnews.go.com/Politics/wireStory/desantis-eyes-2024-afar-gop-rivals-move-runs-96868349,0.0,0.0,1.0,0.0,0.0
ABC News,"Congress could 'force' DOJ to show them Biden and Trump classified documents, Rep. Turner says","Congress could 'force' DOJ to show them Biden and Trump classified documents, Rep. Turner saysgo.com",Teresa Mettela,2023-01-29 15:11:09+00:00,https://abcnews.go.com/Politics/congress-force-doj-show-biden-trump-classified-documents/story?id=96741821,0.0,0.0,1.0,0.0,0.0
ABC News,"Trump kicks off presidential campaign in New Hampshire, South Carolina","South Carolina is taking a ""wait and see"" approach with Trump, observers say.",Mariam Khan,2023-01-28 10:12:53+00:00,https://abcnews.go.com/Politics/trump-kicks-off-presidential-campaign-new-hampshire-south/story?id=96700894,0.0,0.0,1.0,0.0,0.0
Al Jazeera English,"FBI searches Biden’s beach house amid document probe, lawyer says","US president's lawyer says the search, under 'standard procedure', is taking place with Biden's full cooperation.",Al Jazeera,2023-02-01 17:04:35+00:00,https://www.aljazeera.com/news/2023/2/1/fbi-searches-bidens-beach-house-amid-document-probe-lawyer-says,0.0,0.0,1.0,0.0,0.0
Associated Press,Biden handwritten notes part of probe...,"Biden handwritten notes part of probe...

 
 
 
 (Second column, 2nd story, link)

 

 

 
 Related stories:FBI to Search Pence Home for Additional Classified Materials... Developing...

 

 
 
 Drudge Report Feed needs your support!   Become a Patron","Zeke Miller, Colleen Long",2023-02-02 20:43:38+00:00,https://apnews.com/article/biden-politics-district-of-columbia-united-states-government-us-federal-bureau-investigation-232f991e6f8697124a5771a979a46bbb,0.0,0.0,1.0,0.0,0.0
Associated Press,Trump kicks off 2024 run with stops in early-voting states...,"COLUMBIA, S.C. (AP) — Former President Donald Trump  is set to kick off his 2024 White House bid on Saturday with visits to a pair of early-voting states, his first campaign events since announcing his latest run  more than two months ago.",Meg Kinnard,2023-01-28 14:28:37+00:00,https://apnews.com/article/abortion-politics-new-hampshire-state-government-south-carolina-2022-midterm-elections-7624d58296aa9b808032e2edbcd166c3,-1.0,0.211,0.789,0.0,-0.1531
