source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,DeSantis eyes 2024 from afar as GOP rivals move toward runs,"Florida Gov. Ron DeSantis may be months away from publicly declaring his presidential intentions, but his potential rivals aren’t holding back","STEVE PEOPLES, THOMAS BEAUMONT and ANTHONY IZAGUIRRE Associated Press",2023-02-03 05:54:21+00:00,https://abcnews.go.com/Politics/wireStory/desantis-eyes-2024-afar-gop-rivals-move-runs-96868349,0.0,0.0,1.0,0.0,0.0
ABC News,"Trump kicks off presidential campaign in New Hampshire, South Carolina","South Carolina is taking a ""wait and see"" approach with Trump, observers say.",Mariam Khan,2023-01-28 10:12:53+00:00,https://abcnews.go.com/Politics/trump-kicks-off-presidential-campaign-new-hampshire-south/story?id=96700894,0.0,0.0,1.0,0.0,0.0
Associated Press,"In Iowa, potential 2024 GOP Trump challengers quiet for now","The presidential campaign landscape in Iowa is markedly different this year compared with four years ago. In 2019, at least a dozen Democratic hopefuls eager to make their case against the Republican incumbent, Donald Trump, had either visited Iowa or…",By THOMAS BEAUMONT - Associated Press,2023-01-31 05:39:46+00:00,https://apnews.com/aa8f72fb2aa39553dc05ad9e778f74a3,1.0,0.0,0.833,0.167,0.1027
Bloomberg,US and China Talk About Better Ties But Things Have Only Become Worse,The US keeps saying it wants to set a “floor” under the relationship with China. Its recent moves against Beijing and new pressure from Congress make achieving that look increasingly unlikely.,"Iain Marlow, Jenny Leonard, Rebecca Choong Wilkins",2023-02-02 10:00:10+00:00,https://www.bloomberg.com/news/articles/2023-02-02/blinken-s-china-visit-hopes-to-reset-ties,-1.0,0.258,0.621,0.121,-0.4939
Bloomberg,Nikki Haley Plans to Challenge Trump With 2024 White House Bid,"Nikki Haley, a former South Carolina Governor and Donald Trump’s ambassador to the United Nations, plans to announce that she’s running for president.",Mario Parker,2023-02-01 05:00:48+00:00,https://www.bloomberg.com/news/articles/2023-02-01/nikki-haley-plans-to-challenge-trump-with-2024-white-house-bid,1.0,0.0,0.874,0.126,0.0772
Bloomberg,Donald Trump 2024 Latest: New Hampshire Governor Sees Disappointment,Donald Trump ran headlong into some of the biggest challenges he’ll face in his comeback bid — fading enthusiasm among Republicans looking to move on from the former president and rising rivals for the GOP nomination — as he hit the 2024 campaign trail for th…,Christian Hall,2023-01-29 21:08:52+00:00,https://www.bloomberg.com/news/articles/2023-01-29/donald-trump-2024-latest-new-hampshire-governor-sees-disappointment,-1.0,0.292,0.708,0.0,-0.5106
Breitbart News,Exclusive -- Mike Pompeo on General's Warning of War with China in 2025: 'Our Military Should Get Ready',"Mike Pompeo, secretary of state and CIA director during the Trump administration, told Sirius XM's Breitbart News Saturday in an exclusive interview on Saturday he supported the point a U.S. military general made in a recent memo that the U.S. needs to be pre…","Kristina Wong, Kristina Wong",2023-01-31 10:13:57+00:00,https://www.breitbart.com/politics/2023/01/31/exclusive-mike-pompeo-on-generals-warning-of-war-with-china-in-2025-our-military-should-get-ready/,-1.0,0.326,0.466,0.207,-0.5106
Breitbart News,Endless Arms Flow to Ukraine Raises Worry over U.S. Military Readiness Against China,There is growing worry in Washington that endless weapons support to Ukraine is hurting the U.S.'s ability to deter China from invading Taiwan and win if a conflict with China did break out.,"Kristina Wong, Kristina Wong",2023-01-31 12:30:56+00:00,https://www.breitbart.com/politics/2023/01/31/endless-arms-flow-to-ukraine-raises-worry-over-u-s-military-readiness-against-china/,-1.0,0.209,0.647,0.144,-0.2263
Breitbart News,"Exclusive – Mike Pompeo Shreds Nikki Haley, John Bolton over Alleged Actions During Trump Administration: 'Too Many People Weren't on the Team'","Former Secretary of State Mike Pompeo appeared on Breitbart News Saturday and blasted both former United Nations Ambassador Nikki Haley, who allegedly attempted to oust former Vice President Mike Pence and take his role during the Trump administration, and fo…","Nick Gilbertson, Nick Gilbertson",2023-01-29 21:40:23+00:00,https://www.breitbart.com/politics/2023/01/29/exclusive-mike-pompeo-shreds-nikki-haley-john-bolton-alleged-actions-during-trump-administration-too-many-people-werent-team/,1.0,0.0,0.919,0.081,0.128
Breitbart News,Exclusive: Mike Pompeo on Trump Administration's Killing of Iran Terror Chief Soleimani: 'American Power Comes from Clarity and Action',"Former Secretary of State Mike Pompeo joined Breitbart News Saturday and recounted the lead-up to the Trump administration's decision to kill Iranian Gen. Qasem Soleimani in January 2020, including the meeting with then-President Donald Trump to sign off on t…","Nick Gilbertson, Nick Gilbertson",2023-01-28 21:30:38+00:00,https://www.breitbart.com/politics/2023/01/28/pompeo-trump-administrations-killing-iran-terror-chief-solemani-american-power-comes-clarity-action/,-1.0,0.339,0.478,0.183,-0.6808
