source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,DeSantis pushes ban on diversity programs in state colleges,"Florida Gov. Ron DeSantis has announced plans to block state colleges from having programs on diversity, equity and inclusion, and critical race theory",ANTHONY IZAGUIRRE Associated Press,2023-01-31 21:13:47+00:00,https://abcnews.go.com/US/wireStory/desantis-pushes-ban-diversity-programs-state-colleges-96798781,-1.0,0.375,0.625,0.0,-0.5574
ABC News,Revised AP African American studies courses announced following Florida rejection,"College Board's AP African American studies framework has officially been released. The pilot was criticized by conservatives, including Florida Gov. Ron DeSantis.",Kiara Alfonseca,2023-02-01 22:20:23+00:00,https://abcnews.go.com/US/ap-african-american-studies-official-framework-released-after/story?id=96818517,-1.0,0.28,0.72,0.0,-0.5423
ABC News,Florida GOP leaders want to get rid of gun permits,"Saying gun owners don’t need a government permission slip to protect their God-given rights, Florida House Speaker Paul Renner proposed legislation to eliminate concealed weapons permits",BRENDAN FARRINGTON Associated Press,2023-01-30 21:42:15+00:00,https://abcnews.go.com/Politics/wireStory/florida-gop-leaders-rid-gun-permits-96773328,-1.0,0.247,0.619,0.134,-0.2732
ABC News,Florida schools directed to hide classroom books that are not vetted,The state board of education said a law restricting school libraries from displaying or lending books that have not been vetted applies to books displayed in classrooms.,"Tesfaye Negussie, Rahma Ahmed",2023-02-04 03:44:31+00:00,https://abcnews.go.com/Politics/florida-schools-directed-cover-remove-classroom-books-vetted/story?id=96884323,-1.0,0.221,0.779,0.0,-0.1779
ABC News,Trump kicks off 2024 bid with events in early voting states,Former President Donald Trump is set to kick off his 2024 White House bid with visits to a pair of early voting states,MEG KINNARD and JILL COLVIN Associated Press,2023-01-28 05:53:47+00:00,https://abcnews.go.com/Politics/wireStory/trump-kicks-off-2024-bid-events-early-voting-96736372,0.0,0.0,1.0,0.0,0.0
ABC News,DeSantis eyes 2024 from afar as GOP rivals move toward runs,"Florida Gov. Ron DeSantis may be months away from publicly declaring his presidential intentions, but his potential rivals aren’t holding back","STEVE PEOPLES, THOMAS BEAUMONT and ANTHONY IZAGUIRRE Associated Press",2023-02-03 05:54:21+00:00,https://abcnews.go.com/Politics/wireStory/desantis-eyes-2024-afar-gop-rivals-move-runs-96868349,0.0,0.0,1.0,0.0,0.0
ABC News,"Florida lawmakers to meet next week on Disney, immigration",Florida lawmakers will meet next week to complete a state takeover of Walt Disney World’s self-governing district and debate proposals on immigration and election crimes,ANTHONY IZAGUIRRE Associated Press,2023-02-04 00:54:26+00:00,https://abcnews.go.com/Politics/wireStory/florida-lawmakers-meet-week-disney-immigration-96888520,0.0,0.0,1.0,0.0,0.0
ABC News,Biden to promote administration wins in speech to Democrats,"President Joe Biden hasn’t announced a reelection campaign, but some of the themes of his likely bid should be on display when he addresses a national Democratic Party meeting",WILL WEISSERT Associated Press,2023-02-03 05:39:23+00:00,https://abcnews.go.com/Politics/wireStory/biden-promote-administration-wins-speech-democrats-96868169,1.0,0.0,0.388,0.612,0.743
ABC News,"Florida lawmakers to meet next week on Disney, immigration",Florida lawmakers will meet next week to complete a state takeover of Walt Disney World’s self-governing district and debate proposals on immigration and election crimes,ANTHONY IZAGUIRRE Associated Press,2023-02-04 00:54:19+00:00,https://abcnews.go.com/US/wireStory/florida-lawmakers-meet-week-disney-immigration-96888519,0.0,0.0,1.0,0.0,0.0
ABC News,"Disney World unions vote down offer covering 45,000 workers","Union members voted down a contract proposal covering tens of thousands of Walt Disney World service workers, saying it didn’t go far enough toward helping employees face cost-of-living hikes in housing and other expenses in central Florida",MIKE SCHNEIDER Associated Press,2023-02-04 15:54:08+00:00,https://abcnews.go.com/Entertainment/wireStory/disney-world-unions-vote-offer-covering-45000-workers-96894498,0.0,0.0,1.0,0.0,0.0
ABC News,"Florida lawmakers to meet next week on Disney, immigration",Florida lawmakers will meet next week to complete a state takeover of Walt Disney World’s self-governing district and debate proposals on immigration and election crimes,ANTHONY IZAGUIRRE Associated Press,2023-02-04 00:54:34+00:00,https://abcnews.go.com/Business/wireStory/florida-lawmakers-meet-week-disney-immigration-96888522,0.0,0.0,1.0,0.0,0.0
ABC News,"Disney World unions vote down offer covering 45,000 workers","Union members voted down a contract proposal covering tens of thousands of Walt Disney World service workers, saying it didn’t go far enough toward helping employees face cost-of-living hikes in housing and other expenses in central Florida",MIKE SCHNEIDER Associated Press,2023-02-04 15:54:15+00:00,https://abcnews.go.com/Business/wireStory/disney-world-unions-vote-offer-covering-45000-workers-96894500,0.0,0.0,1.0,0.0,0.0
ABC News,The external campaign grows for a DeSantis 2024 bid,"Although the Florida governor has stayed quiet on 2024, his supporters have not.",Hannah Demissie,2023-02-02 19:06:00+00:00,https://abcnews.go.com/Politics/external-campaign-grows-desantis-2024-bid/story?id=96798856,0.0,0.0,1.0,0.0,0.0
ABC News,"Trump kicks off presidential campaign in New Hampshire, South Carolina","South Carolina is taking a ""wait and see"" approach with Trump, observers say.",Mariam Khan,2023-01-28 10:12:53+00:00,https://abcnews.go.com/Politics/trump-kicks-off-presidential-campaign-new-hampshire-south/story?id=96700894,0.0,0.0,1.0,0.0,0.0
