source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Guest lineups for the Sunday news shows,Guest lineups for the Sunday news shows,The Associated Press,2023-02-04 00:23:39+00:00,https://abcnews.go.com/Politics/wireStory/guest-lineups-sunday-news-shows-96888129,0.0,0.0,1.0,0.0,0.0
ABC News,Guest lineups for the Sunday news shows,Guest lineups for the Sunday news shows,The Associated Press,2023-02-04 00:23:46+00:00,https://abcnews.go.com/Entertainment/wireStory/guest-lineups-sunday-news-shows-96888190,0.0,0.0,1.0,0.0,0.0
ABC News,Republicans paint Biden as soft on China as surveillance balloon soars over US,Republicans paint Biden as soft on China as surveillance balloon soars over USgo.com,Libby Cathey,2023-02-03 16:50:57+00:00,https://abcnews.go.com/Politics/republicans-paint-biden-soft-china-surveillance-balloon-soars/story?id=96874306,0.0,0.0,1.0,0.0,0.0
Breitbart News,Senate Republicans Seek to Overturn D.C. Law Allowing Illegal Aliens to Vote,"A group of Senate Republicans is hoping to pass a joint resolution that will overturn a new law, approved by Democrats on the Washington, DC, City Council, that extends municipal voting rights to illegal aliens.","John Binder, John Binder",2023-02-02 22:56:19+00:00,https://www.breitbart.com/politics/2023/02/02/senate-republicans-seek-to-overturn-d-c-law-allowing-illegal-aliens-to-vote/,-1.0,0.286,0.714,0.0,-0.5574
Breitbart News,Officials Call to Shoot Down the Alleged China Spy Balloon: 'Take the Shot',"Outrage over the alleged Chinese spy balloon hovering over the northwestern United States is mounting as Biden administration officials do ""nothing"" and some officials call for immediate action.","Hannah Bleau, Hannah Bleau",2023-02-03 17:36:42+00:00,https://www.breitbart.com/politics/2023/02/03/officials-call-to-shoot-down-alleged-china-spy-balloon-take-shot/,-1.0,0.211,0.789,0.0,-0.34
Breitbart News,Exclusive: Rep. Chris Smith Presents Bill to Strip China of Trade Privileges,"Rep. Chris Smith (R-NJ) introduced a bill on Tuesday that would tie China's trade privileges in the United States to improving its deplorable human rights record, requiring the communist government to shut down concentration camps, stop harvesting the organs …","Frances Martel, Frances Martel",2023-01-31 03:44:35+00:00,https://www.breitbart.com/asia/2023/01/30/exclusive-rep-chris-smith-presents-bill-to-strip-china-of-trade-privileges/,1.0,0.0,0.661,0.339,0.4767
Breitbart News,'RINO' Mitch Daniels Not Running for Hoosier Senate Seat,"Former Indiana Gov. Mitch Daniels (R) said on Tuesday that he would not run for Indiana Senate, clearing the path for Rep. Jim Banks (R-IN) to become the frontrunner to replace the outgoing Sen. Mike Braun (R-IN).","Sean Moran, Sean Moran",2023-01-31 14:29:55+00:00,https://www.breitbart.com/politics/2023/01/31/rino-mitch-daniels-not-running-for-hoosier-senate-seat/,0.0,0.0,1.0,0.0,0.0
CBS News,"Warner, Rubio renew call for briefing on Biden, Trump classified documents","Sens. Mark Warner and Marco Rubio renewed demand that their committee be briefed on classified documents found at Trump and Biden residences, and expanded request to include documents found in former Vice President Pence's possession.","Olivia Gazis, Melissa Quinn",2023-02-02 20:13:58+00:00,https://www.cbsnews.com/news/senate-intelligence-committee-warner-rubio-urge-immediate-compliance-biden-trump-documents/,0.0,0.0,1.0,0.0,0.0
CNN,Republicans are lashing out at DirecTV for supposedly 'censoring' conservative voices. Here's what's really going on,The right is not retreating from its fight with DirecTV.,Oliver Darcy,2023-02-02 03:40:58+00:00,https://www.cnn.com/2023/02/01/media/republicans-directv-reliable-sources/index.html,0.0,0.0,1.0,0.0,0.0
Fox News,"Cruz, Rubio, Paul, Cotton, Hawley, and Cotton — most GOP Senators stay on the 2024 sidelines","Other than Sen. Tim Scott, the Republican senators viewed as potential 2024 presidential contenders are sitting on the sidelines as Donald Trump and Ron DeSantis grab outsized attention",Paul Steinhauser,2023-02-02 13:30:07+00:00,https://www.foxnews.com/politics/cruz-rubio-paul-cotton-hawley-cotton-most-gop-senators-stay-2024-sidelines,0.0,0.0,1.0,0.0,0.0
Fox News,"Pentagon salaries for diversity, equity, inclusion staff capped at $31K under Cotton, Banks bill","Republicans are pushing a new bill that would cap the salaries of the Pentagon's diversity, equity and inclusion employees at $31,000.",Kelly Laco,2023-02-01 17:27:17+00:00,https://www.foxnews.com/politics/pentagon-salaries-diversity-equity-inclusion-staff-capped-31k-under-cotton-banks-bill,0.0,0.0,1.0,0.0,0.0
Fox News,GOP rips Biden after suspected Chinese spy balloon found floating over the US,"Republicans ripped the Biden administration after a suspected Chinese spy balloon was found over the U.S., and demanded a tough response against the U.S.'s main adversary.",Peter Kasperowicz,2023-02-03 00:58:02+00:00,https://www.foxnews.com/politics/gop-rips-biden-suspected-chinese-spy-balloon-floating-us-call-strong-response,-1.0,0.174,0.826,0.0,-0.2263
Fox News,"Jordan, Cruz shred Biden over suspected Chinese spy balloon by comparing him to past presidents: 'Weakness'","Rep. Jim Jordan said President Biden's inaction on the suspected Chinese spy balloon flies in the face of previous presidents, like Ronald Reagan and John F. Kennedy.",Lawrence Richard,2023-02-04 10:33:20+00:00,https://www.foxnews.com/politics/jordan-cruz-shred-biden-chinese-spy-balloon-comparing-past-presidents,-1.0,0.32,0.68,0.0,-0.5719
Fox News,'SHOOT IT DOWN': Montana GOP demand Biden take out suspected Chinese spy balloon hovering over US for days,Montana Republicans are calling for President Joe Biden to take action against the suspected Chinese surveillance balloon currently roaming over the state.,Aubrie Spady,2023-02-03 12:44:27+00:00,https://www.foxnews.com/politics/shoot-down-montana-gop-demand-biden-suspected-chinese-spy-balloon-hovering-us-days,-1.0,0.353,0.647,0.0,-0.6739
Fox News,Suspected Chinese spy balloon could end up over the Carolinas later this weekend if Biden fails to take action,"Should President Biden fail to act on a suspected Chinese spy balloon, it could make its way over the Carolinas by Saturday afternoon, completing a trip across the United States.",Lawrence Richard,2023-02-04 05:30:21+00:00,https://www.foxnews.com/politics/suspected-chinese-spy-balloon-could-carolinas-weekend-biden-fails-action,-1.0,0.299,0.701,0.0,-0.5719
Fox News,Stefanik calls for intelligence brief on China spy balloon: 'Wakeup call for Joe Biden',"Rep. Elise Stefanik demanded an intelligence briefing on China’s ""violation"" of U.S. airspace Friday in response to the communist country’s spy balloon hovering over Montana.",Patrick Hauf,2023-02-03 17:04:36+00:00,https://www.foxnews.com/politics/stefanik-calls-intelligence-brief-china-spy-balloon-wakeup-call-joe-biden,1.0,0.0,0.763,0.237,0.4767
Fox News,Chinese spy balloon enters US airspace: What we know,"A Chinese surveillance balloon has penetrated U.S. airspace, marking a significant security and diplomatic blow to U.S.-Sino relations -- and sparking political outrage.",Adam Shaw,2023-02-03 16:38:43+00:00,https://www.foxnews.com/politics/chinese-spy-balloon-enters-us-airspace-what-we-know,0.0,0.0,1.0,0.0,0.0
Fox News,"'Fox News Sunday' on January 29, 2022","On 'Fox News Sunday,' host Shannon Bream welcomed Alabama Sen. Katie Britt, Rep. Michael McCaul, and more to discuss this week's top news headlines.",Fox News Staff,2023-01-31 16:21:46+00:00,https://www.foxnews.com/transcript/fox-news-sunday-january-29-2022,0.0,0.0,1.0,0.0,0.0
Fox News,"Manchin, Cruz introduce bipartisan bill barring Biden admin from selling US oil reserves to China","Sen. Joe Manchin, D-W.Va., and Sen. Ted Cruz, R-Texas, introduced bipartisan legislation Wednesday that would ban future sales of U.S. emergency oil reserves to China.",Thomas Catenacci | Fox News,2023-02-01 15:31:06+00:00,https://www.foxnews.com/politics/manchin-cruz-introduce-bipartisan-bill-barring-biden-admin-selling-oil-reserves-china,0.0,0.0,1.0,0.0,0.0
Fox News,"After Chinese balloon enters US airspace, Biden secretary of state postpones trip to China",Secretary of State Antony Blinken has postponed his planned trip to China this weekend after the U.S. government detected a Chinese spy balloon over the northern U.S.,Chris Pandolfo,2023-02-03 15:28:27+00:00,https://www.foxnews.com/politics/chinese-balloon-enters-us-airspace-biden-secretary-state-postpones-trip-china,-1.0,0.16,0.84,0.0,-0.2732
NBC News,"Chinese spy balloon could 'cause civilian injuries or deaths' or 'significant' damage if shot down, Pentagon says","The Pentagon said Friday it does not plan to shoot down a suspected Chinese spy balloon floating 60,000 feet above the U.S.",Mosheh Gains and Rebecca Shabad and Julie Tsirkin and Abigail Williams and Carol E. Lee and Dareh Gregorian and Courtney Kube,2023-02-03 19:34:26+00:00,https://www.nbcnews.com/politics/national-security/chinese-balloon-cause-civilian-injuries-deaths-rcna69052,-1.0,0.2,0.688,0.113,-0.34
NBC News,"Republicans blast Biden, saying suspected Chinese spy balloon proves U.S. isn't deterring Xi",Top Republicans in Congress are criticizing the Biden administration's response to the suspected Chinese surveillance balloon hovering over the U.S.,Rebecca Shabad and Julie Tsirkin and Liz Brown-Kaiser and Frank Thorp V and Haley Talbot,2023-02-03 14:31:45+00:00,https://www.nbcnews.com/politics/congress/republicans-blast-biden-saying-suspected-chinese-spy-balloon-proves-us-rcna68976,-1.0,0.137,0.863,0.0,-0.2263
