source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
Associated Press,Rep. Gallego announces bid for Sinema's Arizona Senate seat - The Associated Press - en Español,"<ol><li>Rep. Gallego announces bid for Sinema's Arizona Senate seat  The Associated Press - en Español
</li><li>Rep. Gallego announces 2024 bid for Sinema's Arizona Senate seat  MSNBC
</li><li>Thune urges Sinema to caucus with GOP to avoid three-way reelect…",Jonathan J. Cooper,2023-01-24 14:39:01+00:00,https://apnews.com/article/politics-arizona-state-government-united-states-georgia-us-democratic-party-2c1ed07400783cec82afa0deeeaca55d,0.0,0.0,1.0,0.0,0.0
CNN,Arizona Democrat Ruben Gallego announces Senate bid in challenge to Kyrsten Sinema,"Democratic Rep. Ruben Gallego of Arizona on Monday announced his campaign for US Senate, setting up a potential 2024 clash with Sen. Kyrsten Sinema, who recently switched her party affiliation from Democrat to independent.","Kate Sullivan, Kyung Lah",2023-01-23 13:01:48+00:00,https://www.cnn.com/2023/01/23/politics/ruben-gallego-arizona-senate-kyrsten-sinema/index.html,1.0,0.0,0.874,0.126,0.0772
Fox News,"Utah governor signs major education funding bill, becoming third state to enshrine school choice into law","Utah Gov. Spencer Cox on Sunday signed a major school choice bill on Sunday, giving parents more options for their children’s education.",Joshua Nelson,2023-01-30 23:30:54+00:00,https://www.foxnews.com/media/utah-governor-signs-major-education-funding-bill-becoming-third-state-enshrine-school-choice-law,0.0,0.0,1.0,0.0,0.0
Fox News,Democratic Arizona Gov. Katie Hobbs defends decision to keep busing migrants out of state,Democratic Arizona Gov. Katie Hobbs is defending her decision to keep in place her predecessor's program to bus migrants out of the state.,Bradford Betz,2023-01-25 22:21:32+00:00,https://www.foxnews.com/politics/democratic-arizona-gov-katie-hobbs-defends-decision-keep-busing-migrants-out-state,0.0,0.0,1.0,0.0,0.0
Fox News,"Iowa just latest government-school domino to fall, and there's nothing teachers' unions can do about it",The Republican-controlled Iowa Legislature passed an expansive school choice proposal and Gov. Kim Reynolds signed the bill Tuesday.,Corey DeAngelis,2023-01-26 07:00:54+00:00,https://www.foxnews.com/opinion/iowa-latest-government-school-domino-fall-nothing-teachers-unions,0.0,0.0,1.0,0.0,0.0
Fox News,Iowa Gov Kim Reynolds signs historic school choice bill: 'We will fund students not systems',"Iowa Gov. Kim Reynolds signed the Students First Act on Tuesday, becoming the second state to pass a school choice measure that expands to every student in the state.",Joshua Q. Nelson | Fox News,2023-01-24 18:19:29+00:00,https://www.foxnews.com/media/iowa-gov-kim-reynolds-signs-historic-school-choice-bill-we-will-fund-students-not-systems,0.0,0.0,1.0,0.0,0.0
Fox News,Controversy as NYPD caught filming attendees exiting a Drake concert,"The New York City Police Department is under fire for recording attendees at a Drake concert without their consent, although the department insists the video is for social media use only.",Associated Press,2023-01-24 00:10:02+00:00,https://www.foxnews.com/us/controversy-nypd-caught-filming-attendees-exiting-drake-concert,0.0,0.0,1.0,0.0,0.0
The Washington Post,Arizona GOP bows to election denialism in bid for unity,"Jeff DeWit, a former state treasurer and Trump campaign aide, wooed prominent election deniers to stave off far-right challenge",Yvonne Wingett Sanchez,2023-01-29 01:23:37+00:00,https://www.washingtonpost.com/politics/2023/01/28/arizona-republicans-dewit/,0.0,0.0,1.0,0.0,0.0
Time,Rep. Ruben Gallego Announces Bid for Kyrsten Sinema’s Arizona Senate Seat,"Ruben Gallego, a liberal firebrand, announced Monday he'll challenge independent U.S. Sen. Kyrsten Sinema in 2024.",JONATHAN J. COOPER / AP,2023-01-23 14:37:10+00:00,https://time.com/6249277/ruben-gallego-kyrsten-sinema-senate-seat/,0.0,0.0,1.0,0.0,0.0
USA Today,Dying at work: How Arizona fails to protect workers on the job,"Under former Gov. Doug Ducey, Arizona workplace safety inspections dwindled and fines to companies decreased, all while injuries and deaths rose.",Anne Ryman and Justin Price,2023-01-26 11:05:05+00:00,https://www.usatoday.com/in-depth/money/2023/01/26/how-arizona-governor-doug-ducey-adosh-failed-to-protect-workers/11114545002/,-1.0,0.246,0.526,0.228,-0.0516
USA Today,Dying at work: How Arizona fails to protect workers on the job,"Under former Gov. Doug Ducey, Arizona workplace safety inspections dwindled and fines to companies decreased, all while injuries and deaths rose.","USA TODAY, Anne Ryman and Justin Price",2023-01-26 11:05:05+00:00,https://www.usatoday.com/restricted/?return=https%3A%2F%2Fwww.usatoday.com%2Fin-depth%2Fmoney%2F2023%2F01%2F26%2Fhow-arizona-governor-doug-ducey-adosh-failed-to-protect-workers%2F11114545002%2F,-1.0,0.246,0.526,0.228,-0.0516
