source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Students threaten to sue DeSantis over rejection of African American studies course,Florida Gov. Ron DeSantis could face a lawsuit for rejecting an African American AP history course from the state's curriculum.,Kiara Alfonseca,2023-01-26 02:44:39+00:00,https://abcnews.go.com/US/students-threaten-sue-desantis-rejection-ap-african-american/story?id=96663194,-1.0,0.466,0.534,0.0,-0.7269
ABC News,Florida GOP leaders want to get rid of gun permits,"Saying gun owners don’t need a government permission slip to protect their God-given rights, Florida House Speaker Paul Renner proposed legislation to eliminate concealed weapons permits",BRENDAN FARRINGTON Associated Press,2023-01-30 21:42:15+00:00,https://abcnews.go.com/Politics/wireStory/florida-gop-leaders-rid-gun-permits-96773328,-1.0,0.247,0.619,0.134,-0.2732
ABC News,Sleepy RNC chair race turns into contentious 3-way contest over party's future,"RNC Chair Ronna McDaniel is the favorite in Friday's race, though she faces a challenge from attorney Harmeet Dhillon and a long-shot bid from My Pillow CEO Mike Lindell","Tal Axelrod, Brittany Shepherd",2023-01-26 19:47:05+00:00,https://abcnews.go.com/Politics/sleepy-rnc-chair-race-turns-contentious-3-contest/story?id=96609650,-1.0,0.196,0.804,0.0,-0.296
ABC News,Trump kicks off 2024 bid with events in early voting states,Former President Donald Trump is set to kick off his 2024 White House bid with visits to a pair of early voting states,MEG KINNARD and JILL COLVIN Associated Press,2023-01-28 05:53:47+00:00,https://abcnews.go.com/Politics/wireStory/trump-kicks-off-2024-bid-events-early-voting-96736372,0.0,0.0,1.0,0.0,0.0
ABC News,"Trump kicks off presidential campaign in New Hampshire, South Carolina","South Carolina is taking a ""wait and see"" approach with Trump, observers say.",Mariam Khan,2023-01-28 10:12:53+00:00,https://abcnews.go.com/Politics/trump-kicks-off-presidential-campaign-new-hampshire-south/story?id=96700894,0.0,0.0,1.0,0.0,0.0
Associated Press,UPDATE: White House chief of staff out...,"WASHINGTON (AP) — President Joe Biden is expected to name Jeff Zients, who ran the administration's response to the COVID-19 pandemic  at the start of Biden's term, as his next chief of staff, according to two people familiar with the matter.","Zeke Miller, Michael Balsamo",2023-01-23 03:19:45+00:00,https://apnews.com/article/biden-politics-ron-klain-covid-6a8555dacf08877794a582a989888686,0.0,0.0,1.0,0.0,0.0
Associated Press,Trump kicks off 2024 run with stops in early-voting states...,"COLUMBIA, S.C. (AP) — Former President Donald Trump  is set to kick off his 2024 White House bid on Saturday with visits to a pair of early-voting states, his first campaign events since announcing his latest run  more than two months ago.",Meg Kinnard,2023-01-28 14:28:37+00:00,https://apnews.com/article/abortion-politics-new-hampshire-state-government-south-carolina-2022-midterm-elections-7624d58296aa9b808032e2edbcd166c3,-1.0,0.211,0.789,0.0,-0.1531
Associated Press,Florida's rejection of Black history course stirs debate - The Associated Press,"<ol><li>Florida's rejection of Black history course stirs debate  The Associated Press
</li><li>Florida Governor Roe DeSantis Defends Banning African American Studies Course | USA News Live  CNN-News18
</li><li>DeSantis defends blocking African American stu…",Terry Spencer,2023-01-23 20:22:48+00:00,https://apnews.com/6603c0aa4de0098423eb7b6c04846d0c,-1.0,0.28,0.72,0.0,-0.5423
Associated Press,Trump kicking off 2024 run with stops in early-voting states - The Associated Press,"<ol><li>Trump kicking off 2024 run with stops in early-voting states  The Associated Press
</li><li>Trump Tries a New Campaign Tack: Small-Scale  The New York Times
</li><li>Former President Donald Trump to visit South Carolina on Saturday  News 19 WLTX
</…","Meg Kinnard, Holly Ramer",2023-01-28 13:07:30+00:00,https://apnews.com/7624d58296aa9b808032e2edbcd166c3,-1.0,0.151,0.849,0.0,-0.1531
Associated Press,Trustees picked by DeSantis may change progressive college - The Associated Press,"<ol><li>Trustees picked by DeSantis may change progressive college  The Associated Press
</li><li>‘Hostile takeover’: the tiny Florida university targeted by Ron DeSantis  The Guardian US
</li><li>New college: Effort to overhaul top officers may be in the w…",Curt Anderson,2023-01-29 15:32:18+00:00,https://apnews.com/87ba3fc93a281188ac6b4acf254421b8,1.0,0.0,0.874,0.126,0.0772
