canidate,totalMentions,positive,negative,neutral,compound
Joe Biden,1162,23.92,38.38,37.69,-0.07
Michelle Obama,15,26.67,40.00,33.33,0.01
Kamala Harris,141,29.08,32.62,38.30,-0.03
Pete Buttigieg,49,18.37,34.69,46.94,-0.10
Gretchen Whitmer,13,15.38,30.77,53.85,-0.04
Gavin Newsom,39,20.51,41.03,38.46,-0.08
Alexandria Ocasio Cortez,43,16.28,51.16,32.56,-0.12
Roy Cooper,12,16.67,41.67,41.67,-0.05
Elizabeth Warren,21,19.05,38.10,42.86,-0.11
Bernie Sanders,33,24.24,21.21,54.55,0.01
Amy Klobuchar,8,25.00,50.00,25.00,-0.11
Stacey Abrams,3,0.00,33.33,66.67,-0.15
Eric Adams,57,24.56,54.39,21.05,-0.16
Michael Bennet,6,50.00,50.00,0.00,-0.08
Andy Beshear,16,25.00,18.75,56.25,-0.02
