source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Kentucky governor: Storm relief fund 'open book' for review,Kentucky's governor is defending his administration's handling of disaster relief funds to help tornado victims in his state,BRUCE SCHREINER Associated Press,2023-02-10 21:53:57+00:00,https://abcnews.go.com/Politics/wireStory/kentucky-governor-storm-relief-fund-open-book-review-97044279,1.0,0.0,0.693,0.307,0.4767
ABC News,1st infant in Kentucky surrendered anonymously at 'baby box',Kentucky has seen its first infant anonymously dropped off at one of its “baby box” safe surrender locations,The Associated Press,2023-02-11 19:23:57+00:00,https://abcnews.go.com/Politics/wireStory/1st-infant-kentucky-surrendered-anonymously-baby-box-97057409,0.0,0.0,1.0,0.0,0.0
ABC News,Republican lawmakers advance transgender bill in Kentucky,Republican lawmakers in Kentucky have advanced a bill allowing teachers to misgender their transgender students,BRUCE SCHREINER Associated Press,2023-02-09 22:54:34+00:00,https://abcnews.go.com/Politics/wireStory/republican-lawmakers-advance-transgender-bill-kentucky-97018828,0.0,0.0,1.0,0.0,0.0
ABC News,Kentucky Bourbon Trail attendance reaches record heights,Bourbon tourism reached new heights last year in Kentucky,BRUCE SCHREINER Associated Press,2023-02-06 19:24:11+00:00,https://abcnews.go.com/Health/wireStory/kentucky-bourbon-trail-attendance-reaches-record-heights-96928734,1.0,0.0,0.833,0.167,0.0516
ABC News,Kentucky's Craft faces pushback on drug-related campaign ad,Republican Kelly Craft is facing turbulence over a recent ad about her bid to become Kentucky's next governor,BRUCE SCHREINER Associated Press,2023-02-06 22:38:48+00:00,https://abcnews.go.com/US/wireStory/kentuckys-craft-faces-pushback-drug-related-campaign-ad-96933983,0.0,0.0,1.0,0.0,0.0
ABC News,1st infant in Kentucky surrendered anonymously at 'baby box',Kentucky has seen its first infant anonymously dropped off at one of its “baby box” safe surrender locations,The Associated Press,2023-02-11 20:24:10+00:00,https://abcnews.go.com/US/wireStory/1st-infant-kentucky-surrendered-anonymously-baby-box-97057406,0.0,0.0,1.0,0.0,0.0
ABC News,Republican lawmakers advance transgender bill in Kentucky,Republican lawmakers in Kentucky have advanced a bill allowing teachers to misgender their transgender students,BRUCE SCHREINER Associated Press,2023-02-09 22:54:21+00:00,https://abcnews.go.com/US/wireStory/republican-lawmakers-advance-transgender-bill-kentucky-97018826,0.0,0.0,1.0,0.0,0.0
ABC News,Kentucky Bourbon Trail attendance reaches record heights,Bourbon tourism reached new heights last year in Kentucky,BRUCE SCHREINER Associated Press,2023-02-06 19:09:21+00:00,https://abcnews.go.com/US/wireStory/kentucky-bourbon-trail-attendance-reaches-record-heights-96928732,1.0,0.0,0.833,0.167,0.0516
ABC News,Kentucky Bourbon Trail attendance reaches record heights,Bourbon tourism reached new heights last year in Kentucky,BRUCE SCHREINER Associated Press,2023-02-06 19:09:35+00:00,https://abcnews.go.com/Business/wireStory/kentucky-bourbon-trail-attendance-reaches-record-heights-96928737,1.0,0.0,0.833,0.167,0.0516
Associated Press,Prosecutor facing possible impeachment submits resignation,"FRANKFORT, Ky. (AP) — A Kentucky prosecutor facing possible impeachment over allegations that he promised a defendant favors in court in exchange for nude images of her has submitted his resignation. ...",,2023-02-09 20:16:22+00:00,https://apnews.com/dc20bdcbe78b59f7edb1967ed8c965ef,-1.0,0.306,0.694,0.0,-0.296
CBS News,"Kentucky sees first infant anonymously surrendered at ""baby box""","The child was dropped off in the last seven days at a safe-surrender ""baby box"" at a Bowling Green Fire Department and was picked up by department staff in less than 90 seconds.",,2023-02-11 22:06:56+00:00,https://www.cbsnews.com/news/baby-box-1st-infant-in-kentucky-surrendered-anonymously/,0.0,0.0,1.0,0.0,0.0
Fortune,Tourists are back and they're thirsty as the famous Kentucky Bourbon Trail shatters records with a 370% surge in attendance,Bourbon tourism in the state is booming with visits to distillers on the trail easily beating the pre-pandemic record of 1.7 million stops in 2019.,"Bruce Schreiner, The Associated Press",2023-02-06 20:14:02+00:00,https://fortune.com/2023/02/06/kentucky-bourbon-trail-visitors-new-record-2-million/,0.0,0.0,1.0,0.0,0.0
Fox News,KY schedules listening tour to gather input for internet broadband plan,Kentucky Gov. Andy Beshear said state officials have scheduled a six-week listening tour that will help officials identify which areas needs better internet access.,Associated Press,2023-02-07 14:26:25+00:00,https://www.foxnews.com/us/ky-schedules-listening-tour-gather-input-internet-broadband-plan,0.0,0.0,1.0,0.0,0.0
Fox News,Kentucky Senate passes bill to ban TikTok from state-issued devices,The Kentucky Senate has passed a bill to ban the TikTok application from state-issued devices. This decision was made to protect the data on government devices.,Associated Press,2023-02-10 22:19:33+00:00,https://www.foxnews.com/politics/kentucky-senate-passes-bill-ban-tiktok-state-issued-devices,-1.0,0.34,0.66,0.0,-0.5574
Fox News,KY prosecutor who is facing impeachment for offering favors in exchange for nude photos submits resignation,A prosecutor who is facing impeachment for promising favors in exchange for nude photos has submitted his resignation. The prosecutor's resignation will go into effect on Feb. 28.,Associated Press,2023-02-09 18:39:50+00:00,https://www.foxnews.com/us/ky-prosecutor-facing-impeachment-offering-favors-exchange-nude-photos-submits-resignation,-1.0,0.167,0.682,0.152,-0.0516
NBC News,First Kentucky infant anonymously surrendered at 'baby box',"Kentucky has seen its first infant anonymously dropped off at one of its ""baby box"" safe surrender locations.",The Associated Press,2023-02-11 22:02:51+00:00,https://www.nbcnews.com/news/us-news/first-kentucky-infant-anonymously-surrendered-baby-box-rcna70257,0.0,0.0,1.0,0.0,0.0
