source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"In new role, Sanders demands answers from Starbucks' Schultz","As the new chairman of the Senate committee that oversees health and labor issues, Vermont Sen_ Bernie Sanders says some corporations “should be nervous.”",MARY CLARE JALONICK Associated Press,2023-02-08 17:54:44+00:00,https://abcnews.go.com/Politics/wireStory/new-role-sanders-demands-answers-starbucks-schultz-96982156,0.0,0.0,1.0,0.0,0.0
ABC News,Former Rep. Tulsi Gabbard writing book on leaving Democrats,"Tulsi Gabbard, the former Democratic representative from Hawaii who clashed often with her party and eventually left it, has a memoir coming out in October",The Associated Press,2023-02-06 20:24:25+00:00,https://abcnews.go.com/Politics/wireStory/former-rep-tulsi-gabbard-writing-book-leaving-democrats-96930949,0.0,0.0,1.0,0.0,0.0
ABC News,"In new role, Sanders demands answers from Starbucks' Schultz","As the new chairman of the Senate committee that oversees health and labor issues, Vermont Sen_ Bernie Sanders says some corporations “should be nervous.”",MARY CLARE JALONICK Associated Press,2023-02-08 17:54:33+00:00,https://abcnews.go.com/US/wireStory/new-role-sanders-demands-answers-starbucks-schultz-96982154,0.0,0.0,1.0,0.0,0.0
ABC News,Former Rep. Tulsi Gabbard writing book on leaving Democrats,"Tulsi Gabbard, the former Democratic representative from Hawaii who clashed often with her party and eventually left it, has a memoir coming out in October",The Associated Press,2023-02-06 20:24:16+00:00,https://abcnews.go.com/US/wireStory/former-rep-tulsi-gabbard-writing-book-leaving-democrats-96930948,0.0,0.0,1.0,0.0,0.0
ABC News,Editorial Roundup: United States,"Excerpts from recent editorials in the United States and abroad:

Feb. 1

The Washington Post on police reform

The George Floyd Justice in Policing Act, which passed the House in 2021 but stalled in the Senate, would not have prevented the fatal beating of T…",The Associated Press,2023-02-07 04:08:42+00:00,https://abcnews.go.com/US/wireStory/editorial-roundup-united-states-96939104,1.0,0.0,0.517,0.483,0.4215
ABC News,Former Rep. Tulsi Gabbard writing book on leaving Democrats,"Tulsi Gabbard, the former Democratic representative from Hawaii who clashed often with her party and eventually left it, has a memoir coming out in October",The Associated Press,2023-02-06 20:24:31+00:00,https://abcnews.go.com/Entertainment/wireStory/former-rep-tulsi-gabbard-writing-book-leaving-democrats-96930959,0.0,0.0,1.0,0.0,0.0
ABC News,"In new role, Sanders demands answers from Starbucks' Schultz","As the new chairman of the Senate committee that oversees health and labor issues, Vermont Sen_ Bernie Sanders says some corporations “should be nervous.”",MARY CLARE JALONICK Associated Press,2023-02-08 17:54:53+00:00,https://abcnews.go.com/Business/wireStory/new-role-sanders-demands-answers-starbucks-schultz-96982157,0.0,0.0,1.0,0.0,0.0
Al Jazeera English,US foreign policy reduced to an afterthought,Joe Biden’s State of the Union speech skipped foreign policy for a reason.,Marwan Bishara,2023-02-08 15:31:13+00:00,https://www.aljazeera.com/opinions/2023/2/8/us-foreign-policy-reduced-to-an-afterthought,0.0,0.0,1.0,0.0,0.0
Al Jazeera English,"Biden, Brazil’s Lula vow relationship reboot at White House meet","Leaders promise to work together on climate change, democracy, despite disagreements over Ukraine.",Al Jazeera,2023-02-11 09:22:04+00:00,https://www.aljazeera.com/news/2023/2/11/brazils-lula-biden-vow-relationship-reboot-at-white-house-meet,0.0,0.0,1.0,0.0,0.0
Breitbart News,Brazil's Socialist President Lula Makes Bernie Sanders Meeting First Event of U.S. Trip,"Socialist convicted felon Luiz Inácio Lula da Silva, currently the president of Brazil, landed in Washington late Thursday and began his visit to America with a meeting with Sen. Bernie Sanders (I-VT) at noon on Friday.","Frances Martel, Frances Martel",2023-02-10 18:27:23+00:00,https://www.breitbart.com/latin-america/2023/02/10/brazils-socialist-president-lula-makes-bernie-sanders-meeting-first-event-u-s-trip/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Carney: Why the Ultra-Wealthy Aren't Worried About Biden's Billionaire Tax Proposal,Conservatives do not have a dog in this fight. | Economy,"John Carney, John Carney",2023-02-07 23:39:01+00:00,https://www.breitbart.com/economy/2023/02/07/carney-why-the-ultra-wealthy-arent-worried-about-bidens-billionaire-tax-proposal/,1.0,0.0,0.827,0.173,0.2235
Breitbart News,"‘Alternate Reality,’ ‘Whiplash’: Republicans Appalled at Biden’s Speech, Say It Was Angry, Divisive","Republicans streamed out of the House chamber Tuesday night after President Joe Biden's State of the Union, almost universally disavowing the speech, which had been marked by an unusually vocal and, at times, combative audience reacting to Biden's remarks in …","Ashley Oliver, Ashley Oliver",2023-02-08 18:03:50+00:00,https://www.breitbart.com/politics/2023/02/08/alternate-reality-whiplash-republicans-appalled-at-bidens-speech-say-it-was-angry-divisive/,-1.0,0.387,0.613,0.0,-0.743
Breitbart News,'Morally and Medically Appalling': Pediatric Gender Clinic Whistleblower Details 'Harmful' Effects of Trans Movement,"A years-long pediatric gender clinic worker is blowing the whistle on ""affirmation""-based gender treatments for children, saying, ""What’s happening to children is morally and medically appalling.""","Breccan F. Thies, Breccan F. Thies",2023-02-10 22:44:57+00:00,https://www.breitbart.com/politics/2023/02/10/morally-and-medically-appalling-pediatric-gender-clinic-whistleblower-details-harmful-effects-of-trans-movement/,-1.0,0.185,0.815,0.0,-0.3612
