source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Today in History: FEB 8, Mary, Queen of Scots beheaded","Today in History 

Today is Wednesday, Feb. 8, the 39th day of 2023. There are 326 days left in the year. 

Today’s Highlight in History: 

On Feb. 8, 1587, Mary, Queen of Scots was beheaded at Fotheringhay Castle in England after she was implicated in a plot…",The Associated Press,2023-02-10 06:08:43+00:00,https://abcnews.go.com/US/wireStory/today-history-feb-8-mary-queen-scots-beheaded-96970309,0.0,0.0,1.0,0.0,0.0
Bloomberg,US Senators Ask Shein About Forced Labor Concerns for Cotton,US Senators Ask Shein About Forced Labor Concerns for Cottonbloomberg.com,Sheridan Prasso,2023-02-09 06:26:01+00:00,https://www.bloomberg.com/news/articles/2023-02-09/us-senators-ask-shein-about-forced-labor-concerns-for-its-cotton,-1.0,0.273,0.727,0.0,-0.4588
Breitbart News,Poll: Less than 4/10 Approve of Election Denier Hakeem Jeffries After One Month as House Minority Leader,"Infamous election denier Hakeem Jeffries (D-NY) approval rating among Americans is unfavorable after just one month as House minority leader, a Rasmussen poll found on Tuesday.","Wendell Husebø, Wendell Husebø",2023-02-08 15:54:55+00:00,https://www.breitbart.com/politics/2023/02/08/poll-less-than-4-10-approve-election-denier-hakeem-jeffries-after-1-month-house-minority-leader/,-1.0,0.161,0.839,0.0,-0.3612
Breitbart News,Carney: Why the Ultra-Wealthy Aren't Worried About Biden's Billionaire Tax Proposal,Conservatives do not have a dog in this fight. | Economy,"John Carney, John Carney",2023-02-07 23:39:01+00:00,https://www.breitbart.com/economy/2023/02/07/carney-why-the-ultra-wealthy-arent-worried-about-bidens-billionaire-tax-proposal/,1.0,0.0,0.827,0.173,0.2235
Breitbart News,"‘Alternate Reality,’ ‘Whiplash’: Republicans Appalled at Biden’s Speech, Say It Was Angry, Divisive","Republicans streamed out of the House chamber Tuesday night after President Joe Biden's State of the Union, almost universally disavowing the speech, which had been marked by an unusually vocal and, at times, combative audience reacting to Biden's remarks in …","Ashley Oliver, Ashley Oliver",2023-02-08 18:03:50+00:00,https://www.breitbart.com/politics/2023/02/08/alternate-reality-whiplash-republicans-appalled-at-bidens-speech-say-it-was-angry-divisive/,-1.0,0.387,0.613,0.0,-0.743
Business Insider,1870 pin meaning: What the buttons and crayon lapel pins Congress wore to the State of the Union stand for,Lawmakers showed up to President Joe Biden's State of the Union address donning various pins on their lapels and blouses and dresses.,tmitchell@insider.com (Taiyler Simone Mitchell),2023-02-08 23:39:21+00:00,https://www.businessinsider.com/state-of-the-union-1870-pins-buttons-crayon-congress-explained-2023-2,0.0,0.0,1.0,0.0,0.0
Business Insider,Low-income renters are frustrated by Biden's new plan to make housing more affordable because they don't think it does enough to combat surging rents,Biden's plan is supposed to help struggling renters. But the ones we spoke to said it falls short.,jlalljee@insider.com (Jason Lalljee),2023-02-04 11:55:00+00:00,https://www.businessinsider.com/biden-renters-bill-rights-affordable-housing-protections-rent-hikes-inflation-2023-2,-1.0,0.184,0.705,0.11,-0.3322
CBS News,A look at some of the symbols worn by members of Congress at the SOTU,"President Biden was the only speaker during the State of the Union address, but many lawmakers made silent statements while in the audience.",Caitlin O'Kane,2023-02-08 05:28:58+00:00,https://www.cbsnews.com/news/state-of-the-union-pins-crayons-1870-buttons-symbols-worn-by-congress/,-1.0,0.306,0.694,0.0,-0.296
CNN,"A twisted tale of celebrity promotion, opaque transactions and allegations of racist tropes","Sitting across from Jimmy Fallon on ""The Tonight Show,"" Paris Hilton, wearing a sparkling neon green turtleneck dress and a high ponytail, looked at a picture of a glum cartoon ape and said it ""reminds me of me."" The audience laughed. It did not look like her…","Elle Reeve, Samantha Guff",2023-02-10 21:35:29+00:00,https://www.cnn.com/2023/02/10/business/crypto-nft-bored-ape-moonpay-lawsuits/index.html,-1.0,0.333,0.667,0.0,-0.6124
CNN,Bed Bath & Beyond is closing 149 more stores. See the list,Bed Bath & Beyond has revealed the locations of the 149 stores it's closing.,Jordan Valinsky,2023-02-09 12:37:16+00:00,https://www.cnn.com/2023/02/09/business/bed-bath-and-beyond-store-closure-list/index.html,0.0,0.0,1.0,0.0,0.0
Fortune,What Biden’s billionaire tax means for everyday Americans,President Biden is urging lawmakers to pass a tax proposal that would raise taxes on the top 0.01%.,Ivana Pino,2023-02-08 20:22:01+00:00,https://fortune.com/recommends/taxes/the-billionaire-tax-explained/,0.0,0.0,1.0,0.0,0.0
Fox News,"Ted Cruz says Biden will not be nominee in 2024, says knives out 'from every direction' for Kamala Harris","Sen. Ted Cruz joined ""Jesse Watters Primetime"" to discuss Biden and Kamala facing criticism from Democrats and why the China spy flight should have been shot down sooner.",Elizabeth Heckman,2023-02-07 14:58:55+00:00,https://www.foxnews.com/media/ted-cruz-biden-not-nominee-2024-knives-every-direction-kamala-harris,0.0,0.0,1.0,0.0,0.0
Fox News,Mayor blasts 'leading white Democrats' reportedly trying to oust Harris after NYT casts doubts on 2024 hopes,Mayor Eric Johnson came to Vice President Kamala Harris' defense after a New York Times article suggested the Democratic Party is seeking to separate themselves from her as 2024 nears.,Aubrie Spady,2023-02-07 12:33:39+00:00,https://www.foxnews.com/politics/mayor-blasts-leading-white-democrats-oust-harris-nyt-casts-doubts-2024-hopes,1.0,0.129,0.706,0.165,0.1531
Fox News,Hillary Clinton privately thinks Kamala Harris lacks 'political instincts' to win a primary: Report,A Monday article from The New York Times claimed two Democrats recalled hearing Hillary Clinton doubting Kamala Harris' ability to 'clear a primary field.',Taylor Penley,2023-02-06 16:00:14+00:00,https://www.foxnews.com/media/hillary-clinton-privately-thinks-kamala-harris-lacks-political-instincts-win-primary-report,1.0,0.0,0.743,0.257,0.5859
Fox News,"Kamala Harris, wizard of word salad, is struggling to keep her job",Democrats are speaking off the record with major media outlets about Vice President Kamala Harris. They don't feel that she's distinguished herself and may not be ready for 2024,Jimmy Failla,2023-02-09 09:00:39+00:00,https://www.foxnews.com/opinion/kamala-harris-wizard-word-salad-struggling-keep-job,-1.0,0.286,0.714,0.0,-0.4215
Fox News,Democrat Rep. Barbara Lee to launch California Senate bid later this month: report,"California Democrat Rep. Barbara Lee will announce later this month she is running to replace Dianne Feinstein in the U.S. Senate in California, according to a new report.",Kyle Morris,2023-02-10 20:24:57+00:00,https://www.foxnews.com/politics/democrat-rep-barbara-lee-launch-california-senate-bid-later-month-report,0.0,0.0,1.0,0.0,0.0
The American Conservative,"Kids, Marriage, and the American Way","Revisiting Allan C. Carlson’s The “American Way”: Family and Community in the Shaping of the American Identity two decades later.
The post Kids, Marriage, and the American Way appeared first on The American Conservative.",Casey Chalk,2023-02-06 05:05:00+00:00,https://www.theamericanconservative.com/kids-marriage-and-the-american-way/,0.0,0.0,1.0,0.0,0.0
The Washington Post,"All About Stock Buybacks, a $1 Trillion Market Force","Picture yourself as the CEO of a big, publicly traded company. You want your stock to go up, both to keep shareholders happy and justify a big bonus. One option is to invest your profits in developing new products, building factories or opening stores, but bo…",Mark Whitehouse,2023-02-06 22:17:46+00:00,https://www.washingtonpost.com/business/all-about-stock-buybacks-a-1-trillion-market-force/2023/02/06/13706354-a66b-11ed-b2a3-edb05ee0e313_story.html,0.0,0.0,1.0,0.0,0.0
USA Today,Bed Bath & Beyond closes more 150 stores in effort to avoid bankruptcy: See the list,"In an effort to evade bankruptcy, Bed Bad & Beyond announced its second wave of store closures this year. It said 150 more stores would close.","USA TODAY, Orlando Mayorquin, USA TODAY",2023-02-09 18:22:30+00:00,https://www.usatoday.com/story/money/2023/02/09/bed-bath-beyond-2023-store-closures-list/11219546002/,-1.0,0.18,0.82,0.0,-0.296
USA Today,What is the 1870 button lawmakers were wearing during the State of the Union? We explain.,It has become tradition for members of Congress to use the State of the Union as a place to make strong statements with their fashion choices.,"USA TODAY, Anna Kaufman, USA TODAY",2023-02-08 16:30:24+00:00,https://www.usatoday.com/story/news/politics/2023/02/08/1870-pin-button-state-of-the-union-explained/11211170002/,0.0,0.0,1.0,0.0,0.0
USA Today,"State of the Union guests: Lawmakers highlight policing, abortion, wrongful imprisonment",This will be the first year lawmakers will be allowed to invite their own guests since the beginning of the COVID-19 pandemic.,"USA TODAY, Christine Fernando, USA TODAY",2023-02-07 22:40:45+00:00,https://www.usatoday.com/story/news/nation/2023/02/07/state-union-guest-list/11203851002/,1.0,0.0,0.769,0.231,0.34
