source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Guest lineups for the Sunday news shows,Guest lineups for the Sunday news shows,The Associated Press,2023-02-11 00:38:41+00:00,https://abcnews.go.com/Politics/wireStory/guest-lineups-sunday-news-shows-97047528,0.0,0.0,1.0,0.0,0.0
ABC News,Guest lineups for the Sunday news shows,Guest lineups for the Sunday news shows,The Associated Press,2023-02-11 00:38:50+00:00,https://abcnews.go.com/Entertainment/wireStory/guest-lineups-sunday-news-shows-97047630,0.0,0.0,1.0,0.0,0.0
Bloomberg,Ford Picks Michigan for Electric-Car Battery Plant With China's CATL,"Ford Motor Co. and Contemporary Amperex Technology Co. Ltd. plan to build a battery plant in Michigan, according to people familiar with the matter, capping a monthslong search that became mired in geopolitical tensions between the US and China.",Gabrielle Coppola,2023-02-10 21:50:23+00:00,https://www.bloomberg.com/news/articles/2023-02-10/ford-set-to-pick-michigan-for-battery-plant-with-chinese-partner,0.0,0.0,1.0,0.0,0.0
CBS News,More than half of U.S. states are moving to cut your taxes,"As states' ""rainy day funds"" reach a record, some state leaders want to eliminate their income tax entirely.",Aimee Picchi,2023-02-07 20:47:54+00:00,https://www.cbsnews.com/news/tax-cuts-states-proposing-tax-reductions-2023/,-1.0,0.259,0.741,0.0,-0.2732
CBS News,"U.S. states are flush with cash. It's sparking ""tax cut fever.""",Some state officials want to eliminate their income tax entirely. But experts warn of risks from a slowing economy.,Aimee Picchi,2023-02-09 15:24:00+00:00,https://www.cbsnews.com/news/taxes-2023-27-states-want-to-cut-taxes-as-rainy-day-funds-reach-records/,-1.0,0.208,0.792,0.0,-0.2732
Fortune,Michigan might send residents $180 checks to combat inflation,Michigan Democrats are proposing $180 tax rebates for tax filers. These inflation relief checks are meant to help with the high cost of living.,Alicia Adamczyk,2023-02-09 16:03:34+00:00,https://fortune.com/2023/02/09/michigan-might-send-taxpayers-inflation-relief-checks/,-1.0,0.255,0.745,0.0,-0.34
Fox News,Whitmer pushes Michigan's highest-ever budget,Democratic Michigan Gov. Gretchen Whitmer proposed a $79 billion budget Wednesday — the largest in the state's history — with a focus on school and health spending.,Associated Press,2023-02-08 20:50:17+00:00,https://www.foxnews.com/politics/whitmer-pushes-michigans-highest-ever-budget,0.0,0.0,1.0,0.0,0.0
Fox News,"Whitmer’s ‘implicit bias’ training pushes Michigan health workers to admit bias, ‘get out of your comfort zone","An initiative from Democratic Michigan Gov. Gretchen Whitmer forced employees of the state’s Department of Veterans Affairs to take a three-hour ""unconscious bias"" course.",Patrick Hauf,2023-02-11 14:00:23+00:00,https://www.foxnews.com/politics/whitmers-implicit-bias-training-pushes-michigan-health-workers-admit-bias-get-out-comfort-zone,1.0,0.174,0.559,0.267,0.3612
Fox News,California's Newsom slammed after sniping at Gov. Sarah Sanders over Arkansas 'public safety',"Governor Gavin Newsom of California, a Democrat, was ripped for attacking Gov. Sarah Huckabee Sanders, in office only a month, for the Razorback State's crime rate.",Charles Creitz,2023-02-09 20:24:34+00:00,https://www.foxnews.com/media/california-newsom-slammed-sniping-gov-sarah-sanders-arkansas-public-safety,1.0,0.0,0.763,0.237,0.4215
Newsweek,U.S. Automakers Aim to Make Detroit the Next Silicon Valley,U.S. automakers are making large investments in technology. Much of that spending used to go to tech hubs around the country. Now more stays in Michigan.,Jake Lingeman,2023-02-08 11:00:02+00:00,https://www.newsweek.com/2023/02/17/us-automakers-aim-make-detroit-next-silicon-valley-1779611.html,0.0,0.0,1.0,0.0,0.0
Reuters,Ford to announce new $3.5 billion battery plant in Michigan - sources,"Ford Motor Co <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> is set to announce as soon as Monday it plans to build a $3.5 billion lithium iron phosphate battery plant in Michigan, sources told Reuters.",Reuters,2023-02-10 21:38:22+00:00,https://www.reuters.com/business/autos-transportation/ford-announce-new-35-billion-battery-plant-michigan-sources-2023-02-10/,0.0,0.0,1.0,0.0,0.0
The Washington Post,"If not Biden, then who?",Democrats are even less sold on Biden running again than Republicans are on Trump. But it matters that the party lacks any potential rival akin to DeSantis.,Aaron Blake,2023-02-08 19:58:44+00:00,https://www.washingtonpost.com/politics/2023/02/08/democrats-biden-alternatives-2024/,0.0,0.0,1.0,0.0,0.0
The Washington Post,"Democratic governors, seeing rising threats, look beyond their borders",Democratic state leaders see a federal government hamstrung to protect rights and see red-state governors pushing to restrict those rights.,Dan Balz,2023-02-11 20:26:22+00:00,https://www.washingtonpost.com/politics/2023/02/11/democrats-republicans-culture-wars/,-1.0,0.286,0.714,0.0,-0.4215
