source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Migrant apprehensions at southern border hit lowest point in 2 years,Migrant apprehensions along the southwest border last month hit the lowest level since February 2021.,Quinn Owen,2023-02-10 23:08:54+00:00,https://abcnews.go.com/Politics/migrant-apprehensions-southern-border-hit-lowest-point-2/story?id=97043533,-1.0,0.429,0.571,0.0,-0.5423
ABC News,Biden says America needs to 'finish the job on police reform' in State of the Union,President Joe Biden addressed police reform during his State of the Union address on Tuesday night.,Meredith Deliso,2023-02-08 03:57:40+00:00,https://abcnews.go.com/Politics/biden-america-finish-job-police-reform-state-union/story?id=96848754,0.0,0.0,1.0,0.0,0.0
ABC News,What's on Biden's health agenda in 2023 following the State of the Union,"After delivering his State of the Union address on Tuesday night, here's what's on President Joe Biden's health agenda in 2023.",Mary Kekatos,2023-02-08 19:33:43+00:00,https://abcnews.go.com/Health/bidens-health-agenda-2023-state-union/story?id=96976059,0.0,0.0,1.0,0.0,0.0
ABC News,5 takeaways from Biden's State of the Union and Republican response,"President Joe Biden delivered his second State of the Union address Tuesday, balancing a push for bipartisanship in a divided Washington and advocacy for his policies.",Tal Axelrod,2023-02-08 05:18:20+00:00,https://abcnews.go.com/Politics/5-takeaways-bidens-state-union-republican-response/story?id=96848378,0.0,0.0,1.0,0.0,0.0
ABC News,US VP's husband urges global action against antisemitism,"Doug Emhoff, the husband of U.S. Vice President Kamala Harris, took his campaign against antisemitism to the United Nations, urging diplomats from many nations to speak out against the rising global hatred of Jews",EDITH M. LEDERER Associated Press,2023-02-09 23:53:39+00:00,https://abcnews.go.com/International/wireStory/us-vps-husband-urges-global-action-antisemitism-97019771,0.0,0.0,1.0,0.0,0.0
ABC News,Biden makes Wisconsin his 1st stop after State of the Union,President Joe Biden is making Wisconsin his first stop after his State of the Union address,DARLENE SUPERVILLE Associated Press,2023-02-08 10:24:06+00:00,https://abcnews.go.com/Politics/wireStory/biden-makes-wisconsin-1st-stop-after-state-union-96973618,-1.0,0.268,0.732,0.0,-0.296
ABC News,Toll of police brutality to be visible at State of the Union,The toll of police brutality in America will be on painful display as family members of Black men and women killed in custody sit alongside lawmakers in the House to hear the president’s State of the Union address,FARNOUSH AMIRI Associated Press,2023-02-08 02:09:23+00:00,https://abcnews.go.com/Politics/wireStory/toll-police-brutality-visible-state-union-96965722,-1.0,0.444,0.556,0.0,-0.6124
ABC News,Biden's State of the Union to tout policy wins on economy,"President Joe Biden will use his second State of the Union address on Tuesday to remind Americans of how their lives have been improved over his first two years in office, as he tries to navigate the tricky politics of a newly divided Washington",ZEKE MILLER and SEUNG MIN KIM Associated Press,2023-02-05 17:24:03+00:00,https://abcnews.go.com/Politics/wireStory/bidens-state-union-tout-policy-wins-economy-96905561,1.0,0.147,0.49,0.363,0.4939
ABC News,Biden makes progress on 'unity agenda' outlined in 2022,"A year ago, President Joe Biden used his first State of the Union address to push top Democratic priorities that were sure to face a battle in the narrowly divided Congress — tough asks like an assault weapons ban",DARLENE SUPERVILLE Associated Press,2023-02-04 05:25:28+00:00,https://abcnews.go.com/Politics/wireStory/biden-makes-progress-unity-agenda-outlined-2022-96891681,1.0,0.0,0.682,0.318,0.4215
ABC News,Proenza Schouler debut effortlessly cool looks at NYFW,"Known for notoriously dressing the It Girl, it came as no surprise when actor and fashion muse Chloe Sevigny opened the show for Proenza Schouler Saturday to a room packed with her celeb peers",BEATRICE DUPUY Associated Press,2023-02-11 23:39:33+00:00,https://abcnews.go.com/Health/wireStory/proenza-schouler-debut-effortlessly-cool-nyfw-97059690,1.0,0.0,0.723,0.277,0.3182
