source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Jill Biden not shy about her 'Philly girl' sports fandom,First lady Jill Biden is going to the Super Bowl for cheer on her beloved Philadelphia Eagles against the Kansas City Chiefs on Sunday in Arizona,DARLENE SUPERVILLE Associated Press,2023-02-11 15:54:38+00:00,https://abcnews.go.com/Politics/wireStory/jill-biden-shy-philly-girl-sports-fandom-97055666,-1.0,0.25,0.75,0.0,-0.25
ABC News,"Today in History: FEB 9, Beatles appear on ""Sullivan"" show","Today in History 

Today is Thursday, Feb. 9, the 40th day of 2023. There are 331 days left in the year. 

Today’s Highlight in History: 

On Feb. 9, 1971, a magnitude 6.6 earthquake in California’s San Fernando Valley claimed 65 lives. The crew of Apollo 14 …",The Associated Press,2023-02-09 05:23:48+00:00,https://abcnews.go.com/US/wireStory/today-history-feb-9-beatles-sullivan-show-96996324,0.0,0.0,1.0,0.0,0.0
ABC News,US-Best-Sellers-Books-PW,US-Best-Sellers-Books-PW for week ending 2/4/2023,The Associated Press,2023-02-09 19:53:38+00:00,https://abcnews.go.com/Entertainment/wireStory/us-best-sellers-books-pw-97013355,0.0,0.0,1.0,0.0,0.0
Associated Press,Jill Biden not shy about her 'Philly girl' sports fandom,First lady Jill Biden is going to the Super Bowl for cheer on her beloved Philadelphia Eagles against the Kansas City Chiefs on Sunday in Arizona. She also was in the stands a few weeks ago when the Eagles won…,By DARLENE SUPERVILLE - Associated Press,2023-02-11 15:41:43+00:00,https://apnews.com/256e15924e43fde60e476d011afa078d,-1.0,0.25,0.75,0.0,-0.25
Breitbart News,"Michelle Obama Debuting Audible Podcast Based On Her Book, 'The Light We Carry'","Former first lady Michelle Obama is launching a new podcast series with Audible based on her recent book, 'The Light We Carry.'","Warner Todd Huston, Warner Todd Huston",2023-02-07 19:09:08+00:00,https://www.breitbart.com/entertainment/2023/02/07/michelle-obama-debuting-audible-podcast-based-on-her-book-the-light-we-carry/,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Viola Davis Achieves EGOT (Emmy, Grammy, Oscar, Tony) with Win for Audiobook","Viola Davis is now the rare person who's won an Emmy, Grammy, Oscar and Tony award during their career. | Entertainment","Breitbart News, Breitbart News",2023-02-06 03:36:56+00:00,https://www.breitbart.com/entertainment/2023/02/05/viola-davis-achieves-egot-emmy-grammy-oscar-tony-with-win-for-audiobook/,1.0,0.0,0.703,0.297,0.5859
Fortune,Meet the night owl CEOs rejecting the 5 a.m. club,"Not all CEOs wake up super early to seize the day. Some hit snooze, start their day at 10 a.m. and clock on later while others are unwinding.",Orianna Rosa Royle,2023-02-11 10:00:00+00:00,https://fortune.com/2023/02/11/meet-the-night-owl-ceos-rejecting-the-5-a-m-club-and-making-their-sleep-pattern-work-with-a-high-flying-career/,-1.0,0.375,0.625,0.0,-0.4588
Fox News,Viola Davis joins elite group with Grammy Award win: 'I just EGOT!',"Viola Davis attained EGOT status Sunday as she earned her first Grammy Award. The prestigious honor is given to those who have received a Emmy Award, a Grammy Award, a Tony Award and an Oscar.",Janelle Ash,2023-02-06 02:51:29+00:00,https://www.foxnews.com/entertainment/viola-davis-joins-elite-group-grammy-award-just-egot,1.0,0.0,0.49,0.51,0.8074
Fox News,"Washington Post's 'bizarre,' 'comical' profile of Anna Paulina Luna littered with errors, congresswoman says","The Washington Post's profile of GOP Rep. Anna Paulina Luna of Florida contained numerous factual errors, and was very similar to a story the New York Times declined to run.",Thomas Phippen,2023-02-10 22:38:34+00:00,https://www.foxnews.com/politics/washington-posts-bizarre-comical-profile-anna-paulina-luna-littered-errors-congresswoman-says,-1.0,0.32,0.68,0.0,-0.5719
NBC News,"Grammys 2023 live updates: How to watch, red carpet highlights and more","Get Live updates latest coverage, and red carpet highlights form the 65th Grammy Awards, which are being held at Los Angeles' Crypto.com Arena.",NBC News,2023-02-05 20:13:32+00:00,https://www.nbcnews.com/pop-culture/live-blog/grammys-2023-live-updates-rcna68251,0.0,0.0,1.0,0.0,0.0
Newsweek,Is America Ready for a Female Republican President? | Opinion,"Haley does something the Left has hounded conservatives for failing to do, and that's represent the underrepresented.",Nicole Russell,2023-02-07 11:00:01+00:00,https://www.newsweek.com/america-ready-female-republican-president-opinion-1778916,1.0,0.0,0.706,0.294,0.3612
The Washington Post,Beyoncé is being punished for being too good,She’s lost the Grammy for album of the year four times. But she’ll never stop.,Helena Andrews-dyer,2023-02-07 02:17:29+00:00,https://www.washingtonpost.com/arts-entertainment/2023/02/06/beyonce-grammys-album-year/,-1.0,0.435,0.145,0.42,-0.0258
Time,What the Audible CEO Learns From Public School Interns,"In an interview, Katz talks about the state of audiobooks, competition from Spotify and the limits of shareholder capitalism.",Andrew R. Chow,2023-02-04 14:00:31+00:00,https://time.com/6252698/don-katz-audible-interview/,0.0,0.0,1.0,0.0,0.0
USA Today,The mystery of Presidents Day: Not every state celebrates the same. We found out why.,"The federally recognized Washington's Birthday is Feb. 20, but some states call it different names and celebrate it in different months of the year.","Clare Mulroy, USA TODAY",2023-02-04 13:00:07+00:00,https://www.usatoday.com/story/news/2023/02/04/presidents-day-states-celebrate-differently/10890910002/,-1.0,0.25,0.75,0.0,-0.4585
USA Today,74 Black-owned businesses you can support right now,"Show your support by shopping Black-owned brands and retailers, including Briogeo, Lemlem, The Honey Pot, and Fenty.","Reviewed, Reviewed Staff",2023-02-08 21:39:43+00:00,https://www.usatoday.com/story/money/reviewed/2023/02/08/black-owned-businesses-to-support/11212675002/,1.0,0.0,0.597,0.403,0.4019
