source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
BBC News,Brighton strike late to beat Bournemouth,Kaoru Mitoma scores a late winner for the second game running as Brighton edge past Bournemouth at Amex Stadium.,,2023-02-04 16:58:27+00:00,https://www.bbc.co.uk/sport/football/64436136,-1.0,0.273,0.727,0.0,-0.128
Bloomberg,DeSantis Chides Trump as Republicans’ 2024 Presidential Race Heats Up,Ron DeSantis fired back at Donald Trump for the ex-president’s intensifying broadsides against Florida’s governor as the war of words between the two potential GOP 2024 primary front-runners deepens.,Mark Niquette,2023-02-08 18:10:58+00:00,https://www.bloomberg.com/news/articles/2023-02-08/desantis-blasts-trump-for-trying-to-smear-other-republicans,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Chris Christie: Old, Boring Biden Didn't Win 2020, Trump Lost","Former Gov. Chris Christie (R-NJ) said Sunday on ABC's ""This Week"" that ""boring"" President Joe Biden only won the 2020 election because former President Donald Trump lost. | Clips","Pam Key, Pam Key",2023-02-05 17:05:04+00:00,https://www.breitbart.com/clips/2023/02/05/chris-christie-old-boring-biden-didnt-win-2020-trump-lost/,-1.0,0.523,0.477,0.0,-0.7699
Breitbart News,Chris Christie Claims to Be 'Target' of Trump After Bashing the Former President,"Former New Jersey Gov. Chris Christie (R) is claiming to be the latest ""target"" of former President Trump after stating during an appearance on ABC’s ""This Week"" that ""boring"" Joe Biden won in 2020 because Trump was so ""toxic.""","Hannah Bleau, Hannah Bleau",2023-02-06 17:16:12+00:00,https://www.breitbart.com/politics/2023/02/06/chris-christie-claims-to-be-target-trump-after-bashing-former-president/,0.0,0.0,1.0,0.0,0.0
Business Insider,Chris Christie says Biden is 'not capable of running a traditional American race' in 2024: 'He's old. He's boring.',"""Do you see Joe Biden on Air Force One doing seven, eight campaign stops a day at 82 years old?"" Christie asked on Sunday on ABC's ""This Week.""",insider@insider.com (John L. Dorman),2023-02-05 21:27:09+00:00,https://www.businessinsider.com/christie-biden-2024-presidential-reelection-campaign-old-boring-criticism-2023-2,1.0,0.136,0.71,0.154,0.0772
Business Insider,Jason Miller returns as Trump advisor for campaign struggling to generate much excitement compared to 2016,"Jason Miller, who left Trump's team in 2021 to become CEO of Gettr, has joined the former president's so-far underwhelming 2024 campaign.",jzitser@businessinsider.com (Joshua Zitser),2023-02-10 14:27:28+00:00,https://www.businessinsider.com/jason-miller-returns-advisor-struggling-trump-campaign-2024-2023-2,1.0,0.175,0.625,0.2,0.1027
Fox News,Christie slams Trump as 'only man to lose to Biden outside Delaware' after Trump calls him 'sloppy',Former New Jersey Gov. Chris Christie said Sunday that former President Donald Trump is still scorned from his 2020 loss to President Biden.,Jessica Chasmar,2023-02-05 21:44:51+00:00,https://www.foxnews.com/politics/christie-slams-trump-only-man-lose-biden-outside-delaware-trump-calls-sloppy,-1.0,0.213,0.787,0.0,-0.4019
Fox News,Republican Gov. Chris Sununu issues bold prediction about Trump's 2024 chances: 'He can't get it done',"Former President Donald Trump doesn't have what it takes to beat President Biden in the 2024 presidential race, Republican New Hampshire Gov. Chris Sununu said Sunday.",Anders Hagstrom,2023-02-05 18:35:48+00:00,https://www.foxnews.com/politics/republican-gov-chris-sununu-issues-bold-prediction-trumps-2024-chances-cant-get-done,1.0,0.0,0.732,0.268,0.5267
Fox News,MONEY TALKS: Rumored presidential hopefuls with the most cash in the bank,"Former President Donald Trump remains the only announced GOP candidate in the race for the White House, though Nikki Haley is expected to formally launch her campaign next week.",Sophia Slacik,2023-02-11 22:00:28+00:00,https://www.foxnews.com/politics/money-talks-rumored-presidential-hopefuls-most-cash-bank,0.0,0.0,1.0,0.0,0.0
Fox News,"Massive earthquake hits Turkey, expert warns of 'second' pandemic price surge and more top headlines","MASS DEVASTATION - More than 1,300 dead as terrifying 7",Fox News,2023-02-06 11:38:20+00:00,https://www.foxnews.com/us/massive-earthquake-hits-turkey-expert-warns-second-pandemic-price-surge-more-top-headlines,1.0,0.106,0.758,0.136,0.1027
Fox News,"Massive earthquake hits Turkey, expert warns of 'second' pandemic price surge and more top headlines","MASS DEVASTATION - More than 1,300 dead as terrifying 7",Fox News,2023-02-06 11:38:20+00:00,https://www.foxnews.com/us/turkey-syria-eathquake-death-toll-over-1300,1.0,0.106,0.758,0.136,0.1027
Fox News,LeBron James talks Lakers losing out on Kyrie Irving trade: 'Definitely disappointed',"Los Angeles Lakers superstar LeBron James spoke for the first time about Kyrie Irving getting traded to the Dallas Mavericks, admitting his disappointed not heading to ""La La Land.""",Scott Thompson,2023-02-06 22:51:46+00:00,https://www.foxnews.com/sports/lebron-james-talks-lakers-losing-kyrie-irving-trade-definitely-disappointed,-1.0,0.37,0.455,0.175,-0.4588
The Hill,"Trump, Christie exchange fire after gloomy 2024 prediction",Former President Trump and former New Jersey Gov. Chris Christie (R) sparred online Sunday after Christie predicted that Trump couldn’t beat President Biden ...,Julia Mueller,2023-02-05 21:51:01+00:00,https://thehill.com/homenews/campaign/3844677-trump-christie-exchange-fire-after-gloomy-2024-prediction/,-1.0,0.444,0.556,0.0,-0.4588
USA Today,A look at the Lakers’ recent efforts to trade for Kyrie Irving,"The Lakers reportedly made a real effort to acquire Kyrie Irving, but a couple of issues got in their way.",Lebron Wire,2023-02-06 06:29:37+00:00,https://lebronwire.usatoday.com/lists/a-look-at-the-lakers-recent-efforts-to-trade-for-kyrie-irving/,0.0,0.0,1.0,0.0,0.0
