source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Today in History: FEB 4, Rosa Parks is born","Today in History

Today is Saturday, Feb. 4, the 35th day of 2023. There are 330 days left in the year. 

Today’s Highlight in History: 

On Feb. 4, 1783, Britain’s King George III proclaimed a formal cessation of hostilities in the American Revolutionary War…",The Associated Press,2023-02-04 05:08:37+00:00,https://abcnews.go.com/US/wireStory/today-history-feb-4-rosa-parks-born-96891415,0.0,0.0,1.0,0.0,0.0
Breitbart News,Poll: Trump Boasts Highest Favorability in Hypothetical 2024 Republican Field,"Former President Donald Trump boasts the highest favorability in a hypothetical 2024 Republican presidential primary, a Morning Consult survey released this week found.","Hannah Bleau, Hannah Bleau",2023-02-10 19:07:53+00:00,https://www.breitbart.com/2024-election/2023/02/10/poll-trump-boasts-highest-favorability-hypothetical-2024-republican-field/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Poll: Donald Trump Double Digits Ahead of Potential GOP Challengers,"Former President Donald Trump is ahead of his potential 2024 Republican challengers by double digits, a Tuesday Morning Consult survey found.","Hannah Bleau, Hannah Bleau",2023-02-08 21:07:55+00:00,https://www.breitbart.com/politics/2023/02/08/poll-donald-trump-double-digits-ahead-of-potential-gop-challengers/,1.0,0.0,0.851,0.149,0.1027
Breitbart News,Report: Hunter Weighs Launching Legal Defense Fund to Afford High-Powered Lawyers Costing $100K/Month,"Hunter Biden is reportedly weighing the creation of a legal defense fund to cover the charges of his high-powered attorneys, which experts estimate to cost about $100,000 per month.","Wendell Husebø, Wendell Husebø",2023-02-06 20:50:42+00:00,https://www.breitbart.com/politics/2023/02/06/report-hunter-weighs-launching-legal-defense-fund-afford-high-powered-lawyers-costing-100k-month/,1.0,0.0,0.769,0.231,0.25
Breitbart News,Poll: Donald Trump Dominates 2024 Republican Primary Poll,"Former President Donald Trump is up double digits in the latest 2024 Republican primary poll, released by Premise Data.","Hannah Bleau, Hannah Bleau",2023-02-09 17:58:07+00:00,https://www.breitbart.com/politics/2023/02/09/donald-trump-dominates-2024-republican-primary-poll/,1.0,0.0,0.854,0.146,0.0516
Business Insider,Marjorie Taylor Greene wore a $495 alpaca wool coat to the State of the Union to 'highlight' the Chinese spy balloon,"The self-described ""Christian nationalist"" congresswoman spent nearly $500 on the coat, which supports Peruvian artisans.",bmetzger@insider.com (Bryan Metzger),2023-02-08 20:58:04+00:00,https://www.businessinsider.com/marjorie-taylor-greene-coat-alpaca-wool-state-union-chinese-balloon-2023-2,1.0,0.0,0.844,0.156,0.34
Fox News,"Marjorie Taylor Greene claps back at 'View' hosts for mocking her SOTU outfit, challenges them to debate",Rep. Marjorie Taylor Greene called 'The View' co-hosts 'nasty women' after they mocked her jacket she wore to Biden's second State of the Union Address,Bailee Hill,2023-02-09 17:00:22+00:00,https://www.foxnews.com/media/marjorie-taylor-greene-claps-back-view-hosts-mocking-sotu-outfit-challenges-debate,-1.0,0.193,0.714,0.093,-0.34
Fox News,Marjorie Taylor Greene defends heckling Biden during SOTU: 'I was honored to call him the liar that he is',"Rep. Marjorie Taylor Greene, R-Ga., shares why she heckled President Biden during his State of the Union address and calls out the women of 'The View' for mocking her coat on 'Hannity.'",Ashley Carnahan,2023-02-09 08:00:13+00:00,https://www.foxnews.com/media/marjorie-taylor-greene-heckling-biden-during-speech-honored-call-him-liar-he-is,1.0,0.219,0.53,0.252,0.128
NBC News,Koch network draws early battle lines against Trump in 2024,"The conservative political network founded by the billionaire Koch brothers, has already picked a side for '24, and it's a candidate other than Trump.","Chuck Todd, Mark Murray, Ben Kamisar, Bridget Bowman, Alexandra Marquez",2023-02-06 13:37:45+00:00,https://www.nbcnews.com/meet-the-press/first-read/koch-network-draws-early-battle-lines-trump-2024-rcna69279,-1.0,0.271,0.729,0.0,-0.3818
Newsweek,Marjorie Taylor Greene Claps Back at Criticism of Her SOTU Coat,"Speaking on The View Alyssa Farah Griffin said Greene's coat ""looked like she skinned my puppy.""",James Bickerton,2023-02-09 11:04:09+00:00,https://www.newsweek.com/marjorie-taylor-greene-claps-back-criticism-sotu-coat-1780056,-1.0,0.266,0.734,0.0,-0.4404
The American Conservative,The Born Loser,"Nikki Haley is going to lose. She knows she’s going to lose. That doesn’t mean it won’t be fun to watch.
The post The Born Loser appeared first on The American Conservative.",Declan Leary,2023-02-04 05:05:00+00:00,https://www.theamericanconservative.com/the-born-loser/,-1.0,0.63,0.37,0.0,-0.5267
The Washington Post,House GOP embraces mainstream media after years of bashing ‘fake news’,"House Republicans have begun to blitz the airwaves they previously shunned. Last Sunday four of the five traditional Sunday talk shows featured House Republicans, a stark contrast to recent years when weeks or months could go by without a single House Republi…",Paul Kane,2023-02-04 14:02:26+00:00,https://www.washingtonpost.com/politics/2023/02/04/house-gop-embraces-mainstream-media-after-years-bashing-fake-news/,-1.0,0.279,0.721,0.0,-0.4767
USA Today,Mike Pence's relationship with Donald Trump gets even more complicated with subpoena,The action to subpoena Pence is the special counsel's most aggressive yet in the investigation of  Trump.,"USA TODAY, Kevin Johnson and David Jackson, USA TODAY",2023-02-11 10:00:12+00:00,https://www.usatoday.com/story/news/politics/2023/02/11/pence-trump-relationship-complicated-subpoena/11227754002/,0.0,0.0,1.0,0.0,0.0
