source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,FBI searches Mike Pence's Indiana home in documents probe,The FBI is conducting a consensual search of former Vice President Mike Pence's home in Indiana Friday.,"Katherine Faulders, Luke Barr",2023-02-10 16:40:50+00:00,https://abcnews.go.com/Politics/fbi-searches-former-vice-president-mike-pences-indiana/story?id=97031584,0.0,0.0,1.0,0.0,0.0
ABC News,Pence group to run ads in Iowa against school trans policies,Former Vice President Mike Pence is stepping up his outreach in Iowa ahead of a possible 2024 presidential campaign,THOMAS BEAUMONT Associated Press,2023-02-09 15:39:23+00:00,https://abcnews.go.com/Politics/wireStory/pence-group-run-ads-iowa-school-trans-policies-97005469,0.0,0.0,1.0,0.0,0.0
ABC News,AP source: FBI is searching Indiana home of former Vice President Mike Pence as part of classified records probe,AP source: FBI is searching Indiana home of former Vice President Mike Pence as part of classified records probe,The Associated Press,2023-02-10 16:38:29+00:00,https://abcnews.go.com/Politics/wireStory/ap-source-fbi-searching-indiana-home-former-vice-97033350,0.0,0.0,1.0,0.0,0.0
ABC News,AP source: Pence subpoenaed by special counsel probing Trump,Former Vice President Mike Pence has been subpoenaed by the special counsel overseeing investigations into efforts by former President Donald Trump and his allies to overturn the results of the 2020 election,STEVE PEOPLES and ERIC TUCKER Associated Press,2023-02-10 01:24:06+00:00,https://abcnews.go.com/Politics/wireStory/ap-source-pence-subpoenaed-special-counsel-probing-trump-97021696,1.0,0.0,0.722,0.278,0.4019
ABC News,Pence subpoena could set up fight over executive privilege,The subpoena to former Vice President Mike Pence is a milestone moment in a Justice Department special counsel investigation,ERIC TUCKER and JILL COLVIN Associated Press,2023-02-11 05:39:21+00:00,https://abcnews.go.com/Politics/wireStory/pence-subpoena-set-fight-executive-privilege-97051371,-1.0,0.257,0.495,0.248,-0.0258
ABC News,FBI searching Pence home as part of classified docs probe,The FBI is searching former Vice President Mike Pence’s Indiana home as part of a classified records probe,JILL COLVIN and ERIC TUCKER Associated Press,2023-02-10 17:09:07+00:00,https://abcnews.go.com/Politics/wireStory/fbi-searching-pence-home-part-classified-docs-probe-97034643,0.0,0.0,1.0,0.0,0.0
ABC News,"How they compare: Trump, Biden, Pence classified documents","There are plenty of similarities — but also a major difference — among the classified-records situations of President Joe Biden, former President Donald Trump and Trump's vice president, Mike Pence",MEG KINNARD Associated Press,2023-02-10 21:09:25+00:00,https://abcnews.go.com/Politics/wireStory/compare-trump-biden-pence-classified-documents-97043010,0.0,0.0,1.0,0.0,0.0
ABC News,AP source: Trump team turns over items marked as classified,Lawyers for former President Donald Trump have in recent months turned over to federal investigators additional documents with classified markings as well as a laptop belonging to a Trump aide,ERIC TUCKER Associated Press,2023-02-11 01:09:28+00:00,https://abcnews.go.com/Politics/wireStory/ap-source-trump-team-turns-items-marked-classified-97047948,0.0,0.0,1.0,0.0,0.0
ABC News,US officials offer Congress briefing on Trump documents,The Biden administration has offered to brief congressional leaders on its investigation into the classified documents found at former President Donald Trump’s Florida residence,"NOMAAN MERCHANT, MICHAEL BALSAMO, and ERIC TUCKER Associated Press",2023-02-05 19:09:17+00:00,https://abcnews.go.com/Politics/wireStory/us-officials-offer-congress-briefing-trump-documents-96906618,0.0,0.0,1.0,0.0,0.0
ABC News,Conservative groups look beyond Trump for 2024 GOP nominee,Two major conservative groups have signaled they are open to supporting someone other than Donald Trump in the 2024 race for the White House,MICHELLE L. PRICE Associated Press,2023-02-07 20:54:32+00:00,https://abcnews.go.com/Politics/wireStory/conservative-groups-trump-2024-gop-nominee-96958905,0.0,0.0,1.0,0.0,0.0
