source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"20 years later, Senate eyes repeal of Iraq war authorization",The Senate will vote this month to repeal two decades-old measures that approved American military action in Iraq,MARY CLARE JALONICK Associated Press,2023-02-09 21:39:29+00:00,https://abcnews.go.com/Politics/wireStory/20-years-senate-eyes-repeal-iraq-war-authorization-97016189,-1.0,0.328,0.672,0.0,-0.5994
ABC News,Senate panel probes holiday meltdown at Southwest Airlines,Congress is hearing about the December meltdown at Southwest Airlines,DAVID KOENIG AP Airlines Writer,2023-02-09 21:09:49+00:00,https://abcnews.go.com/Politics/wireStory/senate-panel-probes-holiday-meltdown-southwest-airlines-97015351,1.0,0.0,0.69,0.31,0.4019
Breitbart News,Cruz: Biden 'Allowed a Full Week for the Chinese to Conduct Spying Operations over the United States',"Senator Ted Cruz (R-TX) said Sunday on CBS's ""Face the Nation"" that President Joe Biden allowed China to spy on the United States for a week by not shooting down the Chinese balloon. | Clips","Pam Key, Pam Key",2023-02-05 18:53:47+00:00,https://www.breitbart.com/clips/2023/02/05/cruz-biden-allowed-a-full-week-for-the-chinese-to-conduct-spying-operations-over-the-united-states/,1.0,0.0,0.781,0.219,0.4215
Breitbart News,"Cruz: Biden Hurt Seniors the Most with Inflation, Now He's Trying the 'Throw Granny off the Cliff' 'Lie'","On Tuesday’s broadcast of the Fox News Channel’s “Hannity,” Sen. Ted Cruz (R-TX) said that while President Joe Biden tried to trot out “the classic Democrat lie” that Republicans are “going to throw granny off the cliff” during his State","Ian Hanchett, Ian Hanchett",2023-02-08 07:34:00+00:00,https://www.breitbart.com/clips/2023/02/07/cruz-biden-hurt-seniors-the-most-with-inflation-now-hes-trying-the-throw-granny-off-the-cliff-lie/,-1.0,0.221,0.779,0.0,-0.5267
Breitbart News,Poll: Donald Trump Double Digits Ahead of Potential GOP Challengers,"Former President Donald Trump is ahead of his potential 2024 Republican challengers by double digits, a Tuesday Morning Consult survey found.","Hannah Bleau, Hannah Bleau",2023-02-08 21:07:55+00:00,https://www.breitbart.com/politics/2023/02/08/poll-donald-trump-double-digits-ahead-of-potential-gop-challengers/,1.0,0.0,0.851,0.149,0.1027
Breitbart News,Poll: Trump Boasts Highest Favorability in Hypothetical 2024 Republican Field,"Former President Donald Trump boasts the highest favorability in a hypothetical 2024 Republican presidential primary, a Morning Consult survey released this week found.","Hannah Bleau, Hannah Bleau",2023-02-10 19:07:53+00:00,https://www.breitbart.com/2024-election/2023/02/10/poll-trump-boasts-highest-favorability-hypothetical-2024-republican-field/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Exclusive - Senate Republican Campaign Chief Details Path Back to Majority: ‘Democrats Start Off on Their Heels with This Map’,"Sen. Steve Daines (R-MT), the chairman of the National Republican Senatorial Committee (NRSC), told Breitbart News exclusively that the GOP sees a clear path back to the U.S. Senate majority in 2024 thanks to a favorable map that has Democrats on defense from…","Matthew Boyle, Matthew Boyle",2023-02-06 21:12:54+00:00,https://www.breitbart.com/politics/2023/02/06/exclusive-senate-republican-campaign-chief-details-path-back-majority-democrats-start-off-their-heels-this-map/,1.0,0.0,0.909,0.091,0.128
Breitbart News,Poll: Donald Trump Dominates 2024 Republican Primary Poll,"Former President Donald Trump is up double digits in the latest 2024 Republican primary poll, released by Premise Data.","Hannah Bleau, Hannah Bleau",2023-02-09 17:58:07+00:00,https://www.breitbart.com/politics/2023/02/09/donald-trump-dominates-2024-republican-primary-poll/,1.0,0.0,0.854,0.146,0.0516
Breitbart News,"Katie Britt, Senate Republicans Unveil Sweeping Border Security Package","Sen. Katie Britt (R-AL) led a coalition of Senate Republicans in introducing a comprehensive border security package to curb the border crisis, crack down on asylum abuse, and protect American families.","Sean Moran, Sean Moran",2023-02-09 19:31:07+00:00,https://www.breitbart.com/politics/2023/02/09/katie-britt-senate-republicans-unveil-sweeping-border-security-package/,1.0,0.0,0.769,0.231,0.34
Breitbart News,Congressional Republicans Confront Smithsonian over Allegedly Kicking Out Pro-Life Students,"More than 40 Congressional Republicans sent a letter to Smithsonian Institute's Secretary Lonnie Bunch on Tuesday, demanding to know why Smithsonian National Air Space Museum (NASM) staff allegedly kicked out students for wearing pro-life hats.","Katherine Hamilton, Katherine Hamilton",2023-02-10 02:12:32+00:00,https://www.breitbart.com/politics/2023/02/09/congressional-republicans-confront-smithsonian-allegedly-kickingout-pro-life-students/,-1.0,0.175,0.825,0.0,-0.1779
