source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,All eyes on the sky as Chinese balloon heads toward Atlantic,"Eyes remained on the skies as a suspected Chinese spy balloon slowly drifted toward the U.S. Atlantic Coast Saturday and remained in clear view over the Carolinas, where local authorities warned against taking potshots at the floating orb",MATTHEW BROWN Associated Press,2023-02-04 19:39:21+00:00,https://abcnews.go.com/Politics/wireStory/eyes-sky-chinese-balloon-heads-atlantic-96896964,0.0,0.0,1.0,0.0,0.0
ABC News,All eyes on the sky as Chinese balloon heads toward Atlantic,"Eyes remained on the skies as a suspected Chinese spy balloon slowly drifted toward the U.S. Atlantic Coast Saturday and remained in clear view over the Carolinas, where local authorities warned against taking potshots at the floating orb",MATTHEW BROWN Associated Press,2023-02-04 19:39:13+00:00,https://abcnews.go.com/US/wireStory/eyes-sky-chinese-balloon-heads-atlantic-96896962,0.0,0.0,1.0,0.0,0.0
Associated Press,Eyes on the sky as Chinese balloon shot down over Atlantic,"Eyes were locked on the South Carolina skies Saturday as a suspected Chinese spy balloon slowly drifted toward drifted over the Atlantic Ocean and was shot down by U.S. military fighters. In Myrtle Beach, people lined a boardwalk and cheered…",By MATTHEW BROWN - Associated Press,2023-02-04 21:14:33+00:00,https://apnews.com/302134762e8aeae53314ebd9fdb327e4,0.0,0.0,1.0,0.0,0.0
Breitbart News,Woke Airbnb Claims 'Mistake' in Banning Conservative YouTuber Lauren Southern's Parents,"Popular rental service Airbnb claims it made a ""mistake"" in banning conservative YouTuber Lauren Southern's parents from using its service. The company reversed the ban after Southern and many other conservatives slammed notoriously woke Airbnb on social medi…","Alana Mastrangelo, Alana Mastrangelo",2023-02-09 18:48:40+00:00,https://www.breitbart.com/tech/2023/02/09/woke-airbnb-claims-mistake-in-banning-conservative-youtuber-lauren-southerns-parents/,-1.0,0.211,0.789,0.0,-0.34
Breitbart News,Catholic League Condemns FBI Attack on ‘Traditionalist’ Catholics,Catholic League president Bill Donohue has denounced recent attacks by President Joe Biden’s FBI on what it calls “radical-traditionalist Catholics.”,"Thomas D. Williams, Ph.D., Thomas D. Williams, Ph.D.",2023-02-10 12:41:40+00:00,https://www.breitbart.com/faith/2023/02/10/catholic-league-condemns-fbi-attack-on-traditionalist-catholics/,-1.0,0.561,0.439,0.0,-0.7506
Breitbart News,Mark Steyn Quits GB News over Demand to Pay Broadcasting Fines,Veteran conservative presenter Mark Steyn has quit GB News over alleged demands that he personally pay for broadcasting fines in Britain.,"Kurt Zindulka, Kurt Zindulka",2023-02-08 10:06:40+00:00,https://www.breitbart.com/europe/2023/02/08/mark-steyn-quits-gb-news-over-demand-to-pay-broadcasting-fines/,-1.0,0.293,0.707,0.0,-0.2263
Breitbart News,Rep. Mary Miller on Chinese Spy Balloon: 'National Security Must Not Be Compromised by Biden Family Payoffs',Rep. Mary Miller (R-IL) said that China is “exploiting” President Joe Biden’s “weakness” with the spy balloon hovering over America and declared that the United States’s “national security must not be compromised by Biden family payoffs.”,"Nick Gilbertson, Nick Gilbertson",2023-02-04 16:58:27+00:00,https://www.breitbart.com/politics/2023/02/04/mary-miller-chinese-spy-ballooon-national-security-must-not-be-compromised-biden-family-payoffs/,1.0,0.0,0.854,0.146,0.34
Breitbart News,"FNC's Carlson on SOTU: Biden Mental Condition Either Scary and Depressing, Deeply Alarming or Absolutely Hilarious","Wednesday, FNC host Tucker Carlson opened his program by reacting to the State of the Union address a night earlier given by President Joe Biden. | Clips","Jeff Poor, Jeff Poor",2023-02-09 18:59:47+00:00,https://www.breitbart.com/clips/2023/02/09/fncs-carlson-on-sotu-biden-mental-condition-either-scary-and-depressing-deeply-alarming-or-absolutely-hilarious/,-1.0,0.383,0.453,0.164,-0.5165
Breitbart News,FBI Retracts Anti-Catholic Document Leaked by Whistleblower,"The FBI is retracting a leaked document announcing an investigation into “radical traditionalist” Catholics and their possible ties to the “far-right white nationalist movement,” following vocal backlash.","Thomas D. Williams, Ph.D., Thomas D. Williams, Ph.D.",2023-02-10 18:01:17+00:00,https://www.breitbart.com/faith/2023/02/10/fbi-retracts-anti-catholic-document-leaked-whistleblower/,-1.0,0.315,0.685,0.0,-0.3182
Breitbart News,"UK Military Would Run Out of Ammo In One Day of Fighting Russia, Warns General","The British military's supply of ammunition would run dry in just one day in a direct engagement with Russia, a former top general has warned.",Kurt Zindulka,2023-02-04 10:03:56+00:00,https://www.breitbart.com/europe/2023/02/04/uk-military-would-run-out-of-ammo-in-just-one-day-of-fighting-russia-warns-general/,-1.0,0.262,0.738,0.0,-0.4404
