source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Residents' anger, political fallout over federal response to Ohio train derailment",East Palestine residents are angry and the Biden administration is taking political heat over what's being called a delayed over response to the Ohio train derailment.,Isabella Murray,2023-02-17 21:21:05+00:00,https://abcnews.go.com/Politics/residents-anger-political-fallout-federal-response-ohio-train/story?id=97260018,-1.0,0.316,0.684,0.0,-0.5719
ABC News,White House defends response to toxic train derailment,"The Biden administration is defending its response to a freight train derailment in Ohio that left toxic chemicals spilled or burned off, even as local leaders and members of Congress demanded that more be done",MATTHEW DALY Associated Press,2023-02-17 18:37:12+00:00,https://abcnews.go.com/Politics/wireStory/white-house-defends-response-toxic-train-derailment-97292511,0.0,0.0,1.0,0.0,0.0
ABC News,"Who should lead? Democrats, Republicans struggle to decide","President Joe Biden and his predecessor, Donald Trump, are preparing for a possible rematch in 2024",HANNAH FINGERHUT Associated Press,2023-02-14 05:24:59+00:00,https://abcnews.go.com/Politics/wireStory/lead-democrats-republicans-struggle-decide-97127005,-1.0,0.315,0.685,0.0,-0.3182
ABC News,White House defends response to toxic train derailment,"The Biden administration is defending its response to a freight train derailment in Ohio that left toxic chemicals spilled or burned off, even as local leaders and members of Congress demanded that more be done",MATTHEW DALY Associated Press,2023-02-17 18:38:03+00:00,https://abcnews.go.com/US/wireStory/white-house-defends-response-toxic-train-derailment-97292451,0.0,0.0,1.0,0.0,0.0
ABC News,White House defends response to toxic train derailment,"The Biden administration is defending its response to a freight train derailment in Ohio that left toxic chemicals spilled or burned off, even as local leaders and members of Congress demanded that more be done",MATTHEW DALY Associated Press,2023-02-17 18:34:28+00:00,https://abcnews.go.com/Business/wireStory/white-house-defends-response-toxic-train-derailment-97292513,0.0,0.0,1.0,0.0,0.0
ABC News,White House defends response to toxic train derailment,"The Biden administration is defending its response to a freight train derailment in Ohio that left toxic chemicals spilled or burned off, even as local leaders and members of Congress demanded that more be done",MATTHEW DALY Associated Press,2023-02-17 18:37:20+00:00,https://abcnews.go.com/Business/wireStory/white-house-defends-response-toxic-train-derailment-97292512,0.0,0.0,1.0,0.0,0.0
Associated Press,"Who should lead? Dems, Republicans struggle to decide...","WASHINGTON (AP) — While President Joe Biden  and his predecessor, Donald Trump , are preparing for a possible rematch in 2024, a new poll finds a notable lack of enthusiasm within the parties for either man as his party's leader and a clear opening for new st…",ap news,2023-02-14 12:00:04+00:00,https://apnews.com/article/biden-politics-us-republican-party-democratic-united-states-government-27977d3fee45201751f37898501fd9cf,-1.0,0.315,0.685,0.0,-0.3182
Bloomberg,DOT Attorney Sought Southwest Visit to Check on Meltdown Rebound,"The top attorney at the US Department of Transportation planned to visit Southwest Airlines Co.’s headquarters as part of an investigation into the carrier’s December operations meltdown that affected more than 2 million people, according to government emails.","Mary Schlangenstein, Jason Leopold",2023-02-12 00:25:01+00:00,https://www.bloomberg.com/news/articles/2023-02-12/dot-attorney-sought-southwest-visit-to-check-on-meltdown-rebound,0.0,0.0,1.0,0.0,0.0
Bloomberg,Trump Fed Appointees Withheld Vote on Obama Aide for Chicago Fed,"Two of the Federal Reserve board’s seven governors abstained from supporting the selection of former Obama aide Austan Goolsbee to become president of the Chicago Fed, according to a record of the vote.",Craig Torres,2023-02-17 18:12:47+00:00,https://www.bloomberg.com/news/articles/2023-02-17/trump-fed-appointees-withheld-vote-on-obama-aide-for-chicago-fed,0.0,0.0,1.0,0.0,0.0
Breitbart News,Pete Buttigieg 'Concerned' by Impacts of Ohio Train Derailment,"Transportation Secretary Pete Buttigieg is ""concerned"" by the impacts of the trail derailment near East Palestine, he said in a statement late Monday -- days after residents were force to evacuate due to the release of toxic chemicals.","Hannah Bleau, Hannah Bleau",2023-02-14 16:49:45+00:00,https://www.breitbart.com/politics/2023/02/14/pete-buttigieg-concerned-impacts-ohio-train-derailment/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Fact Check: Pete Buttigieg Blames Trump for Ohio Train Disaster,"U.S. Secretary of Transportation Pete Buttigieg is blaming former President Donald Trump for the train disaster in East Palestine, Ohio, claiming, ""we're constrained by law on some areas of rail regulation,"" and citing a ""braking rule"" that was withdrawn unde…","Alana Mastrangelo, Alana Mastrangelo",2023-02-17 06:09:03+00:00,https://www.breitbart.com/politics/2023/02/16/fact-check-pete-buttigieg-blames-trump-ohio-train-disaster/,-1.0,0.493,0.507,0.0,-0.7783
Breitbart News,Exclusive -- Ohio State Senator Michael Rulli Calls for Pete Buttigieg to Resign over East Palestine Train Disaster,"Ohio State Senator Michael Rulli (R) told Breitbart News in an exclusive interview on SiriusXM's Breitbart News Saturday that U.S. Secretary of Transportation Pete Buttigieg ""needs to resign right now"" over the train derailment in East Palestine.","Alana Mastrangelo, Alana Mastrangelo",2023-02-18 21:48:57+00:00,https://www.breitbart.com/politics/2023/02/18/exclusive-ohio-state-senator-michael-rulli-calls-for-pete-buttigieg-to-resign-over-east-palestine-train-disaster/,-1.0,0.342,0.579,0.079,-0.7184
Breitbart News,Biden's Own Administration Calls Pete Buttigieg's Claims on East Palestine Train 'Misinformation',"A member of Biden’s own administration called U.S. Secretary of Transportation Pete Buttigieg’s claims about the train derailment in East Palestine, Ohio — in which he blamed former President Donald Trump — “misinformation.” On Tuesday, while addressing the r…","Alana Mastrangelo, Alana Mastrangelo",2023-02-17 13:39:17+00:00,https://www.breitbart.com/politics/2023/02/17/bidens-own-administration-calls-pete-buttigiegs-claims-on-east-palestine-train-misinformation/,-1.0,0.187,0.813,0.0,-0.3182
Breitbart News,China Blasts 'Vanity Political Appointee' Pete Buttigieg over Ohio Train Catastrophe,"Chinese state media continued having a field day with the Ohio train disaster on Tuesday and Wednesday, crowing that the calamity has become a viral sensation on Chinese social media because it exposes the corruption, incompetence, and hypocrisy of the U.S. g…","John Hayward, John Hayward",2023-02-15 19:02:07+00:00,https://www.breitbart.com/asia/2023/02/15/china-blasts-vanity-political-appointee-pete-buttigieg-ohio-train-catastrophe/,-1.0,0.441,0.559,0.0,-0.743
Breitbart News,WATCH the 'Controlled Release' of Toxic Chemicals After East Palestine Train Derailment,Concerns are still rising as thousands of residents were forced to evacuate following the East Palestine train derailment -- a train which was carrying toxic chemicals -- which occurred earlier this month.,"Hannah Bleau, Hannah Bleau",2023-02-15 17:37:39+00:00,https://www.breitbart.com/politics/2023/02/15/watch-controlled-release-toxic-chemicals-after-east-palestine-train-derailment/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Marianne Williamson May Launch Primary Challenge to Joe Biden This Weekend in New Hampshire,"Marianne Williamson, a former 2020 Democrat presidential candidate, is set to travel to New Hampshire this weekend, where she is expected to a primary challenge against President Joe Biden’s expected 2024 reelection campaign, according to Politico.","Jordan Dixon-Hamilton, Jordan Dixon-Hamilton",2023-02-18 00:38:33+00:00,https://www.breitbart.com/2024-election/2023/02/17/marianne-williamson-may-launch-primary-challenge-joe-biden-weekend-new-hampshire/,1.0,0.0,0.894,0.106,0.0772
Breitbart News,Pete Buttigieg Complains About Too Many White Construction Workers,"Transportation Secretary Pete Buttigieg on Monday opted to suggest that there are too many white people working in construction, choosing to make these remarks less than two weeks after the toxic chemical train derailment on the Ohio-Pennsylvania line.","Hannah Bleau, Hannah Bleau",2023-02-14 17:37:45+00:00,https://www.breitbart.com/politics/2023/02/14/pete-buttigieg-complains-about-too-many-white-construction-workers/,-1.0,0.245,0.755,0.0,-0.3818
Breitbart News,"Marjorie Taylor Greene: Buttigieg More Interested in Equity, Inclusion, Grant-Giving, Chestfeeding than Rail Safety","Tuesday, during an appearance on FNC's ""Hannity,"" Rep. Marjorie Taylor Greene (R-GA) attacked Transportation Secretary Pete Buttigieg for his handling of the East Palestine, OH train derailment. | Clips","Jeff Poor, Jeff Poor",2023-02-15 14:35:07+00:00,https://www.breitbart.com/clips/2023/02/15/marjorie-taylor-greene-buttigieg-more-interested-in-equity-inclusion-grant-giving-chestfeeding-than-rail-safety/,1.0,0.0,0.633,0.367,0.6997
Breitbart News,Exclusive -- Ohio Resident Slams Pete Buttigieg After East Palestine Train Disaster: 'STEP DOWN',"An Ohio resident slammed U.S. Secretary of Transportation Pete Buttigieg after the train disaster in East Palestine, calling on him to ""step down"" in an exclusive interview with Breitbart News.","Alana Mastrangelo, Alana Mastrangelo",2023-02-16 15:53:29+00:00,https://www.breitbart.com/politics/2023/02/16/exclusive-ohio-resident-slams-pete-buttigieg-after-east-palestine-train-disaster-step-down/,-1.0,0.247,0.663,0.09,-0.5574
Breitbart News,JD Vance on East Palestine 'Ecological Disaster': Buttigieg 'Needs to Do His Job',"Wednesday on FBN's ""Mornings with Maria,"" Sen. JD Vance (R-OH) was critical of Transportation Secretary Pete Buttigieg in the wake of the East Palestine, OH train derailment. | Clips","Jeff Poor, Jeff Poor",2023-02-15 15:03:16+00:00,https://www.breitbart.com/clips/2023/02/15/jd-vance-on-east-palestine-ecological-disaster-buttigieg-needs-to-do-his-job/,-1.0,0.291,0.709,0.0,-0.6249
Breitbart News,Report: East Palestine Derailed Train Broke Down Before; Workers Expressed Concern,"The train that derailed near the Ohio-Pennsylvania line this month -- which was carrying toxic chemicals, including vinyl chloride -- had broken down before on its route as workers expressed concerns about the load size, according to reports.","Hannah Bleau, Hannah Bleau",2023-02-16 18:04:28+00:00,https://www.breitbart.com/politics/2023/02/16/east-palestine-derailed-train-broke-down-before-workers-expressed-concern/,-1.0,0.366,0.634,0.0,-0.6369
Breitbart News,Donalds: Buttigieg 'Needs to Go' and Federal East Palestine Response Needs Congressional Oversight,"On Friday’s broadcast of the Fox News Channel’s “Ingraham Angle,” House Oversight Committee member Rep. Byron Donalds (R-FL) stated that the federal response to the train derailment in East Palestine, Ohio will require oversight from Congress and he believes …","Ian Hanchett, Ian Hanchett",2023-02-18 04:57:31+00:00,https://www.breitbart.com/clips/2023/02/17/donalds-federal-east-palestine-response-needs-congressional-oversight/,0.0,0.0,1.0,0.0,0.0
Breitbart News,"Maher: Biden Admin. 'Slow in Picking up on' East Palestine Issue, Buttigieg Took Forever to Mention an Issue in 'His Portfolio'","On Friday’s broadcast of HBO’s “Real Time,” host Bill Maher stated that he believes that the Biden administration “has been slow in picking up on” the train derailment in East Palestine, Ohio and the environmental issues surrounding it, criticized Transportat…","Ian Hanchett, Ian Hanchett",2023-02-18 04:48:15+00:00,https://www.breitbart.com/clips/2023/02/17/maher-biden-admin-slow-in-picking-up-on-east-palestine-issue-buttigieg-took-forever-to-mention-an-issue-in-his-portfolio/,0.0,0.0,1.0,0.0,0.0
Breitbart News,"J.D. Vance 'Horrified' by Ohio Train Derailment, Assures Investigation","Republican Sen. J.D. Vance (R-OH) is ""horrified"" by the train derailment along the Ohio-Pennsylvania line — resulting in the release of toxic chemicals and residents evacuating — assuring that his office is working with local agencies and investigating all co…","Hannah Bleau, Hannah Bleau",2023-02-14 18:52:30+00:00,https://www.breitbart.com/politics/2023/02/14/j-d-vance-horrified-by-ohio-train-derailment-assures-investigation/,-1.0,0.297,0.508,0.195,-0.296
Breitbart News,"Donald Trump to Visit East Palestine, Ohio amid Cleanup Efforts","Former President Donald Trump will travel to East Palestine, Ohio, next week to tour the damage of the Norfolk Southern trail derailment and clean-up efforts, Fox News reported.","Jordan Dixon-Hamilton, Jordan Dixon-Hamilton",2023-02-18 01:37:11+00:00,https://www.breitbart.com/politics/2023/02/17/donald-trump-to-visit-east-palestine-ohio-amid-cleanup-efforts/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Marco Rubio: 'No Federal Funds' Should Enrich Chinese Communist Party-Linked Firm Working with Ford on U.S. Plant,"Sen. Marco Rubio (R-FL) says ""no federal funds"" should go to enrich companies linked to the Chinese Communist Party (CCP), requesting a federal review of a deal between Ford and China’s Contemporary Amperex Technology Co. (CATL) to build an electric vehicle b…","John Binder, John Binder",2023-02-16 23:35:07+00:00,https://www.breitbart.com/politics/2023/02/16/marco-rubio-no-federal-funds-should-enrich-chinese-communist-party-linked-firm-working-with-ford-on-u-s-plant/,-1.0,0.136,0.864,0.0,-0.296
CBS News,Tesla to open part of charging network to other EVs under U.S. expansion plan,"The Biden administration announced rules for EV chargers and new commitments from Tesla, GM and others.",Willie James Inman,2023-02-15 10:27:54+00:00,https://www.cbsnews.com/news/elon-musk-tesla-charging-station-expansion/,0.0,0.0,1.0,0.0,0.0
Fox News,Evening Edition: Major Health Concerns Remain After Ohio Train Derailment,"Residents in the small town of East Palestine, Ohio are still worried about the effects of a ‘controlled release’ of hazardous material following a derailment of a train carrying the toxic chemicals. Now, critics from both parties are criticizing the response…",John Toldi,2023-02-14 22:59:05+00:00,https://radio.foxnews.com/2023/02/14/evening-edition-major-health-concerns-remain-after-ohio-train-derailment/,0.0,0.0,1.0,0.0,0.0
