canidate,totalMentions,positive,negative,neutral,compound
Donald Trump,861,32.29,35.54,32.17,-0.04
Ron DeSantis,289,23.88,32.53,43.60,-0.06
Ted Cruz,82,36.59,26.83,36.59,-0.01
Glenn Youngkin,50,28.00,18.00,54.00,-0.01
Mike Pompeo,80,40.00,12.50,47.50,0.10
Nikki Haley,294,25.85,24.15,50.00,-0.00
Mike Pence,200,38.00,26.50,35.50,0.05
Greg Abbott,33,18.18,60.61,21.21,-0.26
Tucker Carlson,96,12.50,65.62,21.88,-0.30
Liz Cheney,16,25.00,0.00,75.00,0.14
Chris Christie,17,23.53,23.53,52.94,0.03
Tom Cotton,25,32.00,20.00,48.00,0.07
Daniel Crenshaw,3,0.00,66.67,33.33,-0.21
Doug Ducey,1,0.00,0.00,100.00,0.00
