source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,"Nikki Haley launches presidential campaign, challenging Trump for GOP nomination","Former U.N. Ambassador Haley announced her presidential bid on Tuesday, challenging for President Donald Trump for the GOP nomination.",Brittany Shepherd,2023-02-14 12:50:41+00:00,https://abcnews.go.com/US/nikki-haley-launches-presidential-campaign/story?id=97168476,1.0,0.0,0.833,0.167,0.1531
ABC News,Haley kicks off White House campaign: 'We're ready',South Carolina's former GOP governor made her formal announcement in Charleston.,Tal Axelrod,2023-02-15 17:06:00+00:00,https://abcnews.go.com/Politics/haley-kicks-off-white-house-campaign-ready/story?id=97221383,1.0,0.0,0.706,0.294,0.3612
ABC News,"Things to know about Nikki Haley, GOP presidential hopeful",Republican Nikki Haley has joined the 2024 race for president,The Associated Press,2023-02-15 18:46:13+00:00,https://abcnews.go.com/Politics/wireStory/things-nikki-haley-gop-presidential-hopeful-97227115,1.0,0.0,0.645,0.355,0.5106
ABC News,Haley faces 'high-wire act' in 2024 bid against Trump,Few have navigated the turbulent politics of the Trump era like Nikki Haley,MEG KINNARD and STEVE PEOPLES Associated Press,2023-02-13 05:16:14+00:00,https://abcnews.go.com/Politics/wireStory/haley-faces-high-wire-act-2024-bid-trump-97073396,0.0,0.0,1.0,0.0,0.0
ABC News,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 12:58:40+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168050,1.0,0.0,0.758,0.242,0.1531
ABC News,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 12:38:03+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168239,1.0,0.0,0.758,0.242,0.1531
ABC News,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 13:00:40+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168238,1.0,0.0,0.758,0.242,0.1531
ABC News,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 12:39:01+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168074,1.0,0.0,0.758,0.242,0.1531
ABC News,"Nikki Haley announces run for president, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 16:55:56+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168240,1.0,0.0,0.789,0.211,0.1531
ABC News,Nikki Haley to formally launch GOP campaign for White House,"Republican Nikki Haley is expected to formally kick off her 2024 presidential campaign on Wednesday by highlighting her biography while trying to sidestep the looming presence of her onetime boss, former President Donald Trump",MEG KINNARD and MICHELLE L. PRICE Associated Press,2023-02-15 05:19:56+00:00,https://abcnews.go.com/Politics/wireStory/nikki-haley-formally-launch-gop-campaign-white-house-97210818,0.0,0.0,1.0,0.0,0.0
