source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Drama of McCarthy's election may open House to more cameras,"Since the drama of Kevin McCarthy's election as House speaker, there's been some movement toward opening the chamber to more public view",DAVID BAUDER AP Media Writer,2023-02-19 12:50:50+00:00,https://abcnews.go.com/Politics/wireStory/drama-mccarthys-election-open-house-cameras-97318928,0.0,0.0,1.0,0.0,0.0
ABC News,"Who should lead? Democrats, Republicans struggle to decide","President Joe Biden and his predecessor, Donald Trump, are preparing for a possible rematch in 2024",HANNAH FINGERHUT Associated Press,2023-02-14 05:24:59+00:00,https://abcnews.go.com/Politics/wireStory/lead-democrats-republicans-struggle-decide-97127005,-1.0,0.315,0.685,0.0,-0.3182
ABC News,Drama of McCarthy's election may open House to more cameras,"Since the drama of Kevin McCarthy's election as House speaker, there's been some movement toward opening the chamber to more public view",DAVID BAUDER AP Media Writer,2023-02-19 12:39:19+00:00,https://abcnews.go.com/US/wireStory/drama-mccarthys-election-open-house-cameras-97318926,0.0,0.0,1.0,0.0,0.0
ABC News,Drama of McCarthy's election may open House to more cameras,"Since the drama of Kevin McCarthy's election as House speaker, there's been some movement toward opening the chamber to more public view",DAVID BAUDER AP Media Writer,2023-02-19 12:39:41+00:00,https://abcnews.go.com/Entertainment/wireStory/drama-mccarthys-election-open-house-cameras-97318929,0.0,0.0,1.0,0.0,0.0
Associated Press,"Who should lead? Dems, Republicans struggle to decide...","WASHINGTON (AP) — While President Joe Biden  and his predecessor, Donald Trump , are preparing for a possible rematch in 2024, a new poll finds a notable lack of enthusiasm within the parties for either man as his party's leader and a clear opening for new st…",ap news,2023-02-14 12:00:04+00:00,https://apnews.com/article/biden-politics-us-republican-party-democratic-united-states-government-27977d3fee45201751f37898501fd9cf,-1.0,0.315,0.685,0.0,-0.3182
BBC News,Super Bowl Jesus advert draws ire on left and right,An evangelical Christian group's advertisements peeves activists across the ideological spectrum.,https://www.facebook.com/bbcnews,2023-02-14 02:14:34+00:00,https://www.bbc.co.uk/news/world-us-canada-64493324,1.0,0.0,0.642,0.358,0.5994
Breitbart News,Alexandria Ocasio-Cortez Rips Pro-Christian Super Bowl Ads as ‘Fascist’,Rep. Alexandria Ocasio-Cortez (D-NY) said Sunday she did not believe Jesus would support pro-Christian Super Bowl commercials because they make fascism “look benign.”,"Thomas D. Williams, Ph.D., Thomas D. Williams, Ph.D.",2023-02-13 16:11:49+00:00,https://www.breitbart.com/faith/2023/02/13/alexandria-ocasio-cortez-rips-pro-christian-super-bowl-ads-fascist/,1.0,0.267,0.444,0.289,0.0772
Breitbart News,Pinkerton: The Greens Aren’t Just Coming for Your Gas-Powered Car—They’re Coming for All Cars,"The environmentalists say they want to move Americans to electric vehicles. Actually, they want to move us to a future of no vehicles.","James P. Pinkerton, James P. Pinkerton",2023-02-19 03:10:07+00:00,https://www.breitbart.com/environment/2023/02/18/pinkerton-the-greens-arent-just-coming-for-your-gas-powered-car-theyre-coming-for-all-cars/,0.0,0.0,1.0,0.0,0.0
Business Insider,Donald Trump Jr. said he lived off gas station sushi for a year when his family financially cut him off,Donald Trump Jr. said that his family cut him off when he chose to take a year off but forgot to cancel his gas card.,ashoaib@insider.com (Alia Shoaib),2023-02-19 16:13:16+00:00,https://www.businessinsider.com/don-jr-gas-station-sushi-year-family-off-2023-2,-1.0,0.16,0.84,0.0,-0.2732
Business Insider,"The 'He Gets Us' Jesus ads that ran during the Super Bowl preached a message of unity. Instead, they just made everyone more angry.","Both liberals and conservatives alike are criticizing the ""He Gets Us"" campaign, which played two splashy ads to promote Jesus during the Super Bowl.",apollard@insider.com (Aidan Pollard),2023-02-17 16:24:57+00:00,https://www.businessinsider.com/he-gets-us-jesus-ads-preached-unity-made-everyone-angry-2023-2,1.0,0.156,0.66,0.184,0.1531
Business Insider,Trump wants back in the casino biz — as Bally's landlord in the Bronx. Many approvals would still be needed.,Trump has agreed to sub-lease 17 acres of his Bronx golf course for a proposed Bally's casino. Trump's name would not be on the long-shot project.,litaliano@insider.com (Laura Italiano),2023-02-14 01:54:47+00:00,https://www.businessinsider.com/trump-ballys-casino-lease-bronx-ny-nyc-golf-course-2023-2,0.0,0.0,1.0,0.0,0.0
