source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,NYC Mayor Adams gets split decision in battle against rats,New York City Mayor Eric Adams has scored a split decision with a hearing officer dismissing one summons while upholding another issued by a city inspector citing him for not doing enough to keep rodents at bay from his Brooklyn townhouse,BOBBY CAINA CALVAN Associated Press,2023-02-15 00:42:02+00:00,https://abcnews.go.com/Politics/wireStory/nyc-mayor-adams-gets-split-decision-battle-rats-97206797,-1.0,0.271,0.729,0.0,-0.3818
ABC News,NYC Mayor Adams gets split decision in battle against rats,New York City Mayor Eric Adams has scored a split decision with a hearing officer dismissing one summons while upholding another issued by a city inspector citing him for not doing enough to keep rodents at bay from his Brooklyn townhouse,BOBBY CAINA CALVAN Associated Press,2023-02-15 01:05:57+00:00,https://abcnews.go.com/US/wireStory/nyc-mayor-adams-gets-split-decision-battle-rats-97206796,-1.0,0.271,0.729,0.0,-0.3818
ABC News,Man's leap saves him during Brooklyn U-Haul rampage,The 66-year-old man who frantically leapt out of the way of a rampaging U-Haul truck driver on a Brooklyn sidewalk says he doesn’t know how he did it,DEEPTI HAJELA Associated Press,2023-02-14 20:56:54+00:00,https://abcnews.go.com/US/wireStory/mans-leap-saves-brooklyn-haul-rampage-97201251,0.0,0.0,1.0,0.0,0.0
ABC News,Brooklyn dodger: Man's leap saves him during U-Haul rampage,The 66-year-old man who frantically leapt out of the way of a rampaging U-Haul truck driver on a Brooklyn sidewalk says he doesn’t know how he did it,DEEPTI HAJELA Associated Press,2023-02-14 18:36:57+00:00,https://abcnews.go.com/US/wireStory/brooklyn-dodger-mans-leap-saves-haul-rampage-97196303,0.0,0.0,1.0,0.0,0.0
ABC News,U-Haul rampage victim died striving for 'American dream',The man killed when the driver of a U-Haul truck went on a rampage through Brooklyn was a 44-year-old food delivery worker and single father of three,BOBBY CAINA CALVAN Associated Press,2023-02-17 17:21:15+00:00,https://abcnews.go.com/US/wireStory/haul-rampage-victim-died-striving-american-dream-97289767,-1.0,0.487,0.342,0.171,-0.5719
ABC News,NYC Mayor Eric Adams takes shot at Florida Gov. Ron DeSantis ahead of visit to Staten Island,NYC Mayor Eric Adams takes shot at Florida Gov. Ron DeSantis ahead of visit to Staten Islandgo.com,Mark Osborne,2023-02-20 15:40:53+00:00,https://abcnews.go.com/Politics/nyc-mayor-eric-adams-takes-shot-florida-gov/story?id=97333945,0.0,0.0,1.0,0.0,0.0
Associated Press,U-Haul driver blames 'invisible object' for deadly rampage,"A U-Haul driver who police say killed one person and injured eight more when he careened onto sidewalks Monday in New York City is saying he “had enough” after seeing an “invisible object” coming toward the truck. Weng Sor, 62,…",By MICHAEL R. SISAK and BOBBY CAINA CALVAN - Associated Press,2023-02-15 04:51:00+00:00,https://apnews.com/4b22860828f868abff0ead8a9acf1e73,-1.0,0.31,0.69,0.0,-0.4019
BBC News,Amazon calls staff back to office three days a week,The firm joins a slew of other companies that are tightening remote work rules.,https://www.facebook.com/bbcnews,2023-02-17 21:15:37+00:00,https://www.bbc.co.uk/news/business-64683267,1.0,0.0,0.805,0.195,0.1779
Bloomberg,Suspect Is in Custody After U-Haul Hits and Injures Pedestrians in Brooklyn,"A man driving a U-Haul box truck hit and injured several pedestrians in Brooklyn on Monday morning, a spokesperson for New York City Mayor Eric Adams confirmed on Twitter.",Laura Nahmias,2023-02-13 18:01:23+00:00,https://www.bloomberg.com/news/articles/2023-02-13/u-haul-hits-injures-pedestrians-in-brooklyn-suspect-in-custody,-1.0,0.216,0.784,0.0,-0.296
Bloomberg,Police Stop U-Haul After Report of Pedestrians Struck in NYC,The driver of the truck fled the scene after mounting a sidewalk in Brooklyn and injuring several people.,,2023-02-13 18:11:32+00:00,https://www.bloomberg.com/news/articles/2023-02-13/urgent-police-stop-u-haul-after-report-of-pedestrians-struck-in-nyc,-1.0,0.412,0.588,0.0,-0.4939
